[mkg-runner] GPU grid lookup; CPU threads=2; decoder=weighted; SoftMS skipped internally
[MKG-ablation:decoder_weighted] epoch=001/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.586355 train_mle=4.659m best=2.586355 bad=0/8
[MKG-ablation:decoder_weighted] epoch=002/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.549283 train_mle=4.586m best=2.549283 bad=0/8
[MKG-ablation:decoder_weighted] epoch=003/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.560385 train_mle=4.604m best=2.549283 bad=1/8
[MKG-ablation:decoder_weighted] epoch=004/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.557624 train_mle=4.598m best=2.549283 bad=2/8
[MKG-ablation:decoder_weighted] epoch=005/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.530966 train_mle=4.558m best=2.530966 bad=0/8
[MKG-ablation:decoder_weighted] epoch=006/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.493382 train_mle=4.504m best=2.493382 bad=0/8
[MKG-ablation:decoder_weighted] epoch=007/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.416288 train_mle=4.388m best=2.416288 bad=0/8
[MKG-ablation:decoder_weighted] epoch=008/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.354450 train_mle=4.298m best=2.354450 bad=0/8
[MKG-ablation:decoder_weighted] epoch=009/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.342993 train_mle=4.284m best=2.342993 bad=0/8
[MKG-ablation:decoder_weighted] epoch=010/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.293999 train_mle=4.204m best=2.293999 bad=0/8
[MKG-ablation:decoder_weighted] epoch=011/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.236802 train_mle=4.117m best=2.236802 bad=0/8
[MKG-ablation:decoder_weighted] epoch=012/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.195239 train_mle=4.053m best=2.195239 bad=0/8
[MKG-ablation:decoder_weighted] epoch=013/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.145142 train_mle=3.988m best=2.145142 bad=0/8
[MKG-ablation:decoder_weighted] epoch=014/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.119745 train_mle=3.945m best=2.119745 bad=0/8
[MKG-ablation:decoder_weighted] epoch=015/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.116195 train_mle=3.936m best=2.116195 bad=0/8
[MKG-ablation:decoder_weighted] epoch=016/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.056542 train_mle=3.833m best=2.056542 bad=0/8
