[mkg-runner] GPU grid lookup; CPU threads=2; decoder=softms; SoftMS active
[MKG-ablation:seed_123] epoch=001/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.979532 train_mle=5.268m best=2.979532 bad=0/8
[MKG-ablation:seed_123] epoch=002/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.965876 train_mle=5.237m best=2.965876 bad=0/8
[MKG-ablation:seed_123] epoch=003/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.941715 train_mle=5.201m best=2.941715 bad=0/8
[MKG-ablation:seed_123] epoch=004/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.907193 train_mle=5.159m best=2.907193 bad=0/8
[MKG-ablation:seed_123] epoch=005/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.803247 train_mle=5.000m best=2.803247 bad=0/8
[MKG-ablation:seed_123] epoch=006/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.753526 train_mle=4.905m best=2.753526 bad=0/8
[MKG-ablation:seed_123] epoch=007/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.684429 train_mle=4.799m best=2.684429 bad=0/8
[MKG-ablation:seed_123] epoch=008/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.675843 train_mle=4.804m best=2.675843 bad=0/8
[MKG-ablation:seed_123] epoch=009/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.641010 train_mle=4.750m best=2.641010 bad=0/8
[MKG-ablation:seed_123] epoch=010/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.605965 train_mle=4.704m best=2.605965 bad=0/8
[MKG-ablation:seed_123] epoch=011/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.521557 train_mle=4.587m best=2.521557 bad=0/8
[MKG-ablation:seed_123] epoch=012/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.447723 train_mle=4.482m best=2.447723 bad=0/8
[MKG-ablation:seed_123] epoch=013/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.413335 train_mle=4.445m best=2.413335 bad=0/8
[MKG-ablation:seed_123] epoch=014/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.318667 train_mle=4.317m best=2.318667 bad=0/8
[MKG-ablation:seed_123] epoch=015/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.244907 train_mle=4.219m best=2.244907 bad=0/8
[MKG-ablation:seed_123] epoch=016/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.108905 train_mle=4.016m best=2.108905 bad=0/8
[MKG-ablation:seed_123] epoch=017/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.006123 train_mle=3.891m best=2.006123 bad=0/8
[MKG-ablation:seed_123] epoch=018/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.992107 train_mle=3.833m best=1.992107 bad=0/8
[MKG-ablation:seed_123] epoch=019/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.909190 train_mle=3.710m best=1.909190 bad=0/8
[MKG-ablation:seed_123] epoch=020/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.876343 train_mle=3.662m best=1.876343 bad=0/8
[MKG-ablation:seed_123] epoch=021/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.794290 train_mle=3.522m best=1.794290 bad=0/8
[MKG-ablation:seed_123] epoch=022/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.617644 train_mle=3.272m best=1.617644 bad=0/8
[MKG-ablation:seed_123] epoch=023/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.616605 train_mle=3.242m best=1.616605 bad=0/8
[MKG-ablation:seed_123] epoch=024/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.731755 train_mle=3.400m best=1.616605 bad=1/8
[MKG-ablation:seed_123] epoch=025/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.457680 train_mle=3.015m best=1.457680 bad=0/8
[MKG-ablation:seed_123] epoch=026/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.517326 train_mle=3.097m best=1.457680 bad=1/8
[MKG-ablation:seed_123] epoch=027/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.361753 train_mle=2.842m best=1.361753 bad=0/8
[MKG-ablation:seed_123] epoch=028/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.263640 train_mle=2.719m best=1.263640 bad=0/8
[MKG-ablation:seed_123] epoch=029/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.246043 train_mle=2.689m best=1.246043 bad=0/8
[MKG-ablation:seed_123] epoch=030/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.073406 train_mle=2.406m best=1.073406 bad=0/8
[MKG-ablation:seed_123] epoch=031/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.001554 train_mle=2.275m best=1.001554 bad=0/8
[MKG-ablation:seed_123] epoch=032/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.093405 train_mle=2.430m best=1.001554 bad=1/8
[MKG-ablation:seed_123] epoch=033/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.187858 train_mle=2.580m best=1.001554 bad=2/8
[MKG-ablation:seed_123] epoch=034/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.112583 train_mle=2.455m best=1.001554 bad=3/8
[MKG-ablation:seed_123] epoch=035/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.969074 train_mle=2.232m best=0.969074 bad=0/8
[MKG-ablation:seed_123] epoch=036/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.980394 train_mle=2.234m best=0.969074 bad=1/8
[MKG-ablation:seed_123] epoch=037/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.973735 train_mle=2.222m best=0.969074 bad=2/8
[MKG-ablation:seed_123] epoch=038/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.760230 train_mle=1.864m best=0.760230 bad=0/8
[MKG-ablation:seed_123] epoch=039/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.807415 train_mle=1.949m best=0.760230 bad=1/8
[MKG-ablation:seed_123] epoch=040/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.795744 train_mle=1.932m best=0.760230 bad=2/8
[MKG-ablation:seed_123] epoch=041/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.875098 train_mle=2.072m best=0.760230 bad=3/8
[MKG-ablation:seed_123] epoch=042/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.719927 train_mle=1.791m best=0.719927 bad=0/8
[MKG-ablation:seed_123] epoch=043/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.731993 train_mle=1.818m best=0.719927 bad=1/8
[MKG-ablation:seed_123] epoch=044/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.602596 train_mle=1.585m best=0.602596 bad=0/8
[MKG-ablation:seed_123] epoch=045/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.667317 train_mle=1.680m best=0.602596 bad=1/8
[MKG-ablation:seed_123] epoch=046/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.650609 train_mle=1.675m best=0.602596 bad=2/8
[MKG-ablation:seed_123] epoch=047/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.686409 train_mle=1.738m best=0.602596 bad=3/8
[MKG-ablation:seed_123] epoch=048/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.486104 train_mle=1.368m best=0.486104 bad=0/8
[MKG-ablation:seed_123] epoch=049/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.538357 train_mle=1.451m best=0.486104 bad=1/8
[MKG-ablation:seed_123] epoch=050/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.563239 train_mle=1.512m best=0.486104 bad=2/8
[MKG-ablation:seed_123] epoch=051/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.513695 train_mle=1.427m best=0.486104 bad=3/8
[MKG-ablation:seed_123] epoch=052/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.526970 train_mle=1.455m best=0.486104 bad=4/8
[MKG-ablation:seed_123] epoch=053/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.557109 train_mle=1.503m best=0.486104 bad=5/8
[MKG-ablation:seed_123] epoch=054/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.537688 train_mle=1.460m best=0.486104 bad=6/8
[MKG-ablation:seed_123] epoch=055/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.531011 train_mle=1.444m best=0.486104 bad=7/8
[MKG-ablation:seed_123] epoch=056/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.529540 train_mle=1.444m best=0.486104 bad=8/8
[MKG-ablation:seed_123] early-stop at epoch 56
{"MLE_m": 6.348820521719766, "MedLE_m": 5.48474534349147, "P90_m": 12.512335308672778, "P95_m": 15.198950885627234, "P99_m": 18.98211647395256, "CVaR90_m": 15.62935659433546, "LSR@5_pct": 45.298769771528995, "LSR@10_pct": 82.20562390158173, "LSR@15_pct": 94.63971880492092, "LSR@20_pct": 99.69244288224957, "Route": "route_B", "VisualMLE_m": 6.550177711806255, "Latency_ms_per_frame": 9.547243438800423, "FPS": 104.74227523475052, "PeakCUDAAllocated_MB": 118.5419921875, "Jitter_m": 0.0, "CandidateCount": 36, "CSV": "/yh/study/uav-sat/v36_byTeacher/output/mobilenet_v3_small/mkg_final_ablation_suite/mkg_final_20260901_155118/seed_123/jitter_0m/route_B_frames.csv"}
{"MLE_m": 5.671506065696882, "MedLE_m": 4.326079266339525, "P90_m": 12.029236377760363, "P95_m": 14.040096545825941, "P99_m": 17.603610786663598, "CVaR90_m": 14.574950585229917, "LSR@5_pct": 56.91573926868044, "LSR@10_pct": 82.43243243243244, "LSR@15_pct": 96.74085850556439, "LSR@20_pct": 99.4435612082671, "Route": "route_C", "VisualMLE_m": 6.0345389904671265, "Latency_ms_per_frame": 9.298963416978285, "FPS": 107.53886806073184, "PeakCUDAAllocated_MB": 118.5419921875, "Jitter_m": 0.0, "CandidateCount": 36, "CSV": "/yh/study/uav-sat/v36_byTeacher/output/mobilenet_v3_small/mkg_final_ablation_suite/mkg_final_20260901_155118/seed_123/jitter_0m/route_C_frames.csv"}
