[mkg-runner] GPU grid lookup; CPU threads=2; decoder=softms; SoftMS active
[MKG-ablation:gru_no_temporal_mean] epoch=001/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.980568 train_mle=5.269m best=2.980568 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=002/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.947501 train_mle=5.208m best=2.947501 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=003/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.957292 train_mle=5.223m best=2.947501 bad=1/8
[MKG-ablation:gru_no_temporal_mean] epoch=004/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.951909 train_mle=5.215m best=2.947501 bad=2/8
[MKG-ablation:gru_no_temporal_mean] epoch=005/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.944597 train_mle=5.203m best=2.944597 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=006/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.935559 train_mle=5.188m best=2.935559 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=007/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.935940 train_mle=5.188m best=2.935559 bad=1/8
[MKG-ablation:gru_no_temporal_mean] epoch=008/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.929473 train_mle=5.178m best=2.929473 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=009/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.926202 train_mle=5.174m best=2.926202 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=010/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.904190 train_mle=5.141m best=2.904190 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=011/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.858772 train_mle=5.073m best=2.858772 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=012/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.815142 train_mle=5.014m best=2.815142 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=013/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.724650 train_mle=4.881m best=2.724650 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=014/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.730066 train_mle=4.873m best=2.724650 bad=1/8
[MKG-ablation:gru_no_temporal_mean] epoch=015/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.627616 train_mle=4.751m best=2.627616 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=016/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.539952 train_mle=4.620m best=2.539952 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=017/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.481664 train_mle=4.563m best=2.481664 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=018/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.398817 train_mle=4.434m best=2.398817 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=019/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.346747 train_mle=4.373m best=2.346747 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=020/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.249240 train_mle=4.223m best=2.249240 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=021/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.190012 train_mle=4.131m best=2.190012 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=022/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.072923 train_mle=3.946m best=2.072923 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=023/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.081322 train_mle=3.940m best=2.072923 bad=1/8
[MKG-ablation:gru_no_temporal_mean] epoch=024/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=2.026136 train_mle=3.881m best=2.026136 bad=0/8
[MKG-ablation:gru_no_temporal_mean] epoch=025/60 pipeline=MKG grid=6x6 decoder=softms gru=no_temporal_mean train_loss=1.890896 train_mle=3.647m best=1.890896 bad=0/8
