[mkg-runner] GPU grid lookup; CPU threads=2; decoder=softms; SoftMS active
[MKG-ablation:gru_no_variance] epoch=001/60 pipeline=MKG grid=6x6 decoder=softms gru=no_variance train_loss=2.980384 train_mle=5.269m best=2.980384 bad=0/8
[MKG-ablation:gru_no_variance] epoch=002/60 pipeline=MKG grid=6x6 decoder=softms gru=no_variance train_loss=2.969459 train_mle=5.243m best=2.969459 bad=0/8
[MKG-ablation:gru_no_variance] epoch=003/60 pipeline=MKG grid=6x6 decoder=softms gru=no_variance train_loss=2.913504 train_mle=5.163m best=2.913504 bad=0/8
[MKG-ablation:gru_no_variance] epoch=004/60 pipeline=MKG grid=6x6 decoder=softms gru=no_variance train_loss=2.813498 train_mle=5.013m best=2.813498 bad=0/8
[MKG-ablation:gru_no_variance] epoch=005/60 pipeline=MKG grid=6x6 decoder=softms gru=no_variance train_loss=2.732283 train_mle=4.886m best=2.732283 bad=0/8
[MKG-ablation:gru_no_variance] epoch=006/60 pipeline=MKG grid=6x6 decoder=softms gru=no_variance train_loss=2.687207 train_mle=4.813m best=2.687207 bad=0/8
[MKG-ablation:gru_no_variance] epoch=007/60 pipeline=MKG grid=6x6 decoder=softms gru=no_variance train_loss=2.664254 train_mle=4.781m best=2.664254 bad=0/8
[MKG-ablation:gru_no_variance] epoch=008/60 pipeline=MKG grid=6x6 decoder=softms gru=no_variance train_loss=2.620005 train_mle=4.716m best=2.620005 bad=0/8
[MKG-ablation:gru_no_variance] epoch=009/60 pipeline=MKG grid=6x6 decoder=softms gru=no_variance train_loss=2.577951 train_mle=4.661m best=2.577951 bad=0/8
[MKG-ablation:gru_no_variance] epoch=010/60 pipeline=MKG grid=6x6 decoder=softms gru=no_variance train_loss=2.540437 train_mle=4.599m best=2.540437 bad=0/8
[MKG-ablation:gru_no_variance] epoch=011/60 pipeline=MKG grid=6x6 decoder=softms gru=no_variance train_loss=2.517813 train_mle=4.588m best=2.517813 bad=0/8
[MKG-ablation:gru_no_variance] epoch=012/60 pipeline=MKG grid=6x6 decoder=softms gru=no_variance train_loss=2.476586 train_mle=4.531m best=2.476586 bad=0/8
[MKG-ablation:gru_no_variance] epoch=013/60 pipeline=MKG grid=6x6 decoder=softms gru=no_variance train_loss=2.447591 train_mle=4.460m best=2.447591 bad=0/8
[MKG-ablation:gru_no_variance] epoch=014/60 pipeline=MKG grid=6x6 decoder=softms gru=no_variance train_loss=2.461806 train_mle=4.495m best=2.447591 bad=1/8
[MKG-ablation:gru_no_variance] epoch=015/60 pipeline=MKG grid=6x6 decoder=softms gru=no_variance train_loss=2.395533 train_mle=4.380m best=2.395533 bad=0/8
