[mkg-runner] GPU grid lookup; CPU threads=2; decoder=softms; SoftMS active
[MKG-ablation:gru_no_xy] epoch=001/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.980069 train_mle=5.269m best=2.980069 bad=0/8
[MKG-ablation:gru_no_xy] epoch=002/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.958894 train_mle=5.227m best=2.958894 bad=0/8
[MKG-ablation:gru_no_xy] epoch=003/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.898170 train_mle=5.140m best=2.898170 bad=0/8
[MKG-ablation:gru_no_xy] epoch=004/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.801093 train_mle=4.996m best=2.801093 bad=0/8
[MKG-ablation:gru_no_xy] epoch=005/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.717876 train_mle=4.860m best=2.717876 bad=0/8
[MKG-ablation:gru_no_xy] epoch=006/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.700501 train_mle=4.839m best=2.700501 bad=0/8
[MKG-ablation:gru_no_xy] epoch=007/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.677399 train_mle=4.806m best=2.677399 bad=0/8
[MKG-ablation:gru_no_xy] epoch=008/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.640922 train_mle=4.752m best=2.640922 bad=0/8
[MKG-ablation:gru_no_xy] epoch=009/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.616941 train_mle=4.722m best=2.616941 bad=0/8
[MKG-ablation:gru_no_xy] epoch=010/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.540123 train_mle=4.606m best=2.540123 bad=0/8
[MKG-ablation:gru_no_xy] epoch=011/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.492493 train_mle=4.546m best=2.492493 bad=0/8
[MKG-ablation:gru_no_xy] epoch=012/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.442113 train_mle=4.446m best=2.442113 bad=0/8
[MKG-ablation:gru_no_xy] epoch=013/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.424026 train_mle=4.413m best=2.424026 bad=0/8
[MKG-ablation:gru_no_xy] epoch=014/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.428579 train_mle=4.445m best=2.424026 bad=1/8
[MKG-ablation:gru_no_xy] epoch=015/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.401459 train_mle=4.439m best=2.401459 bad=0/8
[MKG-ablation:gru_no_xy] epoch=016/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.464655 train_mle=4.453m best=2.401459 bad=1/8
[MKG-ablation:gru_no_xy] epoch=017/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.351915 train_mle=4.302m best=2.351915 bad=0/8
[MKG-ablation:gru_no_xy] epoch=018/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.269895 train_mle=4.204m best=2.269895 bad=0/8
[MKG-ablation:gru_no_xy] epoch=019/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.255023 train_mle=4.171m best=2.255023 bad=0/8
[MKG-ablation:gru_no_xy] epoch=020/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.180080 train_mle=4.076m best=2.180080 bad=0/8
[MKG-ablation:gru_no_xy] epoch=021/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=2.097891 train_mle=3.991m best=2.097891 bad=0/8
[MKG-ablation:gru_no_xy] epoch=022/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=1.942539 train_mle=3.768m best=1.942539 bad=0/8
[MKG-ablation:gru_no_xy] epoch=023/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=1.879372 train_mle=3.680m best=1.879372 bad=0/8
[MKG-ablation:gru_no_xy] epoch=024/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=1.771280 train_mle=3.525m best=1.771280 bad=0/8
[MKG-ablation:gru_no_xy] epoch=025/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=1.669036 train_mle=3.337m best=1.669036 bad=0/8
[MKG-ablation:gru_no_xy] epoch=026/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=1.541464 train_mle=3.158m best=1.541464 bad=0/8
[MKG-ablation:gru_no_xy] epoch=027/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=1.429775 train_mle=2.937m best=1.429775 bad=0/8
[MKG-ablation:gru_no_xy] epoch=028/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=1.330576 train_mle=2.845m best=1.330576 bad=0/8
[MKG-ablation:gru_no_xy] epoch=029/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=1.266661 train_mle=2.729m best=1.266661 bad=0/8
[MKG-ablation:gru_no_xy] epoch=030/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=1.149586 train_mle=2.547m best=1.149586 bad=0/8
[MKG-ablation:gru_no_xy] epoch=031/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=1.268406 train_mle=2.747m best=1.149586 bad=1/8
[MKG-ablation:gru_no_xy] epoch=032/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=1.081222 train_mle=2.443m best=1.081222 bad=0/8
[MKG-ablation:gru_no_xy] epoch=033/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=1.011997 train_mle=2.318m best=1.011997 bad=0/8
[MKG-ablation:gru_no_xy] epoch=034/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=0.927463 train_mle=2.165m best=0.927463 bad=0/8
[MKG-ablation:gru_no_xy] epoch=035/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=1.006981 train_mle=2.285m best=0.927463 bad=1/8
[MKG-ablation:gru_no_xy] epoch=036/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=0.953698 train_mle=2.196m best=0.927463 bad=2/8
[MKG-ablation:gru_no_xy] epoch=037/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=0.955458 train_mle=2.206m best=0.927463 bad=3/8
[MKG-ablation:gru_no_xy] epoch=038/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=0.788705 train_mle=1.916m best=0.788705 bad=0/8
[MKG-ablation:gru_no_xy] epoch=039/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=0.904657 train_mle=2.117m best=0.788705 bad=1/8
[MKG-ablation:gru_no_xy] epoch=040/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=0.852007 train_mle=2.030m best=0.788705 bad=2/8
[MKG-ablation:gru_no_xy] epoch=041/60 pipeline=MKG grid=6x6 decoder=softms gru=no_xy train_loss=0.803420 train_mle=1.945m best=0.788705 bad=3/8
