[mkg-runner] GPU grid lookup; CPU threads=2; decoder=softms; SoftMS active
[MKG-ablation:tau_0p50] epoch=001/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.250485 train_mle=4.142m best=2.250485 bad=0/8
[MKG-ablation:tau_0p50] epoch=002/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.238273 train_mle=4.106m best=2.238273 bad=0/8
[MKG-ablation:tau_0p50] epoch=003/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.222569 train_mle=4.082m best=2.222569 bad=0/8
[MKG-ablation:tau_0p50] epoch=004/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.215919 train_mle=4.071m best=2.215919 bad=0/8
[MKG-ablation:tau_0p50] epoch=005/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.211621 train_mle=4.064m best=2.211621 bad=0/8
[MKG-ablation:tau_0p50] epoch=006/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.208425 train_mle=4.059m best=2.208425 bad=0/8
[MKG-ablation:tau_0p50] epoch=007/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.204815 train_mle=4.054m best=2.204815 bad=0/8
[MKG-ablation:tau_0p50] epoch=008/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.202327 train_mle=4.050m best=2.202327 bad=0/8
[MKG-ablation:tau_0p50] epoch=009/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.203509 train_mle=4.052m best=2.202327 bad=1/8
[MKG-ablation:tau_0p50] epoch=010/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.189087 train_mle=4.030m best=2.189087 bad=0/8
[MKG-ablation:tau_0p50] epoch=011/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.148738 train_mle=3.970m best=2.148738 bad=0/8
[MKG-ablation:tau_0p50] epoch=012/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.120040 train_mle=3.931m best=2.120040 bad=0/8
[MKG-ablation:tau_0p50] epoch=013/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.023402 train_mle=3.770m best=2.023402 bad=0/8
[MKG-ablation:tau_0p50] epoch=014/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.962194 train_mle=3.684m best=1.962194 bad=0/8
[MKG-ablation:tau_0p50] epoch=015/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.933676 train_mle=3.633m best=1.933676 bad=0/8
[MKG-ablation:tau_0p50] epoch=016/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.915733 train_mle=3.606m best=1.915733 bad=0/8
[MKG-ablation:tau_0p50] epoch=017/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.933825 train_mle=3.643m best=1.915733 bad=1/8
[MKG-ablation:tau_0p50] epoch=018/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.899141 train_mle=3.566m best=1.899141 bad=0/8
[MKG-ablation:tau_0p50] epoch=019/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.889665 train_mle=3.568m best=1.889665 bad=0/8
[MKG-ablation:tau_0p50] epoch=020/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.840639 train_mle=3.483m best=1.840639 bad=0/8
[MKG-ablation:tau_0p50] epoch=021/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.796712 train_mle=3.423m best=1.796712 bad=0/8
[MKG-ablation:tau_0p50] epoch=022/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.782749 train_mle=3.407m best=1.782749 bad=0/8
[MKG-ablation:tau_0p50] epoch=023/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.759190 train_mle=3.371m best=1.759190 bad=0/8
[MKG-ablation:tau_0p50] epoch=024/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.738911 train_mle=3.345m best=1.738911 bad=0/8
[MKG-ablation:tau_0p50] epoch=025/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.752717 train_mle=3.372m best=1.738911 bad=1/8
[MKG-ablation:tau_0p50] epoch=026/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.702819 train_mle=3.315m best=1.702819 bad=0/8
[MKG-ablation:tau_0p50] epoch=027/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.613046 train_mle=3.210m best=1.613046 bad=0/8
[MKG-ablation:tau_0p50] epoch=028/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.502534 train_mle=3.046m best=1.502534 bad=0/8
[MKG-ablation:tau_0p50] epoch=029/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.440538 train_mle=2.970m best=1.440538 bad=0/8
[MKG-ablation:tau_0p50] epoch=030/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.481255 train_mle=3.007m best=1.440538 bad=1/8
[MKG-ablation:tau_0p50] epoch=031/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.329847 train_mle=2.772m best=1.329847 bad=0/8
[MKG-ablation:tau_0p50] epoch=032/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.313994 train_mle=2.741m best=1.313994 bad=0/8
[MKG-ablation:tau_0p50] epoch=033/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.231630 train_mle=2.631m best=1.231630 bad=0/8
[MKG-ablation:tau_0p50] epoch=034/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.173762 train_mle=2.532m best=1.173762 bad=0/8
[MKG-ablation:tau_0p50] epoch=035/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.190309 train_mle=2.565m best=1.173762 bad=1/8
[MKG-ablation:tau_0p50] epoch=036/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.293259 train_mle=2.723m best=1.173762 bad=2/8
[MKG-ablation:tau_0p50] epoch=037/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.110684 train_mle=2.438m best=1.110684 bad=0/8
[MKG-ablation:tau_0p50] epoch=038/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.999590 train_mle=2.246m best=0.999590 bad=0/8
[MKG-ablation:tau_0p50] epoch=039/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.013964 train_mle=2.275m best=0.999590 bad=1/8
[MKG-ablation:tau_0p50] epoch=040/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.897629 train_mle=2.093m best=0.897629 bad=0/8
[MKG-ablation:tau_0p50] epoch=041/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.869065 train_mle=2.041m best=0.869065 bad=0/8
[MKG-ablation:tau_0p50] epoch=042/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.839953 train_mle=1.981m best=0.839953 bad=0/8
[MKG-ablation:tau_0p50] epoch=043/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.805450 train_mle=1.934m best=0.805450 bad=0/8
[MKG-ablation:tau_0p50] epoch=044/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.814330 train_mle=1.947m best=0.805450 bad=1/8
[MKG-ablation:tau_0p50] epoch=045/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.803418 train_mle=1.925m best=0.803418 bad=0/8
[MKG-ablation:tau_0p50] epoch=046/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.771670 train_mle=1.881m best=0.771670 bad=0/8
[MKG-ablation:tau_0p50] epoch=047/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.774087 train_mle=1.884m best=0.771670 bad=1/8
[MKG-ablation:tau_0p50] epoch=048/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.758441 train_mle=1.862m best=0.758441 bad=0/8
[MKG-ablation:tau_0p50] epoch=049/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.824168 train_mle=1.980m best=0.758441 bad=1/8
[MKG-ablation:tau_0p50] epoch=050/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.729380 train_mle=1.814m best=0.729380 bad=0/8
[MKG-ablation:tau_0p50] epoch=051/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.642975 train_mle=1.645m best=0.642975 bad=0/8
[MKG-ablation:tau_0p50] epoch=052/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.737903 train_mle=1.807m best=0.642975 bad=1/8
[MKG-ablation:tau_0p50] epoch=053/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.688568 train_mle=1.725m best=0.642975 bad=2/8
[MKG-ablation:tau_0p50] epoch=054/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.652987 train_mle=1.658m best=0.642975 bad=3/8
[MKG-ablation:tau_0p50] epoch=055/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.605495 train_mle=1.585m best=0.605495 bad=0/8
[MKG-ablation:tau_0p50] epoch=056/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.565472 train_mle=1.490m best=0.565472 bad=0/8
[MKG-ablation:tau_0p50] epoch=057/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.621482 train_mle=1.610m best=0.565472 bad=1/8
[MKG-ablation:tau_0p50] epoch=058/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.603261 train_mle=1.579m best=0.565472 bad=2/8
[MKG-ablation:tau_0p50] epoch=059/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.552292 train_mle=1.488m best=0.552292 bad=0/8
[MKG-ablation:tau_0p50] epoch=060/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=0.553579 train_mle=1.482m best=0.552292 bad=1/8
{"MLE_m": 4.793909537730339, "MedLE_m": 4.167688148290335, "P90_m": 9.063238385903425, "P95_m": 10.602893342502094, "P99_m": 13.88006724762703, "CVaR90_m": 11.174467769997024, "LSR@5_pct": 60.41300527240774, "LSR@10_pct": 93.89279437609842, "LSR@15_pct": 99.42882249560633, "LSR@20_pct": 100.0, "Route": "route_B", "VisualMLE_m": 5.340313911153097, "Latency_ms_per_frame": 8.912722252917625, "FPS": 112.19916559978573, "PeakCUDAAllocated_MB": 118.5419921875, "Jitter_m": 0.0, "CandidateCount": 36, "CSV": "/yh/study/uav-sat/v36_byTeacher/output/mobilenet_v3_small/mkg_final_ablation_suite/mkg_final_20260901_155118/tau_0p50/jitter_0m/route_B_frames.csv"}
{"MLE_m": 4.539163693732788, "MedLE_m": 3.6993291498012466, "P90_m": 9.305099323081283, "P95_m": 10.710891579122787, "P99_m": 12.4344406851849, "CVaR90_m": 10.905481320443045, "LSR@5_pct": 62.32114467408585, "LSR@10_pct": 93.08426073131956, "LSR@15_pct": 99.92050874403816, "LSR@20_pct": 100.0, "Route": "route_C", "VisualMLE_m": 5.223054258265397, "Latency_ms_per_frame": 8.741634770380697, "FPS": 114.39507898320146, "PeakCUDAAllocated_MB": 118.5419921875, "Jitter_m": 0.0, "CandidateCount": 36, "CSV": "/yh/study/uav-sat/v36_byTeacher/output/mobilenet_v3_small/mkg_final_ablation_suite/mkg_final_20260901_155118/tau_0p50/jitter_0m/route_C_frames.csv"}
