[mkg-runner] GPU grid lookup; CPU threads=2; decoder=softms; SoftMS active
[MKG-ablation:bandwidth_4m] epoch=001/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=3.024923 train_mle=5.341m best=3.024923 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=002/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.997430 train_mle=5.289m best=2.997430 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=003/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.994983 train_mle=5.285m best=2.994983 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=004/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.961693 train_mle=5.239m best=2.961693 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=005/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.877389 train_mle=5.102m best=2.877389 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=006/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.812194 train_mle=4.993m best=2.812194 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=007/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.779540 train_mle=4.937m best=2.779540 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=008/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.750679 train_mle=4.896m best=2.750679 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=009/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.733653 train_mle=4.875m best=2.733653 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=010/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.697843 train_mle=4.814m best=2.697843 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=011/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.687984 train_mle=4.808m best=2.687984 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=012/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.620397 train_mle=4.712m best=2.620397 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=013/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.553659 train_mle=4.616m best=2.553659 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=014/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.483822 train_mle=4.517m best=2.483822 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=015/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.444733 train_mle=4.477m best=2.444733 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=016/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.317964 train_mle=4.283m best=2.317964 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=017/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.304106 train_mle=4.310m best=2.304106 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=018/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.237824 train_mle=4.168m best=2.237824 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=019/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.085556 train_mle=3.934m best=2.085556 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=020/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.023063 train_mle=3.866m best=2.023063 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=021/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=2.249136 train_mle=4.221m best=2.023063 bad=1/8
[MKG-ablation:bandwidth_4m] epoch=022/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.870498 train_mle=3.644m best=1.870498 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=023/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.749699 train_mle=3.479m best=1.749699 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=024/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.828210 train_mle=3.595m best=1.749699 bad=1/8
[MKG-ablation:bandwidth_4m] epoch=025/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.585143 train_mle=3.196m best=1.585143 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=026/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.471946 train_mle=3.017m best=1.471946 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=027/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.429626 train_mle=2.958m best=1.429626 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=028/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.388795 train_mle=2.899m best=1.388795 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=029/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.344633 train_mle=2.835m best=1.344633 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=030/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.366972 train_mle=2.873m best=1.344633 bad=1/8
[MKG-ablation:bandwidth_4m] epoch=031/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.242253 train_mle=2.675m best=1.242253 bad=0/8
[MKG-ablation:bandwidth_4m] epoch=032/60 pipeline=MKG grid=6x6 decoder=softms gru=full train_loss=1.241214 train_mle=2.678m best=1.241214 bad=0/8
