[mkg-runner] GPU grid lookup; CPU threads=2; decoder=top1; SoftMS skipped internally
[MKG-ablation:decoder_top1] epoch=001/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.950164 train_mle=8.342m best=4.950164 bad=0/8
[MKG-ablation:decoder_top1] epoch=002/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.946419 train_mle=8.339m best=4.946419 bad=0/8
[MKG-ablation:decoder_top1] epoch=003/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.946319 train_mle=8.338m best=4.946319 bad=0/8
[MKG-ablation:decoder_top1] epoch=004/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.944299 train_mle=8.335m best=4.944299 bad=0/8
[MKG-ablation:decoder_top1] epoch=005/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.942136 train_mle=8.333m best=4.942136 bad=0/8
[MKG-ablation:decoder_top1] epoch=006/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.941313 train_mle=8.331m best=4.941313 bad=0/8
[MKG-ablation:decoder_top1] epoch=007/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.938229 train_mle=8.325m best=4.938229 bad=0/8
[MKG-ablation:decoder_top1] epoch=008/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.906175 train_mle=8.268m best=4.906175 bad=0/8
[MKG-ablation:decoder_top1] epoch=009/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.911462 train_mle=8.259m best=4.906175 bad=1/8
[MKG-ablation:decoder_top1] epoch=010/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.869115 train_mle=8.212m best=4.869115 bad=0/8
[MKG-ablation:decoder_top1] epoch=011/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.868635 train_mle=8.201m best=4.868635 bad=0/8
[MKG-ablation:decoder_top1] epoch=012/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.850054 train_mle=8.186m best=4.850054 bad=0/8
