[mkg-runner] GPU grid lookup; CPU threads=2; decoder=softms; SoftMS active
[MKG-ablation:gru_no_first_difference] epoch=001/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.980426 train_mle=5.270m best=2.980426 bad=0/8
[MKG-ablation:gru_no_first_difference] epoch=002/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.962694 train_mle=5.233m best=2.962694 bad=0/8
[MKG-ablation:gru_no_first_difference] epoch=003/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.920843 train_mle=5.172m best=2.920843 bad=0/8
[MKG-ablation:gru_no_first_difference] epoch=004/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.836219 train_mle=5.051m best=2.836219 bad=0/8
[MKG-ablation:gru_no_first_difference] epoch=005/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.743718 train_mle=4.904m best=2.743718 bad=0/8
[MKG-ablation:gru_no_first_difference] epoch=006/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.707779 train_mle=4.846m best=2.707779 bad=0/8
[MKG-ablation:gru_no_first_difference] epoch=007/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.701687 train_mle=4.837m best=2.701687 bad=0/8
[MKG-ablation:gru_no_first_difference] epoch=008/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.661283 train_mle=4.775m best=2.661283 bad=0/8
[MKG-ablation:gru_no_first_difference] epoch=009/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.629011 train_mle=4.729m best=2.629011 bad=0/8
[MKG-ablation:gru_no_first_difference] epoch=010/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.652991 train_mle=4.777m best=2.629011 bad=1/8
[MKG-ablation:gru_no_first_difference] epoch=011/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.601142 train_mle=4.698m best=2.601142 bad=0/8
[MKG-ablation:gru_no_first_difference] epoch=012/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.558221 train_mle=4.633m best=2.558221 bad=0/8
[MKG-ablation:gru_no_first_difference] epoch=013/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.527743 train_mle=4.575m best=2.527743 bad=0/8
[MKG-ablation:gru_no_first_difference] epoch=014/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.504384 train_mle=4.547m best=2.504384 bad=0/8
[MKG-ablation:gru_no_first_difference] epoch=015/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.498327 train_mle=4.552m best=2.498327 bad=0/8
[MKG-ablation:gru_no_first_difference] epoch=016/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.450716 train_mle=4.475m best=2.450716 bad=0/8
[MKG-ablation:gru_no_first_difference] epoch=017/60 pipeline=MKG grid=6x6 decoder=softms gru=no_first_difference train_loss=2.481581 train_mle=4.549m best=2.450716 bad=1/8
