sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,waypoint_switched_after_frame,gt_x,gt_y,search_center_x,search_center_y,raw_top1_x,raw_top1_y,raw_hardms_x,raw_hardms_y,refined_hardms_x,refined_hardms_y,visual_measurement_x,visual_measurement_y,polynomial_x,polynomial_y,poly_v_parallel,poly_v_cross,poly_a_parallel,poly_a_cross,inertia_strength,polynomial_sigma_m,measurement_var_x,measurement_var_y,refined_hardms_support,final_x,final_y,kf_vx,kf_vy,error_visual_m,error_final_m
0,0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,0,1,0,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,-8.908679962158203,-0.4026999771595001,-13.640005111694336,-0.3726810812950134,-18.37133026123047,-0.3426637351512909,-18.150461196899414,-1.787280559539795,-18.780746459960938,-2.1595981121063232,2.187291145324707,0.1757669597864151,-0.0037313865032047033,-0.0007803551852703094,0.6770942807197571,4.201313018798828,10.0,10.0,0.7089611291885376,-18.48219028272127,-1.9832371661537571,0.0,0.0,0.732038140296936,0.3467549195400808
1,1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,0,1,0,-25.919267654418945,-1.4582853317260742,-18.150461196899414,-1.787280559539795,-8.908679962158203,-0.4026999771595001,-13.640005111694336,-0.3726810812950134,-18.37133026123047,-0.3426637351512909,-20.019655227661133,-1.5969914197921753,-20.342159271240234,-1.7298146486282349,2.761045455932617,0.1108490526676178,-0.09696100652217865,0.02021842636168003,0.7560079097747803,3.297138214111328,10.0,10.0,0.8110291957855225,-19.525878453593226,-1.721039242322095,-0.7900428385086518,0.19847651604787164,5.901242733001709,6.398786220117721
2,2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,0,1,0,-28.881437301635742,-1.16508948802948,-20.019655227661133,-1.5969914197921753,-8.908679962158203,-0.4026999771595001,-13.640005111694336,-0.3726810812950134,-23.1026554107666,-0.31264790892601013,-22.701616287231445,-1.318560004234314,-22.72974395751953,-1.4294896125793457,2.9675521850585938,0.09898560494184494,-0.12798276543617249,0.041289057582616806,0.781965434551239,3.044544219970703,10.0,10.0,0.8367153406143188,-22.039728775639244,-1.375158544418491,-1.6979430633344328,0.2761118037033441,6.181726455688477,6.84493276542183
3,3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,0,1,0,-31.84273910522461,-0.8719794154167175,-22.701616287231445,-1.318560004234314,-27.772829055786133,9.233684539794922,-27.803403854370117,4.475525379180908,-27.833980560302734,-0.28263363242149353,-25.826160430908203,-0.9855427742004395,-25.601482391357422,-1.1294746398925781,3.0374178886413574,0.09910479187965393,-0.14061316847801208,0.05815258249640465,0.7931361794471741,2.9446489810943604,10.0,10.0,0.8507484197616577,-25.115668089204636,-1.0241561998485915,-2.2637613539783064,0.30686256794628547,6.017650604248047,6.728792033366466
4,4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,0,1,0,-34.80412292480469,-0.5788613557815552,-25.826160430908203,-0.9855427742004395,-27.772829055786133,9.233684539794922,-27.803403854370117,4.475525379180908,-27.833980560302734,-0.28263363242149353,-29.017860412597656,-0.676845908164978,-28.790124893188477,-0.7982180118560791,3.0706310272216797,0.09050380438566208,-0.14117562770843506,0.06384342163801193,0.7965448498725891,2.9162180423736572,10.0,10.0,0.8566426038742065,-28.368130109412192,-0.6928857122809878,-2.6217507062423326,0.31570020266607646,5.787092208862305,6.437002802054612
5,5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,0,1,0,-38.077056884765625,-0.2521708011627197,-29.017860412597656,-0.676845908164978,-27.772829055786133,9.233684539794922,-27.803403854370117,4.475525379180908,-32.565303802490234,-0.2526208460330963,-32.26836013793945,-0.40026021003723145,-32.01396179199219,-0.4803042709827423,3.1038904190063477,0.08743813633918762,-0.1393263339996338,0.06299810856580734,0.7977091670036316,2.905071496963501,10.0,10.0,0.855821967124939,-31.717316716531652,-0.3903146742377549,-2.8742208904195827,0.311143481439607,5.81058406829834,6.361240345806536
6,6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,0,1,0,-41.34334182739258,0.07385636121034622,-32.26836013793945,-0.40026021003723145,-27.772829055786133,9.233684539794922,-27.803403854370117,4.475525379180908,-37.296630859375,-0.22260963916778564,-35.61820983886719,-0.14348125457763672,-35.29808044433594,-0.1966233253479004,3.105414390563965,0.07477868348360062,-0.13369111716747284,0.06331577152013779,0.7971718907356262,2.9115195274353027,10.0,10.0,0.8572172522544861,-35.158464799546636,-0.11468313287686549,-3.0703810831949423,0.2988561381922711,5.7292561531066895,6.1877500749793635
7,7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,0,1,0,-44.61831283569336,0.40075016021728516,-35.61820983886719,-0.14348125457763672,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-37.296630859375,-0.22260963916778564,-38.946678161621094,0.09099824726581573,-38.65092086791992,0.07304626703262329,3.1137804985046387,0.07004281878471375,-0.13030654191970825,0.061597391963005066,0.7976488471031189,2.910278797149658,10.0,10.0,0.8586403727531433,-38.62068713316251,0.13331194100271138,-3.2068856537268466,0.2811378205487311,5.680086612701416,6.003585367824405
8,8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,0,1,0,-47.93851089477539,0.7270652055740356,-38.946678161621094,0.09099824726581573,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-42.0279541015625,-0.19259993731975555,-42.27269744873047,0.2878238558769226,-41.988800048828125,0.31415635347366333,3.1298604011535645,0.07119931280612946,-0.1284313052892685,0.05813746899366379,0.7971183657646179,2.9156277179718018,10.0,10.0,0.8577165603637695,-42.06983664948168,0.34553225676508614,-3.291723526939799,0.25700374429544787,5.68281364440918,5.881063236218478
9,9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,0,1,0,-51.25859451293945,1.0533686876296997,-42.27269744873047,0.2878238558769226,-32.53472900390625,4.505537986755371,-37.266056060791016,4.535549163818359,-46.75927734375,-0.16259177029132843,-45.606101989746094,0.4672485291957855,-45.33168029785156,0.5133576393127441,3.115046501159668,0.05812350660562515,-0.12382970005273819,0.05768503248691559,0.7972282767295837,2.916245937347412,10.0,10.0,0.856987476348877,-45.49463172928684,0.5289170410981611,-3.3384218781776522,0.23116889096983362,5.682799339294434,5.7877730173946915
