sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,waypoint_reached_this_frame,waypoint_switched_after_frame,terminal_locked,gt_x,gt_y,search_center_x,search_center_y,raw_top1_x,raw_top1_y,raw_hardms_x,raw_hardms_y,refined_hardms_x,refined_hardms_y,proposal_x,proposal_y,visual_measurement_x,visual_measurement_y,polynomial_x,polynomial_y,translation_probability,stationary_probability,rotation_probability,predicted_phase,effective_translation_gate,ecc_center_shift_norm,ecc_rotation_deg,ecc_correlation,observed_delta_parallel,observed_delta_cross,observed_acc_parallel,observed_acc_cross,inertia_strength,polynomial_sigma_m,measurement_var_x,measurement_var_y,refined_hardms_support,final_x,final_y,error_visual_m,error_final_m
0,0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,0,1,0,0,0,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-37.296630859375,-0.22260963916778564,-38.68108367919922,1.0103631019592285,-38.367366790771484,0.9578424692153931,-37.63298034667969,0.8348962068557739,0.7006807327270508,0.25258320569992065,0.046736061573028564,1,0.7006807327270508,0.0,0.0,0.0,0.7432727813720703,-0.04455149918794632,0.7432727813720703,-0.04455149918794632,0.8379040956497192,2.8910410404205322,7.0,7.0,0.8189879059791565,-38.05198610925967,0.9050434608400966,0.7446067929267883,0.42483698793393215
1,1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,0,1,0,0,0,-47.69226837158203,1.7922438383102417,-38.367366790771484,0.9578424692153931,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-42.0279541015625,-0.19259993731975555,-40.226104736328125,1.2302838563919067,-39.85669708251953,1.1761385202407837,-39.46894836425781,1.1422618627548218,0.8012588620185852,0.18355537950992584,0.015185736119747162,1,0.8012588620185852,0.05763054598169275,0.0062306729130774665,0.9925127625465393,1.5040675401687622,-0.0594862699508667,0.7607947587966919,-0.01493477076292038,0.9207291603088379,2.340582847595215,7.0,7.0,0.8924530744552612,-38.73812724141491,1.0081123032946246,7.859755992889404,8.988409516880978
2,2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,0,1,0,0,0,-50.9120979309082,2.1374623775482178,-39.85669708251953,1.1761385202407837,-32.53472900390625,4.505537986755371,-37.266056060791016,4.535549163818359,-42.0279541015625,-0.19259993731975555,-42.399192810058594,1.5030878782272339,-41.94261169433594,1.4443745613098145,-41.7234992980957,1.44210946559906,0.8204206228256226,0.1686021387577057,0.010977263562381268,1,0.8204206228256226,0.03522327385641544,0.0556617649474734,0.9898175001144409,2.1025872230529785,-0.04602202773094177,0.5985196828842163,0.013464242219924927,0.9360219240188599,2.259793996810913,7.0,7.0,0.9048095345497131,-39.69077175841774,1.13780644105042,8.996224403381348,11.265765533721833
3,3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,0,1,0,0,0,-54.1414794921875,2.4837052822113037,-41.94261169433594,1.4443745613098145,-32.53472900390625,4.505537986755371,-37.266056060791016,4.535549163818359,-46.75927734375,-0.16259177029132843,-45.103763580322266,1.8137381076812744,-44.56032943725586,1.7502408027648926,-44.326820373535156,1.73758065700531,0.8280900120735168,0.16195186972618103,0.009958140552043915,1,0.8280900120735168,0.055608399015858644,0.060608268532415153,0.991272509098053,2.6353864669799805,-0.02717149257659912,0.532799243927002,0.01885053515434265,0.9398214221000671,2.240487575531006,7.0,7.0,0.9012628197669983,-40.92671606679221,1.2932486420748384,9.609183311462402,13.268276429182881
4,4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,0,1,0,0,0,-57.659645080566406,2.8609108924865723,-44.56032943725586,1.7502408027648926,-37.266056060791016,4.535549163818359,-37.266056060791016,4.535549163818359,-46.75927734375,-0.16259177029132843,-48.12731170654297,2.1576077938079834,-47.51058578491211,2.087174654006958,-47.443946838378906,2.0749220848083496,0.8271017074584961,0.16313020884990692,0.009768046438694,1,0.8271017074584961,0.03044958514086205,0.14232358620404537,0.984178900718689,2.9693455696105957,-0.02287915349006653,0.33395910263061523,0.004292339086532593,0.9409080147743225,2.2353408336639404,7.0,7.0,0.9022489786148071,-42.43305466950841,1.4748927891609354,10.178510665893555,15.28954223411773
5,5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,0,1,0,0,0,-60.85377502441406,3.1642963886260986,-47.51058578491211,2.087174654006958,-37.266056060791016,4.535549163818359,-37.296630859375,-0.22260963916778564,-51.46003723144531,4.625573635101318,-51.36997985839844,2.5546016693115234,-50.72107696533203,2.47601056098938,-50.627113342285156,2.4396421909332275,0.8318644762039185,0.1586281657218933,0.009507359936833382,1,0.8318644762039185,0.044670121126541285,0.12382757072590225,0.9807451367378235,3.2336113452911377,-0.046954721212387085,0.264265775680542,-0.024075567722320557,0.9416373372077942,2.2323193550109863,7.0,7.0,0.9095414876937866,-44.20353989217609,1.6887513138979418,10.156047821044922,16.715488722330743
6,6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,0,1,0,0,0,-64.02477264404297,3.465484857559204,-50.72107696533203,2.47601056098938,-42.0279541015625,-0.19259993731975555,-46.75927734375,-0.16259177029132843,-56.19136428833008,4.65557861328125,-54.86167907714844,2.9879298210144043,-54.14439392089844,2.8992490768432617,-54.061683654785156,2.8907976150512695,0.8267681002616882,0.1635899692773819,0.009641969576478004,1,0.8267681002616882,0.025488136954760106,0.20148219122806807,0.9746792316436768,3.448882579803467,-0.05864536762237549,0.2152712345123291,-0.011690646409988403,0.9418048858642578,2.2318286895751953,7.0,7.0,0.9047544598579407,-46.23270520452306,1.9358427674234844,9.896591186523438,17.85770054336054
7,7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,0,1,0,0,0,-67.50447845458984,3.795994520187378,-54.14439392089844,2.8992490768432617,-70.32421875,14.261902809143066,-65.65401458740234,4.7155842781066895,-56.19136428833008,4.65557861328125,-58.43090057373047,3.419826030731201,-57.65997314453125,3.326200485229492,-57.67412567138672,3.339689016342163,0.8201503753662109,0.1699076145887375,0.00994203146547079,1,0.8201503753662109,0.03693132643169917,0.2901478894982783,0.9541767239570618,3.541019916534424,-0.05257523059844971,0.09213733673095703,0.006070137023925781,0.9414620995521545,2.2331693172454834,7.0,7.0,0.9024715423583984,-48.49602591264738,2.211221399562967,9.855708122253418,19.0744010098124
8,8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,0,1,0,0,0,-70.70535278320312,4.076558589935303,-57.65997314453125,3.326200485229492,-70.32421875,14.261902809143066,-65.65401458740234,4.7155842781066895,-60.92268753051758,4.685582160949707,-62.003013610839844,3.8763866424560547,-61.230499267578125,3.7785229682922363,-61.221683502197266,3.7550084590911865,0.8221262693405151,0.1680229902267456,0.009850717149674892,1,0.8221262693405151,0.034397305058550015,0.513335497654002,0.9355809092521667,3.5983426570892334,-0.0719899833202362,0.05732274055480957,-0.0194147527217865,0.9415579438209534,2.2326180934906006,7.0,7.0,0.9082952737808228,-50.968378963276805,2.5155074667369757,9.47953987121582,19.798611470951585
9,9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,0,1,0,0,0,-73.90149688720703,4.35670804977417,-61.230499267578125,3.7785229682922363,-75.05554962158203,14.291901588439941,-70.38533782958984,4.745584964752197,-65.65401458740234,4.7155842781066895,-65.64735412597656,4.387772560119629,-64.840576171875,4.276487350463867,-64.82849884033203,4.243530750274658,0.8173403739929199,0.172562837600708,0.010096806101500988,1,0.8173403739929199,0.04532705949092208,0.4152327123660989,0.9300098419189453,3.642500877380371,-0.11319085955619812,0.044158220291137695,-0.041200876235961914,0.9411808848381042,2.234018564224243,7.0,7.0,0.9148451089859009,-53.626221530443544,2.852902273378902,9.061275482177734,20.33096708486098
