pair_current_index,pair_next_index,current_frame_id,next_frame_id,reference_current_x,reference_current_y,search_center_x,search_center_y,search_center_error_m,final_ms_x,final_ms_y,final_error_m,reference_next_x,reference_next_y,provisional_next_x,provisional_next_y,provisional_next_error_m,ms_candidate_count,kalman_current_xy_x,kalman_current_xy_y,gru_next_xy_x,gru_next_xy_y
0,1,0,1,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,0.0,-13.725164413452148,-1.2636386156082153,5.134360062203189,-25.919267654418945,-1.4582853317260742,-16.46761703491211,-0.9473753571510315,9.465449193532455,36,-16.039731979370117,-1.6612141132354736,-16.46761703491211,-0.9473753571510315
1,2,1,2,-25.919267654418945,-1.4582853317260742,-25.919267654418945,-1.4582853317260742,0.0,-22.217599868774414,-1.649889349937439,3.706623327918987,-28.881437301635742,-1.16508948802948,-21.574665069580078,-1.3402583599090576,7.308871635540966,36,-20.43785858154297,-1.5615719556808472,-21.574665069580078,-1.3402583599090576
2,3,2,3,-28.881437301635742,-1.16508948802948,-28.881437301635742,-1.16508948802948,0.0,-22.52801513671875,-1.4044976234436035,6.357931224931659,-31.84273910522461,-0.8719794154167175,-25.472190856933594,-1.5815277099609375,6.4099410111243875,36,-22.25267219543457,-1.3965702056884766,-25.472190856933594,-1.5815277099609375
3,4,3,4,-31.84273910522461,-0.8719794154167175,-31.84273910522461,-0.8719794154167175,0.0,-26.19841766357422,-1.344008445739746,5.6640247123526954,-34.80412292480469,-0.5788613557815552,-28.838245391845703,-1.032171368598938,5.983074853784237,36,-25.523059844970703,-1.2862255573272705,-28.838245391845703,-1.032171368598938
4,5,4,5,-34.80412292480469,-0.5788613557815552,-34.80412292480469,-0.5788613557815552,0.0,-26.296127319335938,-0.8229289054870605,8.511495649502196,-38.077056884765625,-0.2521708011627197,-31.344097137451172,-0.6853709816932678,6.746881454077017,36,-26.82665252685547,-0.9796174764633179,-31.344097137451172,-0.6853709816932678
5,6,5,6,-38.077056884765625,-0.2521708011627197,-38.077056884765625,-0.2521708011627197,0.0,-29.965103149414062,-0.7308599948883057,8.126065268546261,-41.34334182739258,0.07385636121034622,-31.389995574951172,-1.0567132234573364,10.017349410236474,36,-29.36572265625,-0.7589905858039856,-31.389995574951172,-1.0567132234573364
6,7,6,7,-41.34334182739258,0.07385636121034622,-41.34334182739258,0.07385636121034622,0.0,-33.300689697265625,0.9880398511886597,8.094441595291459,-44.61831283569336,0.40075016021728516,-35.931026458740234,-0.38734132051467896,8.722960092606044,36,-32.289466857910156,0.17801903188228607,-35.931026458740234,-0.38734132051467896
7,8,7,8,-44.61831283569336,0.40075016021728516,-44.61831283569336,0.40075016021728516,0.0,-39.29884719848633,-1.9792786836624146,5.827628330901495,-47.93851089477539,0.7270652055740356,-41.3001708984375,0.3999868631362915,6.646392867493703,36,-35.85820770263672,-0.5738503932952881,-41.3001708984375,0.3999868631362915
8,9,8,9,-47.93851089477539,0.7270652055740356,-47.93851089477539,0.7270652055740356,0.0,-38.16938400268555,-2.9694666862487793,10.445103554346224,-51.25859451293945,1.0533686876296997,-44.46783447265625,-0.0627220869064331,6.881866065371499,36,-38.407737731933594,-1.5342975854873657,-44.46783447265625,-0.0627220869064331
9,10,9,10,-51.25859451293945,1.0533686876296997,-51.25859451293945,1.0533686876296997,0.0,-50.824920654296875,0.21745654940605164,0.9417123331992494,-54.585689544677734,1.3803616762161255,-51.40826416015625,2.4169859886169434,3.342248051725361,36,-44.78377151489258,-0.9535728693008423,-51.40826416015625,2.4169859886169434
10,11,10,11,-54.585689544677734,1.3803616762161255,-54.585689544677734,1.3803616762161255,0.0,-54.069576263427734,1.8826282024383545,0.7201698288917598,-57.930152893066406,1.7030118703842163,-57.418701171875,3.301811695098877,1.6786136370878444,36,-50.82466125488281,0.4560248553752899,-57.418701171875,3.301811695098877
11,12,11,12,-57.930152893066406,1.7030118703842163,-57.930152893066406,1.7030118703842163,0.0,-54.707862854003906,1.8979504108428955,3.2281812418756117,-61.281715393066406,2.0263473987579346,-60.840476989746094,4.186646938323975,2.2049003218317837,36,-54.961856842041016,1.3202227354049683,-60.840476989746094,4.186646938323975
