sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,waypoint_branch_selected,waypoint_switched_after_frame,mission_complete,gt_x,gt_y,hold_x,hold_y,local_x,local_y,recovery_x,recovery_y,waypoint_x,waypoint_y,global_top1_x,global_top1_y,polynomial_x,polynomial_y,heading_deg,raw_image_rotation_deg,image_heading_delta_deg,image_rotation_confidence,heading_current_leg_similarity,heading_next_leg_similarity,heading_switched_leg,forward_candidate_count,branch_hold,branch_local,branch_recovery,branch_waypoint,selected_branch,visual_x,visual_y,observed_delta_parallel,observed_delta_cross,observed_acc_parallel,observed_acc_cross,measurement_var_x,measurement_var_y,final_x,final_y,error_visual_m,error_final_m
0,0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,0,1,0,0,0,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-41.41212463378906,2.5675008296966553,-60.70102310180664,17.568492889404297,-768.4666748046875,78.60895538330078,-89.2495346069336,14.381888389587402,-37.63298034667969,0.8348962068557739,173.92622867160193,0.0,0.0,0.0,1.0,-0.9999999403953552,0,18,0.8569977879524231,0.12510861456394196,0.012293253093957901,0.005600285716354847,0,-42.48223876953125,1.692927360534668,4.912824630737305,-0.34011995792388916,4.912824630737305,-0.34011995792388916,7.0,7.0,-40.39332744891827,1.3233139404883751,4.924583435058594,2.803224573123557
1,1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,0,1,0,0,0,-47.69226837158203,1.7922438383102417,-42.48223876953125,1.692927360534668,-47.78437805175781,-0.27193784713745117,-88.09518432617188,22.919187545776367,-768.4240112304688,78.70404815673828,-89.2495346069336,14.381888389587402,-49.756126403808594,2.9799740314483643,173.95253819677328,0.01753968745470047,0.026309531182050705,0.9927889108657837,0.9999998807907104,-1.0000001192092896,0,18,0.8918946385383606,0.09736604243516922,0.007512095849961042,0.003227256704121828,0,-45.68394088745117,1.9096046686172485,3.206655740737915,0.12330752611160278,-1.7061688899993896,0.46342748403549194,7.0,7.0,-42.38749567754707,1.544301989673548,2.011753559112549,5.310563858544994
2,2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,0,1,0,0,0,-50.9120979309082,2.1374623775482178,-45.68394088745117,1.9096046686172485,-50.370216369628906,0.027460038661956787,-87.81244659423828,23.213218688964844,-768.3671875,78.69145202636719,-89.2495346069336,14.381888389587402,-48.061866760253906,1.8056050539016724,174.03628697025994,0.05583242326974869,0.08374863490462303,0.9898229241371155,0.9999982118606567,-0.9999991059303284,0,18,0.8969697952270508,0.09302053600549698,0.007005749270319939,0.003003910882398486,0,-48.58587646484375,2.114420175552368,2.9073169231414795,0.10338477790355682,-0.29933881759643555,-0.01992274820804596,7.0,7.0,-44.19807716391487,1.7108366812028788,2.3263356685638428,6.727561545195996
3,3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,0,1,0,0,0,-54.1414794921875,2.4837052822113037,-48.58587646484375,2.114420175552368,-54.389583587646484,-4.291682243347168,-87.57267761230469,22.90839958190918,-768.4464721679688,78.52318572998047,-89.2495346069336,14.381888389587402,-51.337928771972656,2.313304901123047,174.12712741620123,0.06056031584739685,0.09084047377109528,0.9912804365158081,0.9999938607215881,-0.9999957084655762,0,18,0.8880069255828857,0.09777092933654785,0.009481091983616352,0.004740971140563488,0,-52.9357795715332,2.0474905967712402,4.318403244018555,0.5268122553825378,1.4110863208770752,0.4234274625778198,7.0,7.0,-46.355291683283404,1.7939517474739777,1.2821838855743408,7.816679636150467
4,4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,0,1,0,0,0,-57.659645080566406,2.8609108924865723,-52.9357795715332,2.0474905967712402,-60.76609802246094,-2.1611111164093018,-87.03718566894531,23.477933883666992,-768.443359375,78.4981689453125,-89.2495346069336,14.381888389587402,-58.009666442871094,1.8446884155273438,174.34019530347695,0.14204518496990204,0.21306777745485306,0.984188973903656,0.9999739527702332,-0.9999777674674988,0,18,0.8822579383850098,0.09982507675886154,0.011460082605481148,0.0064568789675831795,0,-58.728187561035156,2.366594076156616,5.793656349182129,0.29557597637176514,1.4752531051635742,-0.2312362790107727,7.0,7.0,-49.081458109857365,1.9201241735829582,1.177341103553772,8.62962173880801
5,5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,0,1,0,0,0,-60.85377502441406,3.1642963886260986,-58.728187561035156,2.366594076156616,-67.64127349853516,3.6422760486602783,-88.2979507446289,23.583587646484375,-768.41455078125,78.65238952636719,-89.2495346069336,14.381888389587402,-65.24185180664062,2.878714084625244,174.1545654128442,-0.12375284731388092,-0.18562927097082138,0.9807525277137756,0.9999920725822449,-0.999994158744812,0,18,0.9043833613395691,0.0872792974114418,0.005948452744632959,0.0023888680152595043,0,-61.377357482910156,2.786379814147949,2.678715944290161,-0.13712358474731445,-3.1149404048919678,-0.4326995611190796,7.0,7.0,-51.58800300060054,2.0967122037919714,0.6457240581512451,9.327071737099129
6,6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,0,1,0,0,0,-64.02477264404297,3.465484857559204,-61.377357482910156,2.786379814147949,-69.96531677246094,5.526884078979492,-86.75546264648438,23.603836059570312,-768.465576171875,78.52446746826172,-89.2495346069336,14.381888389587402,-62.45491027832031,3.2565066814422607,174.45742308089527,0.20190508663654327,0.3028576299548149,0.9746814966201782,0.9999570250511169,-0.9999620318412781,0,18,0.8730366230010986,0.10340362042188644,0.01430168841034174,0.00925816036760807,0,-69.17467498779297,4.068678379058838,7.889225959777832,-0.4500749707221985,5.21051025390625,-0.31295138597488403,7.0,7.0,-54.986913678304184,2.4778267713500703,5.185107231140137,9.09166448896126
7,7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,0,1,0,0,0,-67.50447845458984,3.795994520187378,-69.17467498779297,4.068678379058838,-77.59384155273438,7.285676002502441,-86.61260986328125,23.70160675048828,-768.4745483398438,78.50389099121094,-89.2495346069336,14.381888389587402,-79.54606628417969,5.782233238220215,174.8922287897386,0.28987058997154236,0.43480588495731354,0.9541685581207275,0.9998579025268555,-0.9998669624328613,0,18,0.8782927989959717,0.10031940042972565,0.013109007850289345,0.008278737775981426,0,-76.03719329833984,5.265003681182861,6.950577259063721,-0.4634944200515747,-0.9386487007141113,-0.01341944932937622,7.0,7.0,-58.908948798576816,2.9971265585306943,8.658245086669922,8.632573201981026
8,8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,0,1,0,0,0,-70.70535278320312,4.076558589935303,-76.03719329833984,5.265003681182861,-85.80060577392578,5.905680179595947,-86.78273010253906,23.835126876831055,-768.5114135742188,78.4757308959961,-89.2495346069336,14.381888389587402,-82.43231201171875,6.418342590332031,175.6621940732072,0.5133100748062134,0.7699651122093201,0.9355876445770264,0.9995411038398743,-0.9995574355125427,0,18,0.8674389123916626,0.1034916415810585,0.01672220230102539,0.01234721951186657,0,-85.77743530273438,6.545790195465088,9.821084022521973,-0.24299275875091553,2.870506763458252,0.22050166130065918,7.0,7.0,-63.790702071419574,3.641885626784946,15.273008346557617,6.928299578602435
9,9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,0,1,0,0,0,-73.90149688720703,4.35670804977417,-85.77743530273438,6.545790195465088,-92.24398040771484,6.654816150665283,-90.31836700439453,21.591201782226562,-768.5608520507812,78.51349639892578,-89.2495346069336,14.381888389587402,-96.95654296875,7.868807315826416,176.28530567570905,0.41540786623954773,0.6231117993593216,0.9299901127815247,0.9991525411605835,-0.9991748332977295,0,18,0.8916144967079163,0.09468517452478409,0.009192429482936859,0.0045079500414431095,0,-89.50942993164062,7.018844127655029,3.7610983848571777,-0.07552030682563782,-6.059985637664795,0.1674724519252777,7.0,7.0,-68.3835689167727,4.244945032408529,15.83333683013916,5.51905970786258
