frame_index,frame_id,reference_x,reference_y,search_center_x,search_center_y,jitter_m,visual_x,visual_y,visual_error_m,final_x,final_y,final_error_m,gru_xy_x,gru_xy_y
0,0,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,0.0,-29.69103240966797,0.6151264905929565,7.944988090764576,-30.68037223815918,1.3268269300460815,6.969989623169008,-30.68037223815918,1.3268269300460815
1,1,-47.69226837158203,1.7922438383102417,-47.69226837158203,1.7922438383102417,0.0,-39.5966911315918,-1.8984417915344238,8.897164226144746,-40.09650421142578,-0.9652137756347656,8.080792391184016,-40.09650421142578,-0.9652137756347656
2,2,-50.9120979309082,2.1374623775482178,-50.9120979309082,2.1374623775482178,0.0,-51.9869384765625,0.570592999458313,1.900095220397723,-52.04916000366211,2.3799474239349365,1.1626302744280224,-52.04916000366211,2.3799474239349365
3,3,-54.1414794921875,2.4837052822113037,-54.1414794921875,2.4837052822113037,0.0,-54.185997009277344,4.601127624511719,2.117890267459771,-53.702171325683594,5.28888463973999,2.8393701578100163,-53.702171325683594,5.28888463973999
4,4,-57.659645080566406,2.8609108924865723,-57.659645080566406,2.8609108924865723,0.0,-53.45266342163086,4.556041240692139,4.535654481552537,-50.59016036987305,5.382895469665527,7.505865725035033,-50.59016036987305,5.382895469665527
5,5,-60.85377502441406,3.1642963886260986,-60.85377502441406,3.1642963886260986,0.0,-73.4153060913086,9.627350807189941,14.126681675534211,-69.4436264038086,7.69331693649292,9.7106937879374,-69.4436264038086,7.69331693649292
6,6,-64.02477264404297,3.465484857559204,-64.02477264404297,3.465484857559204,0.0,-76.6735610961914,7.9935503005981445,13.434851170133859,-72.2319564819336,5.441415786743164,8.441692341340028,-72.2319564819336,5.441415786743164
7,7,-67.50447845458984,3.795994520187378,-67.50447845458984,3.795994520187378,0.0,-75.13109588623047,6.675940990447998,8.15226257674342,-69.0447769165039,4.648054122924805,1.760262741295142,-69.0447769165039,4.648054122924805
8,8,-70.70535278320312,4.076558589935303,-70.70535278320312,4.076558589935303,0.0,-77.14640045166016,6.686550617218018,6.949759236823611,-71.66455078125,4.318863391876221,0.9893292760758474,-71.66455078125,4.318863391876221
9,9,-73.90149688720703,4.35670804977417,-73.90149688720703,4.35670804977417,0.0,-77.87831115722656,5.52518892288208,4.144924521514234,-72.29702758789062,3.517569065093994,1.8106562258084653,-72.29702758789062,3.517569065093994
10,10,-77.41057586669922,4.6642866134643555,-77.41057586669922,4.6642866134643555,0.0,-77.76382446289062,5.47208309173584,0.8816573716694098,-72.37462615966797,4.638236045837402,5.036017085338553,-72.37462615966797,4.638236045837402
11,11,-80.71418762207031,4.9646830558776855,-80.71418762207031,4.9646830558776855,0.0,-81.38468933105469,4.772594451904297,0.6974744249988044,-79.80384063720703,4.141269207000732,1.2274941952498288,-79.80384063720703,4.141269207000732
12,12,-84.01985931396484,5.2652668952941895,-84.01985931396484,5.2652668952941895,0.0,-83.02679443359375,5.197080612182617,0.9954030469267342,-79.8166275024414,3.513329029083252,4.553728576503691,-79.8166275024414,3.513329029083252
