frame_index,frame_id,reference_x,reference_y,search_center_x,search_center_y,jitter_m,visual_x,visual_y,visual_error_m,final_x,final_y,final_error_m,gru_xy_x,gru_xy_y
0,0,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,0.0,-13.725164413452148,-1.2636386156082153,5.134360062203189,-13.919426918029785,-1.1804066896438599,4.958955891171626,-13.919426918029785,-1.1804066896438599
1,1,-25.919267654418945,-1.4582853317260742,-25.919267654418945,-1.4582853317260742,0.0,-22.217599868774414,-1.649889349937439,3.706623327918987,-22.99124526977539,-0.9958528280258179,2.9643142386481593,-22.99124526977539,-0.9958528280258179
2,2,-28.881437301635742,-1.16508948802948,-28.881437301635742,-1.16508948802948,0.0,-22.52801513671875,-1.4044976234436035,6.357931224931659,-22.962852478027344,-0.0523982048034668,6.022269356813493,-22.962852478027344,-0.0523982048034668
3,3,-31.84273910522461,-0.8719794154167175,-31.84273910522461,-0.8719794154167175,0.0,-26.19841766357422,-1.344008445739746,5.6640247123526954,-26.62525749206543,0.02359175682067871,5.29378523442317,-26.62525749206543,0.02359175682067871
4,4,-34.80412292480469,-0.5788613557815552,-34.80412292480469,-0.5788613557815552,0.0,-26.296127319335938,-0.8229289054870605,8.511495649502196,-26.452539443969727,1.0778496265411377,8.514319580348392,-26.452539443969727,1.0778496265411377
5,5,-38.077056884765625,-0.2521708011627197,-38.077056884765625,-0.2521708011627197,0.0,-29.965103149414062,-0.7308599948883057,8.126065268546261,-30.230510711669922,1.3870456218719482,8.015941449890299,-30.230510711669922,1.3870456218719482
6,6,-41.34334182739258,0.07385636121034622,-41.34334182739258,0.07385636121034622,0.0,-33.300689697265625,0.9880398511886597,8.094441595291459,-33.76899719238281,2.905478000640869,8.086332775664902,-33.76899719238281,2.905478000640869
7,7,-44.61831283569336,0.40075016021728516,-44.61831283569336,0.40075016021728516,0.0,-39.29884719848633,-1.9792786836624146,5.827628330901495,-38.33536911010742,-1.4936258792877197,6.562319897561408,-38.33536911010742,-1.4936258792877197
8,8,-47.93851089477539,0.7270652055740356,-47.93851089477539,0.7270652055740356,0.0,-38.16938400268555,-2.9694666862487793,10.445103554346224,-38.261314392089844,-2.081984043121338,10.076650724977293,-38.261314392089844,-2.081984043121338
9,9,-51.25859451293945,1.0533686876296997,-51.25859451293945,1.0533686876296997,0.0,-50.824920654296875,0.21745654940605164,0.9417123331992494,-46.753684997558594,-0.7456998825073242,4.850861517485722,-46.753684997558594,-0.7456998825073242
10,10,-54.585689544677734,1.3803616762161255,-54.585689544677734,1.3803616762161255,0.0,-54.069576263427734,1.8826282024383545,0.7201698288917598,-49.16200637817383,0.2853957414627075,5.533108483383302,-49.16200637817383,0.2853957414627075
11,11,-57.930152893066406,1.7030118703842163,-57.930152893066406,1.7030118703842163,0.0,-54.707862854003906,1.8979504108428955,3.2281812418756117,-49.77838134765625,0.5907944440841675,8.2272964533876,-49.77838134765625,0.5907944440841675
12,12,-61.281715393066406,2.0263473987579346,-61.281715393066406,2.0263473987579346,0.0,-71.48768615722656,3.3606817722320557,10.29282699063413,-65.35808563232422,1.6670478582382202,4.092174298258136,-65.35808563232422,1.6670478582382202
13,13,-64.62455749511719,2.3488411903381348,-64.62455749511719,2.3488411903381348,0.0,-75.41407775878906,6.955306053161621,11.731720506925376,-74.89976501464844,6.6203508377075195,11.127698964161516,-74.89976501464844,6.6203508377075195
14,14,-67.96265411376953,2.678952693939209,-67.96265411376953,2.678952693939209,0.0,-74.39954376220703,6.409513473510742,7.439800540084338,-74.76969146728516,5.549260139465332,7.3874503290377325,-74.76969146728516,5.549260139465332
15,15,-71.30087280273438,3.009075880050659,-71.30087280273438,3.009075880050659,0.0,-76.67483520507812,5.20000696182251,5.803417174982183,-75.19552612304688,2.2188663482666016,3.9740100137699153,-75.19552612304688,2.2188663482666016
16,16,-74.64299774169922,3.3395848274230957,-74.64299774169922,3.3395848274230957,0.0,-79.19923400878906,5.8476481437683105,5.200929774601975,-75.75546264648438,3.2512197494506836,1.11596888459478,-75.75546264648438,3.2512197494506836
