sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,waypoint_switched_after_frame,gt_x,gt_y,prediction_x,prediction_y,raw_top1_x,raw_top1_y,hardms_x,hardms_y,visual_measurement_x,visual_measurement_y,measurement_var_x,measurement_var_y,final_x,final_y,vx,vy,error_m
0,0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,0,1,0,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,-28.486974716186523,2.443981409072876,12.76124095916748,12.447968482971191,-26.19155831395622,1.3758102479098966,-4.496851853152477,2.145272063116638,8.210922275079067
1,1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,0,1,0,-25.919267654418945,-1.4582853317260742,-30.6884101671087,3.5210823110265346,-27.772829055786133,9.233684539794922,-32.50415802001953,9.263697624206543,-35.754573822021484,6.915112495422363,16.1783504486084,15.581307411193848,-34.16965389830231,5.8708620024550395,-6.424796701286926,3.4522008924042167,11.035636538931225
2,2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,0,1,0,-25.919267654418945,-1.4582853317260742,-40.59445059958924,9.323062894859255,-37.266056060791016,4.535549163818359,-41.96681213378906,9.323718070983887,-45.421974182128906,10.782130241394043,18.558561325073242,17.764036178588867,-43.58673069824329,10.234068497710929,-7.689107537904253,3.839111622780396,21.186089504145144
3,3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,0,1,0,-25.919267654418945,-1.4582853317260742,-51.275838236147536,14.073180120491326,-70.29365539550781,19.020061492919922,-60.8615608215332,14.201900482177734,-60.70160675048828,15.133651733398438,20.184146881103516,19.254804611206055,-56.49607443380403,14.664599383160779,-9.45815875083801,4.040716909593789,34.56715962229732
4,4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,0,1,0,-34.80412292480469,-0.5788613557815552,-65.95423318464205,18.705316292754567,-79.69519805908203,28.59637451171875,-79.75631713867188,19.08005714416504,-78.43431091308594,16.26175308227539,21.301891326904297,20.279876708984375,-72.20005841307982,17.473926720044616,-11.26526359333095,3.681931094055519,41.525403650704305
5,5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,0,1,0,-34.80412292480469,-0.5788613557815552,-83.46532200641076,21.155857814100134,-79.69519805908203,28.59637451171875,-89.21897888183594,19.140047073364258,-89.89681243896484,17.24155616760254,22.08924674987793,21.001970291137695,-86.42851013124863,19.339359417116622,-12.038853298907386,3.2036407600431493,55.333650459722655
6,6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,0,1,0,-34.80412292480469,-0.5788613557815552,-98.46736343015601,22.543000177159772,-117.576416015625,24.07813835144043,-112.84508514404297,24.048154830932617,-105.64382934570312,18.730213165283203,22.64023208618164,21.507293701171875,-101.57489849188273,20.879036333827635,-12.803877550188334,2.789824200133531,70.1339991950184
7,7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,0,1,0,-44.61831283569336,0.40075016021728516,-114.37877604207107,23.668860533961166,-122.33829498291016,19.349964141845703,-122.33829498291016,19.349964141845703,-119.68803405761719,18.704469680786133,23.044313430786133,21.87790298461914,-116.58045694504392,21.592381326089708,-13.331084047656603,2.286854834366683,75.0175673844821
8,8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,0,1,0,-44.61831283569336,0.40075016021728516,-129.9115409927005,23.87923616045639,-141.20254516601562,28.9862003326416,-136.50173950195312,24.19806480407715,-137.6734161376953,21.51970672607422,23.34364128112793,22.152441024780273,-133.0434404764758,22.918158530866616,-14.074084861459381,2.0560195798453402,91.24711983410357
9,9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,0,1,0,-44.61831283569336,0.40075016021728516,-147.11752533793518,24.974178110711957,-160.18893432617188,19.58977699279785,-155.4270782470703,24.317964553833008,-156.1388397216797,22.158771514892578,23.564678192138672,22.355175018310547,-150.7021934099404,23.84411123737053,-14.92397436115981,1.784656809024983,108.64336563400866
