sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,waypoint_switched_after_frame,gt_x,gt_y,prediction_x,prediction_y,raw_top1_x,raw_top1_y,hardms_x,hardms_y,visual_measurement_x,visual_measurement_y,measurement_var_x,measurement_var_y,final_x,final_y,vx,vy,error_m
0,0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,0,1,0,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-37.174339294433594,18.810026168823242,-41.96681213378906,9.323718070983887,-44.39364242553711,5.537525177001953,12.93662166595459,12.608793258666992,-42.77809781203666,4.435577467976891,-3.122037296939912,2.184879406020096,6.279899623123776
1,1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,0,1,0,-47.69226837158203,1.7922438383102417,-45.90013510897658,6.620456873996988,-41.96681213378906,9.323718070983887,-46.69813919067383,9.353726387023926,-50.84510040283203,9.497617721557617,16.4149169921875,15.798255920410156,-49.29049665200242,8.608166769592842,-4.995261130199906,3.2879735638161254,7.00079560060994
2,2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,0,1,0,-47.69226837158203,1.7922438383102417,-54.285757782202325,11.896140333408967,-70.29365539550781,19.020061492919922,-60.8615608215332,14.201900482177734,-63.25014877319336,14.853981971740723,18.762073516845703,17.9506778717041,-59.83963765293187,13.742084888987039,-7.3366740452518835,4.070293789925362,17.039873285735492
3,3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,0,1,0,-47.69226837158203,1.7922438383102417,-67.17631169818375,17.812378678912403,-79.69519805908203,28.59637451171875,-79.75631713867188,19.08005714416504,-78.6641845703125,17.185503005981445,20.34387969970703,19.401294708251953,-73.54092439113985,17.46265969665739,-9.48950622153075,3.9512927483001024,30.227718259752265
4,4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,0,1,0,-57.659645080566406,2.8609108924865723,-83.0304306126706,21.41395244495749,-79.69519805908203,28.59637451171875,-89.21897888183594,19.140047073364258,-88.66331481933594,18.78412628173828,21.426044464111328,20.393739700317383,-85.85121110653333,20.087952006319135,-10.304367229840835,3.5655180999607348,33.038391918102334
5,5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,0,1,0,-57.659645080566406,2.8609108924865723,-96.15557833637416,23.65347010627987,-117.576416015625,24.07813835144043,-112.84508514404297,24.048154830932617,-103.30767822265625,19.248687744140625,22.181520462036133,21.086593627929688,-99.45316465106498,21.60797638253006,-11.164106714245573,3.0276228545992376,45.805575452968895
6,6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,0,1,0,-57.659645080566406,2.8609108924865723,-110.61727136531056,24.6355992371293,-122.33829498291016,19.349964141845703,-122.30774688720703,24.108121871948242,-115.56401824951172,19.216190338134766,22.72163963317871,21.581958770751953,-112.76001065868147,22.269771376778237,-11.691013906864953,2.4399004001354907,58.41878252874349
7,7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,0,1,0,-67.50447845458984,3.795994520187378,-124.45102456554642,24.70967177691373,-122.33829498291016,19.349964141845703,-131.77041625976562,24.1680850982666,-129.806884765625,20.782360076904297,23.111186981201172,21.939241409301758,-126.67259109221685,23.066606836207406,-12.222460961662176,2.0422883639866463,62.22718097530419
8,8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,0,1,0,-67.50447845458984,3.795994520187378,-138.89505205387903,25.108895200194052,-155.3660125732422,33.83428192138672,-145.96441650390625,24.25801658630371,-147.08909606933594,23.082561492919922,23.395732879638672,22.200220108032227,-142.20216430003475,24.283346282723098,-13.006372852350498,1.8441641454508437,77.45628349531532
9,9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,0,1,0,-67.50447845458984,3.795994520187378,-155.20853715238525,26.12751042817394,-155.3660125732422,33.83428192138672,-164.88973999023438,24.377904891967773,-163.09097290039062,23.297208786010742,23.608461380004883,22.39533233642578,-158.34106363144804,24.991340257081546,-13.748551139639043,1.5715165743540696,93.2766202619879
