sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,gt_x,gt_y,visual_x,visual_y,final_x,final_y,selected_patch_x,selected_patch_y,progress_s_visual_m,progress_s_final_m,cross_visual_m,cross_final_m,rnn_delta_s_raw_m,predicted_step_m,rnn_delta_cross_m,motion_probability,polynomial_step_m,inertia_cap_m,selected_patch_progress_s_m,candidate_probability_max,candidate_probability_margin,candidate_route_distance_m,route_heading_deg,heading_residual_deg,estimated_heading_deg,search_heading_deg,measurement_variance_s,measurement_variance_cross,forward_candidate_count,error_visual_m,error_final_m
0,0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,0,1,-18.780746459960938,-2.1595981121063232,-20.047969818115234,-2.2545437812805176,-19.05118179321289,-2.244499444961548,-27.772829055786133,9.233684539794922,1.25,0.2599009900990099,0.228850319981575,0.11311282223342031,2.9919843673706055,1.25,0.228850319981575,0.9982278943061829,0.0,1.25,10.150054931640625,0.10037503391504288,0.010247036814689636,10.375009536743164,173.90999868913076,-0.48649943354119884,173.42349925558955,173.90999868913076,16.0,2.1998887062072754,18,1.2707751989364624,0.28344929218292236
1,1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,0,1,-25.919267654418945,-1.4582853317260742,-22.050830841064453,-2.1554174423217773,-19.597320556640625,-2.2693710327148438,-27.772829055786133,9.233684539794922,3.252074718475342,0.800318940635289,0.342768132686615,0.1957841045200644,2.992173671722412,2.992173671722412,0.22965532541275024,0.9982695579528809,2.5,3.0,10.150054931640625,0.10030052810907364,0.010558649897575378,10.375009536743164,173.90999868913076,-0.4895953235042129,173.42040336562656,173.42349925558958,16.0,2.1998887062072754,18,3.9307501316070557,6.373764514923096
2,2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,0,1,-28.881437301635742,-1.16508948802948,-22.59697151184082,-2.1802892684936523,-20.08618927001953,-2.286454200744629,-27.772829055786133,9.233684539794922,3.792492628097534,1.2846161797764535,0.42543959617614746,0.2646350154027519,2.992173671722412,2.992173671722412,0.22965550422668457,0.9982695579528809,3.0,3.0,10.150054931640625,0.09977701306343079,0.011008165776729584,10.375009536743164,173.90999868913076,-0.489598204990269,173.4204004841405,173.42040336562656,16.0,2.1998887062072754,18,6.365936279296875,8.86644458770752
3,3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,0,1,-31.84273910522461,-0.8719794154167175,-23.085838317871094,-2.1973719596862793,-20.53447914123535,-2.3007524013519287,-27.772829055786133,9.233684539794922,4.276789665222168,1.7288596397065794,0.49429044127464294,0.32641196396035715,2.992173671722412,2.992173671722412,0.2296554148197174,0.9982695579528809,2.992173671722412,3.0,10.150054931640625,0.09953495115041733,0.01151428371667862,10.375009536743164,173.90999868913076,-0.4895982583511219,173.42040043077964,173.42040048414052,16.0,2.1998887062072754,18,8.856635093688965,11.398163795471191
4,4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,0,1,-34.80412292480469,-0.5788613557815552,-23.534130096435547,-2.211670160293579,-20.95314598083496,-2.314321994781494,-27.772829055786133,9.233684539794922,4.721033096313477,2.143725013467178,0.5560672283172607,0.38432174180712625,2.992173671722412,2.992173671722412,0.22965523600578308,0.9982695579528809,2.992173671722412,3.0,10.150054931640625,0.09946595132350922,0.011710032820701599,10.375009536743164,173.90999868913076,-0.4895971911340641,173.4204014979967,173.42040043077964,16.0,2.1998887062072754,18,11.387660026550293,13.95927619934082
5,5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,0,1,-38.077056884765625,-0.2521708011627197,-23.95279884338379,-2.225241184234619,-21.34972381591797,-2.3280460834503174,-27.772829055786133,9.233684539794922,5.135898590087891,2.5366082096665696,0.6139783263206482,0.4400415076263454,2.992173671722412,2.992173671722412,0.22965659201145172,0.9982695579528809,2.992173671722412,3.0,10.150054931640625,0.09599114954471588,0.011251531541347504,10.375009536743164,173.90999868913076,-0.4895925487398626,173.4204061403909,173.42040149799672,16.0,2.1998887062072754,18,14.261404991149902,16.855649948120117
6,6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,0,1,-41.34334182739258,0.07385636121034622,-24.349374771118164,-2.2389655113220215,-21.72956657409668,-2.342283010482788,-27.772829055786133,9.233684539794922,5.528781890869141,2.912796374051981,0.6696982979774475,0.4944957520165191,2.992173671722412,2.992173671722412,0.22965678572654724,0.9982695579528809,2.992173671722412,3.0,10.150054931640625,0.09688421338796616,0.011639013886451721,10.375009536743164,173.90999868913076,-0.4895940428437435,173.420404646287,173.4204061403909,16.0,2.1998887062072754,18,17.1506290435791,19.76203155517578
7,7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,0,1,-44.61831283569336,0.40075016021728516,-24.729217529296875,-2.253202199935913,-22.09657859802246,-2.357144832611084,-27.772829055786133,9.233684539794922,5.904970169067383,3.2761609986777303,0.7241523265838623,0.5482102750382627,2.992173671722412,2.992173671722412,0.22965660691261292,0.9982695579528809,2.992173671722412,3.0,10.150054931640625,0.09560822695493698,0.012007445096969604,10.375009536743164,173.90999868913076,-0.48959217521389237,173.42040651391687,173.42040464628704,16.0,2.1998887062072754,18,20.06538200378418,22.689964294433594
8,8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,0,1,-47.93851089477539,0.7270652055740356,-25.09623146057129,-2.268064260482788,-22.453664779663086,-2.3726279735565186,-27.772829055786133,9.233684539794922,6.26833438873291,3.6295900414939943,0.7778669595718384,0.6014896198604631,2.992173671722412,2.992173671722412,0.22965672612190247,0.9982695579528809,2.992173671722412,3.0,10.150054931640625,0.09580934047698975,0.01201041042804718,10.375009536743164,173.90999868913076,-0.4895909479142759,173.42040774121648,173.42040651391687,16.0,2.1998887062072754,18,23.03780746459961,25.672658920288086
9,9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,0,1,-51.25859451293945,1.0533686876296997,-25.45331573486328,-2.2835471630096436,-22.80301856994629,-2.3886775970458984,-27.772829055786133,9.233684539794922,6.621763706207275,3.975269398358882,0.831146240234375,0.6545118790883081,2.992173671722412,2.992173671722412,0.2296566367149353,0.9982695579528809,2.992173671722412,3.0,10.150054931640625,0.09569971263408661,0.011821888387203217,10.375009536743164,173.90999868913076,-0.48958993405807094,173.42040875507269,173.4204077412165,16.0,2.1998887062072754,18,26.0201358795166,28.66299819946289
10,10,/yh/study/new_data/model_dataset_flight/vi/vi_000010.jpg,0,1,-54.585689544677734,1.3803616762161255,-25.802669525146484,-2.2995967864990234,-23.14631462097168,-2.4052207469940186,-27.772829055786133,9.233684539794922,6.967442989349365,4.314872292056287,0.8841684460639954,0.7073819244640837,2.992173671722412,2.992173671722412,0.22965657711029053,0.9982695579528809,2.992173671722412,3.0,10.150054931640625,0.09603095054626465,0.012097783386707306,10.375009536743164,173.90999868913076,-0.489590894553423,173.42040779457733,173.4204087550727,16.0,2.1998887062072754,18,29.017311096191406,31.66646385192871
