sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,search_heading_deg,forward_local_candidate_count,forward_recovery_candidate_count,selected_branch,selected_local_index,selected_recovery_index,endpoint_distance_m,transition_probability,current_leg_visual_top1,next_leg_visual_top1,next_visual_stronger,within_transition_zone,transition_selected,waypoint_switched_after_frame,mission_complete,gt_x,gt_y,hold_x,hold_y,local_x,local_y,recovery_x,recovery_y,fusion_hold,fusion_local,fusion_recovery,visual_x,visual_y,measurement_var_x,measurement_var_y,final_x,final_y,error_visual_m,error_final_m
0,0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,0,1,173.92622867160193,18,18,0,0,0,729.3023681640625,0.07608920335769653,2.1236836910247803,2.0286996364593506,0,0,0,0,0,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-37.266056060791016,4.535549163818359,-89.2495346069336,14.381888389587402,0.3131749629974365,0.3283582627773285,0.3584667444229126,-37.63298034667969,0.8348962068557739,14.487455814384125,14.487455814384125,-37.63298034667969,0.8348962068557739,0.0,0.0
1,1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,0,1,173.92622867160193,18,18,0,0,0,729.3023681640625,0.07419205456972122,2.1801302433013916,2.088149070739746,0,0,0,0,0,-47.69226837158203,1.7922438383102417,-37.63298034667969,0.8348962068557739,-37.266056060791016,4.535549163818359,-37.174339294433594,18.810026168823242,0.3095051050186157,0.33172720670700073,0.35876765847206116,-37.63298034667969,0.8348962068557739,14.485562527540555,14.485562527540555,-37.63298034667969,0.8348962068557739,10.104741096496582,10.104740969237914
2,2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,0,1,173.92622867160193,18,18,0,0,0,729.3023681640625,0.07431511580944061,2.12734055519104,2.035311222076416,0,0,0,0,0,-50.9120979309082,2.1374623775482178,-37.63298034667969,0.8348962068557739,-37.266056060791016,4.535549163818359,-37.174339294433594,18.810026168823242,0.3078349530696869,0.33375436067581177,0.3584107458591461,-37.63298034667969,0.8348962068557739,14.484780904383786,14.484780904383786,-37.63298034667969,0.8348962068557739,13.342849731445312,13.34284986218459
3,3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,0,1,173.92622867160193,18,18,0,0,0,729.3023681640625,0.08316469192504883,1.9729998111724854,1.8812650442123413,0,0,0,0,0,-54.1414794921875,2.4837052822113037,-37.63298034667969,0.8348962068557739,-37.266056060791016,4.535549163818359,-89.2495346069336,14.381888389587402,0.29915714263916016,0.3428662419319153,0.3579765558242798,-37.63298034667969,0.8348962068557739,14.4775143568078,14.4775143568078,-37.63298034667969,0.8348962068557739,16.590633392333984,16.59063336356412
4,4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,0,1,173.92622867160193,18,18,0,0,0,729.3023681640625,0.0860612541437149,1.9447710514068604,1.8542166948318481,0,0,0,0,0,-57.659645080566406,2.8609108924865723,-37.63298034667969,0.8348962068557739,-37.266056060791016,4.535549163818359,-89.2495346069336,14.381888389587402,0.2960992753505707,0.34626078605651855,0.35763999819755554,-37.63298034667969,0.8348962068557739,14.474068993173026,14.474068993173026,-37.63298034667969,0.8348962068557739,20.12888526916504,20.12888560924061
5,5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,0,1,173.92622867160193,18,18,0,0,0,729.3023681640625,0.08365564048290253,1.9849560260772705,1.892851710319519,0,0,0,0,0,-60.85377502441406,3.1642963886260986,-37.63298034667969,0.8348962068557739,-37.266056060791016,4.535549163818359,-89.2495346069336,14.381888389587402,0.297652930021286,0.3446217477321625,0.3577253222465515,-37.63298034667969,0.8348962068557739,14.475909513757275,14.475909513757275,-37.63298034667969,0.8348962068557739,23.337339401245117,23.337339408602872
6,6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,0,1,173.92622867160193,18,18,0,0,0,729.3023681640625,0.08270110189914703,1.9828341007232666,1.8929247856140137,0,0,0,0,0,-64.02477264404297,3.465484857559204,-37.63298034667969,0.8348962068557739,-37.266056060791016,4.535549163818359,-89.2495346069336,14.381888389587402,0.2975402772426605,0.3448045551776886,0.35765522718429565,-37.63298034667969,0.8348962068557739,14.47579894144077,14.47579894144077,-37.63298034667969,0.8348962068557739,26.52256965637207,26.522569583590002
7,7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,0,1,173.92622867160193,18,18,0,0,0,729.3023681640625,0.08402610570192337,1.9249272346496582,1.8360151052474976,0,0,0,0,0,-67.50447845458984,3.795994520187378,-37.63298034667969,0.8348962068557739,-37.266056060791016,4.535549163818359,-89.2495346069336,14.381888389587402,0.29572832584381104,0.34682342410087585,0.35744819045066833,-37.63298034667969,0.8348962068557739,14.473652460676115,14.473652460676115,-37.63298034667969,0.8348962068557739,30.01790428161621,30.017903031892406
8,8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,0,1,173.92622867160193,18,18,0,0,0,729.3023681640625,0.0915045514702797,1.824907898902893,1.7427130937576294,0,0,0,0,0,-70.70535278320312,4.076558589935303,-37.63298034667969,0.8348962068557739,-37.266056060791016,4.535549163818359,-89.2495346069336,14.381888389587402,0.29007697105407715,0.3529435694217682,0.35697948932647705,-37.63298034667969,0.8348962068557739,14.465773992649186,14.465773992649186,-37.63298034667969,0.8348962068557739,33.23086166381836,33.230862065044114
9,9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,0,1,173.92622867160193,18,18,0,0,0,729.3023681640625,0.09065023064613342,1.8765469789505005,1.7880456447601318,0,0,0,0,0,-73.90149688720703,4.35670804977417,-37.63298034667969,0.8348962068557739,-37.266056060791016,4.535549163818359,-89.2495346069336,14.381888389587402,0.29077908396720886,0.3521713614463806,0.3570496141910553,-37.63298034667969,0.8348962068557739,14.466844893249872,14.466844893249872,-37.63298034667969,0.8348962068557739,36.43910598754883,36.43910606350581
