cached route_A: frames=1732 capture=100.00%
cached route_B: frames=2276 capture=100.00%
cached route_C: frames=1258 capture=100.00%
epoch=001/40 loss=15.05541 val_mle=5.443m val_p90=9.224m val_jump=5.86% score=7.443
epoch=002/40 loss=11.49938 val_mle=5.051m val_p90=9.032m val_jump=3.25% score=6.719
epoch=003/40 loss=10.71480 val_mle=5.094m val_p90=9.090m val_jump=2.87% score=6.708
epoch=004/40 loss=10.38860 val_mle=5.097m val_p90=9.456m val_jump=3.12% score=6.665
epoch=005/40 loss=10.18021 val_mle=5.012m val_p90=9.102m val_jump=2.51% score=6.572
epoch=006/40 loss=9.99038 val_mle=5.111m val_p90=9.478m val_jump=2.95% score=6.673
epoch=007/40 loss=9.87296 val_mle=5.174m val_p90=9.626m val_jump=2.85% score=6.749
epoch=008/40 loss=9.77352 val_mle=5.106m val_p90=9.389m val_jump=2.92% score=6.674
epoch=009/40 loss=9.65069 val_mle=5.140m val_p90=9.501m val_jump=2.68% score=6.666
epoch=010/40 loss=9.56985 val_mle=5.206m val_p90=9.396m val_jump=2.88% score=6.813
epoch=011/40 loss=9.46063 val_mle=5.277m val_p90=9.564m val_jump=2.74% score=6.866
epoch=012/40 loss=9.35835 val_mle=5.329m val_p90=9.860m val_jump=3.09% score=6.917
epoch=013/40 loss=9.28126 val_mle=5.586m val_p90=10.007m val_jump=3.36% score=7.247
epoch=014/40 loss=9.18346 val_mle=5.389m val_p90=9.923m val_jump=2.74% score=6.986
epoch=015/40 loss=9.12860 val_mle=5.517m val_p90=10.043m val_jump=3.25% score=7.155
epoch=016/40 loss=9.06533 val_mle=5.284m val_p90=9.751m val_jump=3.05% score=6.858
epoch=017/40 loss=8.98610 val_mle=5.328m val_p90=9.774m val_jump=3.36% score=6.963
early stopping: validation objective stopped improving
best validation objective=6.572
{
  "method": "ResidualSecondOrderTemporalLatticeCRF",
  "protocol": "GT+jitter local prior; no model-output candidate propagation",
  "jitter_m": 12.0,
  "routes": {
    "route_A": {
      "route": "route_A",
      "split": "test",
      "RawTop1": {
        "MLE_m": 9.569488329260034,
        "MedLE_m": 7.795922120996164,
        "P90_m": 19.75480061464512,
        "P95_m": 24.378389309488526,
        "ATE_RMSE_m": 11.433540426763738,
        "LSR@5_pct": 24.302788844621514,
        "LSR@10_pct": 63.745019920318725,
        "LSR@15_pct": 84.06374501992032,
        "LSR@20_pct": 90.43824701195219,
        "RPE_m": 8.93448642604481,
        "JumpRate_pct": 31.2,
        "JumpThreshold_m": 13.086421209076004,
        "StationaryDriftP90_m": 24.130632325575537,
        "PathLengthRatio": 4.181524227901979,
        "MaxLE_m": 29.024601406319327
      },
      "FixedHardMS": {
        "MLE_m": 6.626510960227406,
        "MedLE_m": 5.753656108516755,
        "P90_m": 13.302327105376802,
        "P95_m": 15.031151363526309,
        "ATE_RMSE_m": 7.8784592051389115,
        "LSR@5_pct": 44.223107569721115,
        "LSR@10_pct": 79.6812749003984,
        "LSR@15_pct": 94.82071713147411,
        "LSR@20_pct": 100.0,
        "RPE_m": 6.994060140156835,
        "JumpRate_pct": 22.400000000000002,
        "JumpThreshold_m": 13.086421209076004,
        "StationaryDriftP90_m": 14.9709064211458,
        "PathLengthRatio": 3.6043413172455816,
        "MaxLE_m": 17.918973733456358
      },
      "TemporalPathExpectation": {
        "MLE_m": 4.50833354980003,
        "MedLE_m": 4.195566328225926,
        "P90_m": 7.58862032177462,
        "P95_m": 9.383269057607588,
        "ATE_RMSE_m": 5.150523440225739,
        "LSR@5_pct": 64.5418326693227,
        "LSR@10_pct": 96.41434262948208,
        "LSR@15_pct": 100.0,
        "LSR@20_pct": 100.0,
        "RPE_m": 3.9116586317726947,
        "JumpRate_pct": 2.0,
        "JumpThreshold_m": 13.086421209076004,
        "StationaryDriftP90_m": 6.890503698125515,
        "PathLengthRatio": 1.9308952415753378,
        "MaxLE_m": 13.56126397526154
      },
      "RTL_CRF": {
        "MLE_m": 4.494728275017787,
        "MedLE_m": 4.186347260648998,
        "P90_m": 7.721440798328503,
        "P95_m": 9.31182080541281,
        "ATE_RMSE_m": 5.131540958772571,
        "LSR@5_pct": 63.745019920318725,
        "LSR@10_pct": 96.01593625498009,
        "LSR@15_pct": 100.0,
        "LSR@20_pct": 100.0,
        "RPE_m": 3.9212288692439725,
        "JumpRate_pct": 2.0,
        "JumpThreshold_m": 13.086421209076004,
        "StationaryDriftP90_m": 6.997489777069224,
        "PathLengthRatio": 1.954367396155206,
        "MaxLE_m": 13.622017108570272
      },
      "CandidateCaptureRate_pct": 100.0,
      "MeanCorrectionGate": 0.9596986815748937,
      "MeanPathEntropy": 0.658148166430424
    },
    "route_B": {
      "route": "route_B",
      "split": "test",
      "RawTop1": {
        "MLE_m": 14.206841863960747,
        "MedLE_m": 14.247266849717105,
        "P90_m": 23.707975079643308,
        "P95_m": 25.768358327014806,
        "ATE_RMSE_m": 15.715136121322724,
        "LSR@5_pct": 9.90990990990991,
        "LSR@10_pct": 27.027027027027028,
        "LSR@15_pct": 57.65765765765766,
        "LSR@20_pct": 79.57957957957959,
        "RPE_m": 12.24797189476598,
        "JumpRate_pct": 40.66265060240964,
        "JumpThreshold_m": 13.13517141945002,
        "StationaryDriftP90_m": 27.631358159663087,
        "PathLengthRatio": 4.187836326461617,
        "MaxLE_m": 33.432587381438495
      },
      "FixedHardMS": {
        "MLE_m": 10.495847185347857,
        "MedLE_m": 10.423561250610284,
        "P90_m": 16.390013555436266,
        "P95_m": 18.749104770862598,
        "ATE_RMSE_m": 11.60634081253012,
        "LSR@5_pct": 14.714714714714713,
        "LSR@10_pct": 45.645645645645644,
        "LSR@15_pct": 82.28228228228228,
        "LSR@20_pct": 96.69669669669669,
        "RPE_m": 10.381947291389771,
        "JumpRate_pct": 36.74698795180723,
        "JumpThreshold_m": 13.13517141945002,
        "StationaryDriftP90_m": 19.87134295386679,
        "PathLengthRatio": 3.6901356533063496,
        "MaxLE_m": 27.924276403170953
      },
      "TemporalPathExpectation": {
        "MLE_m": 5.417515255449568,
        "MedLE_m": 5.068114001429558,
        "P90_m": 9.200738701756626,
        "P95_m": 10.812144616561019,
        "ATE_RMSE_m": 6.1065720216915835,
        "LSR@5_pct": 49.549549549549546,
        "LSR@10_pct": 93.09309309309309,
        "LSR@15_pct": 100.0,
        "LSR@20_pct": 100.0,
        "RPE_m": 4.567157377130552,
        "JumpRate_pct": 3.0120481927710845,
        "JumpThreshold_m": 13.13517141945002,
        "StationaryDriftP90_m": 7.635227810225754,
        "PathLengthRatio": 1.558033972356066,
        "MaxLE_m": 14.30262246909219
      },
      "RTL_CRF": {
        "MLE_m": 5.427481286633942,
        "MedLE_m": 5.0481572949957645,
        "P90_m": 9.138740484307597,
        "P95_m": 10.798384163725979,
        "ATE_RMSE_m": 6.104114981139717,
        "LSR@5_pct": 49.549549549549546,
        "LSR@10_pct": 93.3933933933934,
        "LSR@15_pct": 100.0,
        "LSR@20_pct": 100.0,
        "RPE_m": 4.609770140963766,
        "JumpRate_pct": 3.0120481927710845,
        "JumpThreshold_m": 13.13517141945002,
        "StationaryDriftP90_m": 7.705238735017158,
        "PathLengthRatio": 1.581583875156014,
        "MaxLE_m": 14.214129422421452
      },
      "CandidateCaptureRate_pct": 100.0,
      "MeanCorrectionGate": 0.9718921191699512,
      "MeanPathEntropy": 0.6355888361150438
    },
    "route_C": {
      "route": "route_C",
      "split": "test",
      "RawTop1": {
        "MLE_m": 13.634115963306936,
        "MedLE_m": 12.38409015588718,
        "P90_m": 22.977447029298943,
        "P95_m": 25.15248310207231,
        "ATE_RMSE_m": 14.864007185294698,
        "LSR@5_pct": 2.7777777777777777,
        "LSR@10_pct": 29.444444444444446,
        "LSR@15_pct": 64.44444444444444,
        "LSR@20_pct": 85.55555555555556,
        "RPE_m": 9.647011385904934,
        "JumpRate_pct": 30.16759776536313,
        "JumpThreshold_m": 13.0990252440335,
        "StationaryDriftP90_m": 21.9756847762407,
        "PathLengthRatio": 3.8379561850307016,
        "MaxLE_m": 27.964130061436915
      },
      "FixedHardMS": {
        "MLE_m": 9.58657440277303,
        "MedLE_m": 9.400617638462744,
        "P90_m": 15.449006936232832,
        "P95_m": 16.608173805017735,
        "ATE_RMSE_m": 10.541140088337864,
        "LSR@5_pct": 14.444444444444443,
        "LSR@10_pct": 61.66666666666667,
        "LSR@15_pct": 89.44444444444444,
        "LSR@20_pct": 97.77777777777777,
        "RPE_m": 9.409342341733591,
        "JumpRate_pct": 26.81564245810056,
        "JumpThreshold_m": 13.0990252440335,
        "StationaryDriftP90_m": 17.69799221748464,
        "PathLengthRatio": 3.838226483254422,
        "MaxLE_m": 24.72329069685076
      },
      "TemporalPathExpectation": {
        "MLE_m": 4.799752669559442,
        "MedLE_m": 4.385815483312724,
        "P90_m": 8.36614950708427,
        "P95_m": 9.205673691421541,
        "ATE_RMSE_m": 5.418612098271922,
        "LSR@5_pct": 61.66666666666667,
        "LSR@10_pct": 97.22222222222221,
        "LSR@15_pct": 100.0,
        "LSR@20_pct": 100.0,
        "RPE_m": 4.110230238834609,
        "JumpRate_pct": 2.2346368715083798,
        "JumpThreshold_m": 13.0990252440335,
        "StationaryDriftP90_m": 6.729170101725668,
        "PathLengthRatio": 1.6418581246790809,
        "MaxLE_m": 13.74566321239577
      },
      "RTL_CRF": {
        "MLE_m": 4.803417073106062,
        "MedLE_m": 4.417880768150915,
        "P90_m": 8.3798143172333,
        "P95_m": 9.07642638415502,
        "ATE_RMSE_m": 5.411542309212156,
        "LSR@5_pct": 60.55555555555555,
        "LSR@10_pct": 97.22222222222221,
        "LSR@15_pct": 100.0,
        "LSR@20_pct": 100.0,
        "RPE_m": 4.151166014061742,
        "JumpRate_pct": 2.2346368715083798,
        "JumpThreshold_m": 13.0990252440335,
        "StationaryDriftP90_m": 6.981140078954647,
        "PathLengthRatio": 1.6641230303813392,
        "MaxLE_m": 13.683219968004439
      },
      "CandidateCaptureRate_pct": 100.0,
      "MeanCorrectionGate": 0.9708342502514521,
      "MeanPathEntropy": 0.640276696284612
    }
  }
}
