sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,waypoint_branch_selected,waypoint_switched_after_frame,mission_complete,gt_x,gt_y,hold_x,hold_y,local_x,local_y,recovery_x,recovery_y,waypoint_x,waypoint_y,global_top1_x,global_top1_y,polynomial_x,polynomial_y,heading_deg,raw_image_rotation_deg,image_heading_delta_deg,image_rotation_confidence,heading_current_leg_similarity,heading_next_leg_similarity,heading_switched_leg,forward_candidate_count,branch_hold,branch_local,branch_recovery,branch_waypoint,selected_branch,visual_x,visual_y,observed_delta_parallel,observed_delta_cross,observed_acc_parallel,observed_acc_cross,measurement_var_x,measurement_var_y,final_x,final_y,error_visual_m,error_final_m
0,0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,0,1,0,0,0,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,-26.660945892333984,2.3156323432922363,-43.73705291748047,15.029090881347656,-755.0650024414062,74.619384765625,-27.772829055786133,9.233684539794922,-18.780746459960938,-2.1595981121063232,173.9099986269624,0.0,0.0,0.0,1.0,-0.9999999403953552,0,18,0.8300974369049072,0.13909462094306946,0.019737346097826958,0.011070594191551208,0,-28.52051544189453,-0.34786951541900635,9.877009391784668,-0.7682065963745117,9.877009391784668,-0.7682065963745117,7.0,7.0,-24.324922649676985,-1.1283064493766197,9.906839370727539,5.639277623617244
1,1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,0,1,0,0,0,-25.919267654418945,-1.4582853317260742,-28.52051544189453,-0.34786951541900635,-34.489376068115234,3.0664761066436768,-35.228511810302734,17.471187591552734,-755.0661010742188,74.78914642333984,-27.772829055786133,9.233684539794922,-43.130165100097656,2.369723320007324,173.69483425348065,-0.1434430480003357,-0.21516457200050354,0.9848695993423462,0.9999930262565613,-0.9999905824661255,0,18,0.8790107369422913,0.10478721559047699,0.010766511783003807,0.005435594357550144,0,-33.16740798950195,0.6101737022399902,4.722306728363037,-0.4596451222896576,-5.154702663421631,0.3085614740848541,7.0,7.0,-27.657882717854765,-0.4730285832588903,7.537510395050049,1.9983776417899761
2,2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,0,1,0,0,0,-28.881437301635742,-1.16508948802948,-33.16740798950195,0.6101737022399902,-37.65113067626953,2.885247230529785,-36.561588287353516,19.004283905029297,-754.9031982421875,75.35277557373047,-32.50415802001953,9.263697624206543,-35.267860412597656,1.1413742303848267,173.69381669898002,-0.0006783356657251716,-0.0010175034985877573,0.9903323650360107,0.9999929070472717,-0.9999905228614807,0,18,0.8973662853240967,0.09291914105415344,0.006875143852084875,0.0028393759857863188,0,-35.656646728515625,1.1602561473846436,2.5335490703582764,-0.2828933596611023,-2.1887576580047607,0.1767517626285553,7.0,7.0,-29.994366152562204,0.004062966413410585,7.163148403167725,1.614164827071365
3,3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,0,1,0,0,0,-31.84273910522461,-0.8719794154167175,-35.656646728515625,1.1602561473846436,-39.73290252685547,1.0259509086608887,-54.359859466552734,15.397902488708496,-754.8092041015625,75.48921966552734,-37.174339294433594,18.810026168823242,-37.06705856323242,1.5063581466674805,174.12150507057976,0.28512537479400635,0.4276880621910095,0.9877487421035767,0.9999931454658508,-0.9999953508377075,0,18,0.9021231532096863,0.08933033794164658,0.006096048280596733,0.0024503462482243776,0,-37.89696502685547,1.4171836376190186,2.2549326419830322,-0.01780092716217041,-0.27861642837524414,0.2650924324989319,7.0,7.0,-31.945405480418827,0.3529423728448618,6.472551345825195,1.2292167310744941
4,4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,0,1,0,0,0,-34.80412292480469,-0.5788613557815552,-37.89696502685547,1.4171836376190186,-42.37286376953125,1.8744134902954102,-62.729896545410156,19.577272415161133,-754.908447265625,75.4923095703125,-37.174339294433594,18.810026168823242,-40.01282501220703,1.5275336503982544,174.1841064979966,0.04173455387353897,0.06260183081030846,0.9905202388763428,0.9999885559082031,-0.9999914169311523,0,18,0.8938195109367371,0.09458160400390625,0.00795971043407917,0.00363913644105196,0,-41.12726974487305,1.8745477199554443,3.26059627532959,-0.11207813024520874,1.0056636333465576,-0.09427720308303833,7.0,7.0,-33.968479976351844,0.6882033701710628,6.78243350982666,1.5178116342459442
5,5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,0,1,0,0,0,-38.077056884765625,-0.2521708011627197,-41.12726974487305,1.8745477199554443,-45.36143112182617,0.7893357872962952,-88.19346618652344,22.793529510498047,-754.97119140625,75.56228637695312,-89.2495346069336,14.381888389587402,-44.85256576538086,2.4321300983428955,174.09540497452932,-0.05913413316011429,-0.08870119974017143,0.9908060431480408,0.9999947547912598,-0.9999967217445374,0,18,0.9039027690887451,0.08778779953718185,0.0059153675101697445,0.00239412859082222,0,-43.48643112182617,2.0794410705566406,2.367584705352783,0.04654771089553833,-0.8930115699768066,0.15862584114074707,7.0,7.0,-35.908734291242894,0.971810094975038,5.89047908782959,2.4899301403234855
6,6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,0,1,0,0,0,-41.34334182739258,0.07385636121034622,-43.48643112182617,2.0794410705566406,-49.25614547729492,-2.7292656898498535,-91.18197631835938,22.853618621826172,-755.2296142578125,75.15586853027344,-89.2495346069336,14.381888389587402,-45.4100227355957,2.1580989360809326,174.3807304613298,0.19021713733673096,0.28532570600509644,0.9933560490608215,0.9999662637710571,-0.9999712705612183,0,18,0.9100097417831421,0.08332397788763046,0.004847283475100994,0.0018189868424087763,0,-45.4930305480957,1.912383794784546,1.9775519371032715,0.37899571657180786,-0.3900327682495117,0.33244800567626953,7.0,7.0,-37.76105557803415,1.15359127527896,4.53873348236084,3.7414706008468395
7,7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,0,1,0,0,0,-44.61831283569336,0.40075016021728516,-45.4930305480957,1.912383794784546,-49.90873336791992,-0.7298867106437683,-87.99893951416016,23.085264205932617,-755.2565307617188,75.05538177490234,-89.2495346069336,14.381888389587402,-47.32334899902344,1.5593512058258057,174.66700401148475,0.19084900617599487,0.2862735092639923,0.9879171848297119,0.9999127388000488,-0.9999207854270935,0,18,0.8891928791999817,0.09688453376293182,0.009284937754273415,0.004637652076780796,0,-49.607147216796875,2.1921892166137695,4.1205830574035645,0.15824255347251892,2.143031120300293,-0.22075316309928894,7.0,7.0,-39.96818955838157,1.3471002298051933,5.3007283210754395,4.745442545053727
8,8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,0,1,0,0,0,-47.93851089477539,0.7270652055740356,-49.607147216796875,2.1921892166137695,-54.808441162109375,-3.462575674057007,-87.60637664794922,23.055082321166992,-755.2119140625,75.20206451416016,-89.2495346069336,14.381888389587402,-54.7750244140625,2.6954259872436523,174.42012685406826,-0.16458477079868317,-0.24687715619802475,0.9852550029754639,0.9999604225158691,-0.9999657869338989,0,18,0.8883189558982849,0.09690199047327042,0.009751948527991772,0.005027073435485363,0,-54.02885437011719,2.2147109508514404,4.399142265319824,0.4467066824436188,0.27855920791625977,0.28846412897109985,7.0,7.0,-42.52288114670063,1.5047370016555763,6.269399642944336,5.471180767499189
9,9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,0,1,0,0,0,-51.25859451293945,1.0533686876296997,-54.02885437011719,2.2147109508514404,-61.379661560058594,-0.5658964514732361,-87.27698516845703,23.279781341552734,-755.2505493164062,75.0427474975586,-89.2495346069336,14.381888389587402,-58.60435485839844,2.108590841293335,174.1395550864584,-0.18704788386821747,-0.2805718258023262,0.9813482761383057,0.9999920725822449,-0.9999943971633911,0,18,0.8845224380493164,0.09868976473808289,0.010883001610636711,0.005904766730964184,0,-59.25669479370117,2.5995771884918213,5.2391676902771,0.1719302237033844,0.8400254249572754,-0.2747764587402344,7.0,7.0,-45.51121627405735,1.7002542613897904,8.146186828613281,5.783668175674889
