pair_current_index,pair_next_index,current_frame_id,next_frame_id,is_initial_frame,search_center_x,search_center_y,final_ms_x,final_ms_y,provisional_next_x,provisional_next_y,reference_current_x,reference_current_y,reference_next_x,reference_next_y,search_center_error_m,final_error_m,provisional_next_error_m,ms_candidate_count,gru_next_xy_x,gru_next_xy_y,kalman_next_xy_x,kalman_next_xy_y,ms_correction_gain_m,ms_improved_search_center
0,1,0,1,True,-37.632978691184114,0.8348961808190729,-29.69103240966797,0.6151264905929565,-32.98060989379883,3.2278146743774414,-37.63298034667969,0.8348962068557739,-47.69226837158203,1.7922438383102417,1.6557003061335768e-06,7.944988090764576,14.78153438558721,36,-31.479633331298828,5.15871524810791,-32.98060989379883,3.2278146743774414,,
1,2,1,2,False,-32.98060989379883,3.2278146743774414,-27.68378257751465,4.180876731872559,-31.933685302734375,5.738171577453613,-47.69226837158203,1.7922438383102417,-50.9120979309082,2.1374623775482178,14.78153438558721,20.150560063472284,19.316967997786588,36,-31.714811325073242,6.595362186431885,-31.933685302734375,5.738171577453613,-5.369025677885073,False
2,3,2,3,False,-31.933685302734375,5.738171577453613,-26.91663360595703,3.8688888549804688,-29.668289184570312,6.660207271575928,-50.9120979309082,2.1374623775482178,-54.1414794921875,2.4837052822113037,19.316967997786588,24.05784998325407,24.827005713537314,36,-29.089794158935547,5.942580223083496,-29.668289184570312,6.660207271575928,-4.740881985467482,False
3,4,3,4,False,-29.668289184570312,6.660207271575928,-23.082374572753906,2.854753017425537,-28.501665115356445,7.076356410980225,-54.1414794921875,2.4837052822113037,-57.659645080566406,2.8609108924865723,24.827005713537314,31.061321202070456,29.46112313831524,36,-28.84827995300293,6.0892157554626465,-28.501665115356445,7.076356410980225,-6.2343154885331415,False
4,5,4,5,False,-28.501665115356445,7.076356410980225,-23.069488525390625,5.577062129974365,-28.6392765045166,9.466484069824219,-57.659645080566406,2.8609108924865723,-60.85377502441406,3.1642963886260986,29.46112313831524,34.69663395859138,32.82516541401613,36,-29.96051597595215,10.747885704040527,-28.6392765045166,9.466484069824219,-5.2355108202761365,False
5,6,5,6,False,-28.6392765045166,9.466484069824219,-23.11207389831543,5.565650939941406,-28.541088104248047,9.919610977172852,-60.85377502441406,3.1642963886260986,-64.02477264404297,3.465484857559204,32.82516541401613,37.81801829251339,36.06587878435184,36,-29.27509880065918,8.696871757507324,-28.541088104248047,9.919610977172852,-4.99285287849726,False
6,7,6,7,False,-28.541088104248047,9.919610977172852,-23.965831756591797,6.385217189788818,-29.456851959228516,10.674086570739746,-64.02477264404297,3.465484857559204,-67.50447845458984,3.795994520187378,36.06587878435184,40.165203620997296,38.664325057944474,36,-31.091156005859375,10.06826114654541,-29.456851959228516,10.674086570739746,-4.099324836645458,False
7,8,7,8,False,-29.456851959228516,10.674086570739746,-24.555383682250977,6.565647125244141,-30.45722770690918,11.352581024169922,-67.50447845458984,3.795994520187378,-70.70535278320312,4.076558589935303,38.664325057944474,43.038305232850924,40.9005143564294,36,-31.790252685546875,10.759872436523438,-30.45722770690918,11.352581024169922,-4.37398017490645,False
8,9,8,9,False,-30.45722770690918,11.352581024169922,-26.454181671142578,6.331350326538086,-32.115108489990234,10.798811912536621,-70.70535278320312,4.076558589935303,-73.90149688720703,4.35670804977417,40.9005143564294,44.30857964959286,42.28005389615384,36,-33.23438262939453,8.640785217285156,-32.115108489990234,10.798811912536621,-3.4080652931634603,False
9,10,9,10,False,-32.115108489990234,10.798811912536621,-27.121742248535156,6.488847732543945,-33.57109069824219,10.761980056762695,-73.90149688720703,4.35670804977417,-77.41057586669922,4.6642866134643555,42.28005389615384,46.828319035399765,44.26152194811886,36,-34.52845764160156,9.785017967224121,-33.57109069824219,10.761980056762695,-4.5482651392459275,False
