pair_current_index,pair_next_index,current_frame_id,next_frame_id,is_initial_frame,search_center_x,search_center_y,final_ms_x,final_ms_y,provisional_next_x,provisional_next_y,reference_current_x,reference_current_y,reference_next_x,reference_next_y,search_center_error_m,final_error_m,provisional_next_error_m,ms_candidate_count,gru_next_xy_x,gru_next_xy_y,kalman_next_xy_x,kalman_next_xy_y,ms_correction_gain_m,ms_improved_search_center
0,1,0,1,True,-18.780745674413577,-2.1595981213156596,-13.725164413452148,-1.2636386156082153,-21.160850524902344,-0.38603919744491577,-18.780746459960938,-2.1595981121063232,-25.919267654418945,-1.4582853317260742,7.856013413017934e-07,5.134360062203189,4.877729528270085,36,-20.45700454711914,0.7552627325057983,-21.160850524902344,-0.38603919744491577,,
1,2,1,2,False,-21.160850524902344,-0.38603919744491577,-17.50860023498535,-1.4900606870651245,-23.20060157775879,0.10112541168928146,-25.919267654418945,-1.4582853317260742,-28.881437301635742,-1.16508948802948,4.877729528270085,8.410727442589533,5.820240089029522,36,-22.84267807006836,-0.241735577583313,-23.20060157775879,0.10112541168928146,-3.5329979143194477,False
2,3,2,3,False,-23.20060157775879,0.10112541168928146,-18.01447105407715,-1.2243320941925049,-25.105497360229492,-0.7704742550849915,-28.881437301635742,-1.16508948802948,-31.84273910522461,-0.8719794154167175,5.820240089029522,10.867127730544198,6.738006354113865,36,-24.75216293334961,-1.8995623588562012,-25.105497360229492,-0.7704742550849915,-5.046887641514676,False
3,4,3,4,False,-25.105497360229492,-0.7704742550849915,-20.643129348754883,-1.1995387077331543,-27.956411361694336,-0.777927041053772,-31.84273910522461,-0.8719794154167175,-34.80412292480469,-0.5788613557815552,6.738006354113865,11.204398858805176,6.850604411189432,36,-28.457901000976562,-0.9169697761535645,-27.956411361694336,-0.777927041053772,-4.466392504691311,False
4,5,4,5,False,-27.956411361694336,-0.777927041053772,-23.64776611328125,-0.9287667274475098,-31.278364181518555,-0.6617281436920166,-34.80412292480469,-0.5788613557815552,-38.077056884765625,-0.2521708011627197,6.850604411189432,11.161842637985275,6.811017522368051,36,-31.79092788696289,-0.6468998193740845,-31.278364181518555,-0.6617281436920166,-4.311238226795843,False
5,6,5,6,False,-31.278364181518555,-0.6617281436920166,-27.395517349243164,-0.7030173540115356,-34.30146026611328,-0.5063457489013672,-38.077056884765625,-0.2521708011627197,-41.34334182739258,0.07385636121034622,6.811017522368051,10.69104997009859,7.065743443662771,36,-34.513816833496094,-0.4436348080635071,-34.30146026611328,-0.5063457489013672,-3.880032447730539,False
6,7,6,7,False,-34.30146026611328,-0.5063457489013672,-27.914852142333984,1.6198887825012207,-36.2452392578125,1.641524314880371,-41.34334182739258,0.07385636121034622,-44.61831283569336,0.40075016021728516,7.065743443662771,13.517194659743847,8.464507170738676,36,-35.501678466796875,4.202979564666748,-36.2452392578125,1.641524314880371,-6.451451216081076,False
7,8,7,8,False,-36.2452392578125,1.641524314880371,-30.394094467163086,1.6782848834991455,-38.21945571899414,3.76493501663208,-44.61831283569336,0.40075016021728516,-47.93851089477539,0.7270652055740356,8.464507170738676,14.281473424154278,10.182764187528754,36,-37.89164733886719,5.599784851074219,-38.21945571899414,3.76493501663208,-5.816966253415602,False
8,9,8,9,False,-38.21945571899414,3.76493501663208,-29.486305236816406,4.8850507736206055,-37.7186164855957,5.652485370635986,-47.93851089477539,0.7270652055740356,-51.25859451293945,1.0533686876296997,10.182764187528754,18.91488138021746,14.299751020379981,36,-36.1567268371582,6.799227714538574,-37.7186164855957,5.652485370635986,-8.732117192688705,False
9,10,9,10,False,-37.7186164855957,5.652485370635986,-29.54051971435547,4.742091178894043,-38.094295501708984,7.439598560333252,-51.25859451293945,1.0533686876296997,-54.585689544677734,1.3803616762161255,14.299751020379981,22.029104534103247,17.56930360311161,36,-37.403865814208984,8.16073226928711,-38.094295501708984,7.439598560333252,-7.729353513723266,False
