Experiment,Category,Front,Frames,GRU,Kalman,FinalMS,MS_grid,B_MLE_m,C_MLE_m,BC_MLE_m,BC_MedLE_m,BC_P90_m,BC_P95_m,BC_P99_m,BC_LSR5_pct,BC_LSR10_pct,BC_LSR15_pct,BC_LSR20_pct,PureFinalMSLatency_ms,PureFinalMS_FPS,E2E_mean_ms,E2E_FPS
full_model,module_ablation,5x5->15 SoftMS,3,yes,fixed,yes,5,1.9675487124854825,1.728134907348452,1.8823244434242534,1.6739289908970993,3.4889248404435134,4.315112809065573,5.426047258129189,97.56649688737974,100.0,100.0,100.0,0.0,0.0,33.3114149259102,30.019739546463473
abl_no_gru,module_ablation,5x5->15 SoftMS,3,no,fixed,yes,5,1.7885514313466966,1.5579710664497006,1.7064716070568207,1.4252143114500537,3.3851947638022644,4.155159164272273,5.57185762651803,97.82116581777022,100.0,100.0,100.0,0.0,0.0,0.0,0.0
abl_no_kalman,module_ablation,5x5->15 SoftMS,3,yes,none,yes,5,2.2581540216097586,2.0007707419151797,2.166533148419102,1.9108235401245,4.040634511199126,4.775533689653072,6.180325316874083,96.15166949632145,99.71703452178834,99.97170345217884,100.0,0.0,0.0,0.0,0.0
abl_no_final_ms,module_ablation,5x5->15 SoftMS,3,yes,fixed,no,5,4.299904986949235,3.712808420346197,4.090915886556869,3.781504026111029,7.265701201079846,9.05622569904446,11.073636951484296,68.22297679683079,97.53820033955859,100.0,100.0,0.0,0.0,0.0,0.0
temporal_1frame,temporal_frames,5x5->15 SoftMS,1,yes,fixed,yes,5,1.929488818871477,1.6734991141386184,1.8383640173564977,1.5931975527577968,3.535288908781223,4.263980690508899,5.510218031026561,97.65138653084323,100.0,100.0,100.0,0.0,0.0,0.0,0.0
temporal_2frame,temporal_frames,5x5->15 SoftMS,2,yes,fixed,yes,5,1.9273589361775945,1.6636885721796686,1.8335000459938393,1.6110057127362736,3.47220575760276,4.24813200912891,5.41058503373068,97.62308998302207,100.0,100.0,100.0,0.0,0.0,0.0,0.0
temporal_3frame,temporal_frames,5x5->15 SoftMS,3,yes,fixed,yes,5,1.9676450775438223,1.7279538704055746,1.8823220615336596,1.6748556427327712,3.4892136771022524,4.315078414370838,5.426058213157989,97.56649688737974,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ms_window_4x4,ms_window,5x5->15 SoftMS,3,yes,fixed,yes,4,2.0146658492975336,1.8044371727350845,1.9398306271369339,1.681608726208243,3.607514359033033,4.578186636861011,6.367923211288835,96.20826259196377,99.94340690435767,100.0,100.0,4.256888996851542,234.91333712004584,0.0,0.0
ms_window_5x5,ms_window,5x5->15 SoftMS,3,yes,fixed,yes,5,1.9676450775438223,1.7279538704055746,1.8823220615336596,1.6748556427327712,3.4892136771022524,4.315078414370838,5.426058213157989,97.56649688737974,100.0,100.0,100.0,4.636743862077886,215.66858764371457,0.0,0.0
ms_window_6x6,ms_window,5x5->15 SoftMS,3,yes,fixed,yes,6,1.9672370950626472,1.7279716514102783,1.882065638323915,1.6734022502199801,3.48808690081799,4.3125080533189415,5.426056801624264,97.56649688737974,100.0,100.0,100.0,6.335508955640436,157.84051557684418,0.0,0.0
ms_window_7x7,ms_window,5x5->15 SoftMS,3,yes,fixed,yes,7,1.9666018661707148,1.7274839727356057,1.8814829329671587,1.6745974285186698,3.488608858986439,4.307869354840074,5.413721664780764,97.56649688737974,100.0,100.0,100.0,7.648687695099977,130.74138203350043,0.0,0.0
ms_window_8x8,ms_window,5x5->15 SoftMS,3,yes,fixed,yes,8,1.966524426276645,1.72754425515029,1.881454518162057,1.6738618385950992,3.487662587262733,4.308338700635275,5.413575092022618,97.56649688737974,100.0,100.0,100.0,9.583253407406914,104.34869636517158,0.0,0.0
