Run,Method,Frames,MLE_m,MedLE_m,P90_m,P95_m,P99_m,CVaR90_m,MaxLE_m,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,RPE_m,JumpRate_pct,JumpThreshold_m
strict_train_A_test_BC_no_position_scale,RawTop1,3526,14.699659359524583,14.308543325639198,23.734327474753695,25.79684509005333,28.765169158098207,26.252513955957415,33.459924438430775,6.5229722064662505,26.233692569483836,53.80034032898469,77.02779353374929,13.878222062389446,46.22587968217935,13.1159264110061
strict_train_A_test_BC_no_position_scale,FixedHardMS,3526,10.132639435610765,9.722079205657234,16.81245203720556,18.8279135222452,22.34074605630888,19.401749637322627,30.11984579746152,15.456608054452637,51.73000567214975,83.01191151446397,96.73851389676688,11.543060065653552,42.962542565266745,13.1159264110061
strict_train_A_test_BC_no_position_scale,RTL_CRF,3526,5.038030073723966,4.559755480844331,8.884807685693186,10.356136171901237,13.178449549791214,10.792944112760726,18.09067962625243,56.86330119115145,94.10096426545661,99.8298355076574,100.0,4.420938766736551,1.7593643586833143,13.1159264110061
strict_train_A_test_BC_no_position_scale_w3,RawTop1,3530,14.69335417996122,14.307873994844282,23.73101321399387,25.793985195154917,28.76184001186685,26.252513955957415,33.459924438430775,6.515580736543909,26.260623229461753,53.85269121813031,77.05382436260622,13.8765795694215,46.20181405895691,13.115883992791328
strict_train_A_test_BC_no_position_scale_w3,FixedHardMS,3530,10.127870578504577,9.713788878576207,16.807224024156113,18.82750125872953,22.33967074924876,19.401749637322627,30.11984579746152,15.467422096317279,51.784702549575066,83.03116147308782,96.74220963172804,11.541800523214462,42.9421768707483,13.115883992791328
strict_train_A_test_BC_no_position_scale_w3,RTL_CRF,3530,5.49570426545912,5.0728426510566695,9.669112279276659,11.06431983848457,13.720581416714527,11.422656407101604,17.52939721852461,49.008498583569406,91.47308781869688,99.80169971671387,100.0,5.397589586564464,3.4013605442176873,13.115883992791328
strict_train_A_test_BC_no_position_scale_w4,RawTop1,3528,14.69555207784446,14.308208660241739,23.732670344373783,25.79541514260412,28.763504584982527,26.252513955957415,33.459924438430775,6.519274376417234,26.27551020408163,53.826530612244895,77.04081632653062,13.880644266341159,46.22802041973908,13.115905201898714
strict_train_A_test_BC_no_position_scale_w4,FixedHardMS,3528,10.130146082223051,9.718448491630955,16.809838030680837,18.827707390487365,22.34020840277882,19.401749637322627,30.11984579746152,15.476190476190476,51.75736961451247,83.02154195011337,96.74036281179139,11.543440235156229,42.96653431650596,13.115905201898714
strict_train_A_test_BC_no_position_scale_w4,RTL_CRF,3528,4.935035686446724,4.495541135377556,8.802768495493137,10.303924845091556,12.993801891490032,10.651439546193327,16.133436912092062,57.28458049886621,94.24603174603175,99.88662131519274,100.0,4.296339272385335,1.9285309132161088,13.115905201898714
strict_train_A_test_BC_t2only_w3,RawTop1,3530,14.69335417996122,14.307873994844282,23.73101321399387,25.793985195154917,28.76184001186685,26.252513955957415,33.459924438430775,6.515580736543909,26.260623229461753,53.85269121813031,77.05382436260622,13.8765795694215,46.20181405895691,13.115883992791328
strict_train_A_test_BC_t2only_w3,FixedHardMS,3530,10.127870578504577,9.713788878576207,16.807224024156113,18.82750125872953,22.33967074924876,19.401749637322627,30.11984579746152,15.467422096317279,51.784702549575066,83.03116147308782,96.74220963172804,11.541800523214462,42.9421768707483,13.115883992791328
strict_train_A_test_BC_t2only_w3,RTL_CRF,3530,5.414765255552757,5.025406321766114,9.397265974736955,10.918339290710103,13.302815526320076,11.259836659040065,18.149987067429734,49.66005665722379,92.52124645892351,99.71671388101983,100.0,5.069407478042153,2.465986394557823,13.115883992791328
strict_train_A_test_BC_t2only_w4,RawTop1,3528,14.69555207784446,14.308208660241739,23.732670344373783,25.79541514260412,28.763504584982527,26.252513955957415,33.459924438430775,6.519274376417234,26.27551020408163,53.826530612244895,77.04081632653062,13.880644266341159,46.22802041973908,13.115905201898714
strict_train_A_test_BC_t2only_w4,FixedHardMS,3528,10.130146082223051,9.718448491630955,16.809838030680837,18.827707390487365,22.34020840277882,19.401749637322627,30.11984579746152,15.476190476190476,51.75736961451247,83.02154195011337,96.74036281179139,11.543440235156229,42.96653431650596,13.115905201898714
strict_train_A_test_BC_t2only_w4,RTL_CRF,3528,5.121890920882958,4.724309871042848,8.854275024305505,10.31092447040377,12.892331172785669,10.74175844289419,16.161254719670822,54.53514739229025,94.30272108843538,99.8015873015873,100.0,4.678596392644077,2.580828133862734,13.115905201898714
strict_train_A_test_BC_t2only_w5,RawTop1,3526,14.699659359524583,14.308543325639198,23.734327474753695,25.79684509005333,28.765169158098207,26.252513955957415,33.459924438430775,6.5229722064662505,26.233692569483836,53.80034032898469,77.02779353374929,13.878222062389446,46.22587968217935,13.1159264110061
strict_train_A_test_BC_t2only_w5,FixedHardMS,3526,10.132639435610765,9.722079205657234,16.81245203720556,18.8279135222452,22.34074605630888,19.401749637322627,30.11984579746152,15.456608054452637,51.73000567214975,83.01191151446397,96.73851389676688,11.543060065653552,42.962542565266745,13.1159264110061
strict_train_A_test_BC_t2only_w5,RTL_CRF,3526,5.022068289917104,4.533575430209497,8.847088922882499,10.342077861766933,13.238150964499996,10.731228270603745,16.01753955927482,56.608054452637546,94.3562110039705,99.85819625638118,100.0,4.46304919420635,1.70261066969353,13.1159264110061
