Split,Method,N,MLE,MedLE,P90,P95,P99,CVaR90,LSR@5,LSR@10,LSR@15,LSR@20,MaxLE
B+C,Top-1 patch center,3534,14.754138969416225,14.340766429901125,24.86313247680664,26.72404565811157,30.417702350616462,27.43909404237392,10.469722693831352,29.82456140350877,53.11262026032824,72.58064516129032,36.258338928222656
B+C,Gaussian local average + Top-1,3534,15.399521504076072,14.901765823364258,25.55108642578125,27.745815467834472,31.60536756515504,28.231364799758136,9.054895302773062,27.50424448217317,50.39615166949633,69.75099037917374,36.258338928222656
B+C,3x3 local average + Top-1,3534,15.628365944145456,15.373850345611572,25.76080017089844,28.11599035263061,31.96926580429077,28.638572439635546,9.026598754951896,26.683644595359368,48.5851726089417,68.61912846632711,36.258338928222656
B+C,Fixed HardMS (continuous mode; diagnostic),3534,11.293017573819096,11.215609073638916,17.85999088287354,20.010087394714358,23.48539916992188,20.48555194186625,11.516694963214489,42.07696661007357,76.4855687606112,94.96321448783247,29.92025756835937
B+C,Fixed HardMS (snapped anchor),3534,11.460455667027222,11.1996169090271,18.22828693389893,20.615896701812744,23.60348686218262,20.894242222026243,11.03565365025467,41.1431805319751,73.45783814374647,93.80305602716469,29.909273147583008
B+C,Oracle nearest anchor,3534,1.7796996632632,1.8301297426223757,2.616581916809082,2.828499794006348,3.1543688774108887,2.870412265750724,100.0,100.0,100.0,100.0,3.321785926818848
model_dataset_new_2_flight,Top-1 patch center,2276,14.854455961926018,14.575016498565674,24.887374877929688,26.706852912902832,30.543617725372314,27.46806206349202,10.325131810193325,29.525483304042176,52.02108963093146,72.01230228471002,34.46244812011719
model_dataset_new_2_flight,Gaussian local average + Top-1,2276,15.399952460977335,15.02638578414917,25.598124504089355,27.62608766555786,31.74736833572388,28.2603424641124,9.270650263620386,27.636203866432336,49.91212653778559,69.81546572934974,34.96430206298828
model_dataset_new_2_flight,3x3 local average + Top-1,2276,15.678433445012214,15.44032907485962,25.731590270996094,27.97981357574463,31.98354387283325,28.61202562901012,8.787346221441124,25.966608084358523,48.02284710017575,68.804920913884,34.96430206298828
model_dataset_new_2_flight,Fixed HardMS (continuous mode; diagnostic),2276,11.472205977827992,11.457753658294678,18.38387107849121,20.437315464019772,23.718456745147705,20.948126968584564,11.335676625659053,41.03690685413005,75.43936731107206,93.89279437609842,29.92025756835937
model_dataset_new_2_flight,Fixed HardMS (snapped anchor),2276,11.625624432354536,11.407212257385254,18.61954402923584,20.85866451263428,24.341582775115967,21.30644679487797,10.984182776801406,40.28998242530756,72.14411247803163,93.05799648506152,29.909273147583008
model_dataset_new_2_flight,Oracle nearest anchor,2276,1.789574841821406,1.834463596343994,2.607019662857056,2.859251022338867,3.185176908969879,2.887131329707183,100.0,100.0,100.0,100.0,3.321785926818848
model_dataset_flight,Top-1 patch center,1258,14.572643361346048,13.952725410461426,24.77643241882324,26.735485076904297,30.199826602935797,27.3635769950019,10.731319554848968,30.36565977742448,55.087440381558025,73.60890302066773,36.258338928222656
model_dataset_flight,Gaussian local average + Top-1,1258,15.398741807806378,14.691675662994385,25.436340141296384,27.794305324554443,31.322290115356463,28.175868972899423,8.664546899841017,27.26550079491256,51.27186009538951,69.63434022257552,36.258338928222656
model_dataset_flight,3x3 local average + Top-1,1258,15.537782770876191,15.14637327194214,25.774128341674803,28.139925670623768,31.951795310974124,28.686332748049782,9.45945945945946,27.98092209856916,49.60254372019078,68.28298887122418,36.258338928222656
model_dataset_flight,Fixed HardMS (continuous mode; diagnostic),1258,10.96882615289362,10.881508827209473,17.36265716552734,19.1307671546936,22.20326217651368,19.52715784405905,11.844197138314785,43.95866454689984,78.37837837837837,96.89984101748809,25.64395904541016
model_dataset_flight,Fixed HardMS (snapped anchor),1258,11.161628870616278,10.885085582733154,17.567403030395507,19.781951618194554,22.33386644363404,20.02435937003484,11.128775834658189,42.68680445151033,75.83465818759937,95.1510333863275,26.34990501403809
model_dataset_flight,Oracle nearest anchor,1258,1.7618332829782428,1.8147575855255127,2.637565946578979,2.772495746612549,3.079861879348755,2.838306294547187,100.0,100.0,100.0,100.0,3.189033508300781
