setting,Split,Method,N,MLE,MedLE,P90,P95,P99,CVaR90,LSR@5,LSR@10,LSR@15,LSR@20,MaxLE
h10,model_dataset_new_2_flight+model_dataset_flight,Fixed HardMS (snapped anchor),3534,11.24739795426106,11.04424524307251,17.626988029479982,19.70029249191284,22.83610546112061,20.09801284337448,11.403508771929824,41.25636672325976,75.69326542161856,95.50084889643465,29.909273147583008
h12,model_dataset_new_2_flight+model_dataset_flight,Fixed HardMS (snapped anchor),3534,11.144347089319057,10.986727714538574,17.261250877380373,19.35017690658569,22.267127380371097,19.711932947406662,11.601584606677983,41.39784946236559,76.5704584040747,96.20826259196376,29.909273147583008
h4,model_dataset_new_2_flight+model_dataset_flight,Fixed HardMS (snapped anchor),3534,12.99097792011958,12.59708833694458,21.70864849090577,24.363079738616943,28.29271697998047,24.79555184962386,11.856253537068476,35.96491228070175,62.478777589134125,83.64459535936616,33.11809158325195
h6,model_dataset_new_2_flight+model_dataset_flight,Fixed HardMS (snapped anchor),3534,11.903462039877043,11.61652135848999,19.80934295654297,21.444049644470216,25.16829191207886,22.184980925867112,11.544991511035652,40.2376910016978,69.89247311827957,90.5772495755518,32.90560531616211
k1,model_dataset_new_2_flight+model_dataset_flight,Fixed HardMS (snapped anchor),3534,11.446694059502995,11.1996169090271,18.21790199279785,20.50446557998657,23.72449918746949,20.86877812099996,11.318619128466327,41.08658743633276,73.65591397849462,93.97283531409168,29.909273147583008
k2,model_dataset_new_2_flight+model_dataset_flight,Fixed HardMS (snapped anchor),3534,11.443940479264093,11.149173736572266,18.200727462768565,20.59621820449829,23.781890563964843,20.8925385879258,11.092246745897,41.25636672325976,73.79739671760045,93.859649122807,32.90560531616211
k4,model_dataset_new_2_flight+model_dataset_flight,Fixed HardMS (snapped anchor),3534,11.454802239761726,11.183074951171877,18.22828693389893,20.55486316680908,23.781890563964843,20.83888543123579,10.80928126768534,41.114883984153934,73.62761743067345,93.97283531409168,29.909273147583008
k5,model_dataset_new_2_flight+model_dataset_flight,Fixed HardMS (snapped anchor),3534,11.416494538905294,11.14436149597168,18.110616874694827,20.571427726745604,23.60348686218262,20.81143644300558,11.092246745897,41.25636672325976,73.76910016977929,93.97283531409168,29.909273147583008
tau020,model_dataset_new_2_flight+model_dataset_flight,Fixed HardMS (snapped anchor),3534,11.812669253321475,11.447346210479736,19.569125938415528,21.409323596954344,25.251251373291023,22.160823153910663,11.827956989247312,40.01131861912847,70.79796264855688,90.91680814940575,32.90560531616211
tau040,model_dataset_new_2_flight+model_dataset_flight,Fixed HardMS (snapped anchor),3534,11.243247231442204,11.04144525527954,17.542086410522465,19.67626504898071,22.83610546112061,20.016918629576256,11.205432937181664,41.737408036219584,75.55178268251274,95.58573853989812,26.34990501403809
tau050,model_dataset_new_2_flight+model_dataset_flight,Fixed HardMS (snapped anchor),3534,11.120370499056042,11.007063388824465,17.266626930236818,19.08699960708618,21.952364082336427,19.500594850313867,11.177136389360498,41.56762874929258,77.07979626485569,96.63271080928126,26.34990501403809
archived_h8_k3_tau0.30,model_dataset_new_2_flight+model_dataset_flight,Fixed HardMS (snapped anchor),3534,11.460455667027222,11.1996169090271,18.22828693389893,20.615896701812744,23.60348686218262,20.894242222026243,11.03565365025467,41.1431805319751,73.45783814374647,93.80305602716469,29.909273147583008
