threshold_m,transition,frame_count,fraction_percent,mean_error_change_m
15,Success -> Success,1767,50.0,-0.724136958401555
15,Failure -> Success,829,23.457838143746464,-8.379757043032653
15,Success -> Failure,110,3.11262026032824,6.703585497899489
15,Failure -> Failure,828,23.429541595925297,-5.013167392804426
15,Far-error recovery rate,829,50.03017501508751,-6.69747808685343
20,Success -> Success,2549,72.12790039615167,-1.684358359201602
20,Failure -> Success,766,21.675155631013016,-8.540004087101385
20,Success -> Failure,16,0.452744765138653,4.60284249484539
20,Failure -> Failure,203,5.744199207696661,-4.327338336136541
20,Far-error recovery rate,766,79.05056759545924,-7.657474523173766
