Experiment,Frames,GRU,Kalman,MS,MS_grid,B_MLE_m,C_MLE_m,BC_MLE_m,BC_P90_m,BC_LSR5_pct,B_Jump_pct,C_Jump_pct,PureMS_latency_ms,PureMS_FPS
temporal_1frame,1,yes,fixed,yes,6,2.0247860669323368,1.7454649532764004,1.9253559704470036,3.592203871301965,97.73627617430674,0.0,0.0,0.0,0.0
temporal_2frame,2,yes,fixed,yes,6,2.0446960140886454,1.75919114821934,1.9430646837933467,3.664105416636425,97.79286926994907,0.0,0.0,0.0,0.0
temporal_3frame,3,yes,fixed,yes,6,2.0668587151090563,1.7524127699513767,1.9549252122770355,3.6875597381412106,97.50990379173741,0.0,0.0,0.0,0.0
abl_ms_only,3,no,none,no,6,5.270653143304821,4.524776543699596,5.005143023807546,9.362000524354825,54.83870967741935,2.3296703296703294,2.386634844868735,0.0,0.0
abl_ms_gru,3,yes,none,no,6,5.503739572506047,4.948620906995184,5.306133663843719,9.550820922837728,51.782682512733444,2.769230769230769,2.704852824184566,0.0,0.0
abl_ms_gru_kalman,3,yes,fixed,no,6,4.484871146664896,3.965083656538945,4.299842096699291,8.03251050886335,64.17657045840407,0.04395604395604395,0.0,0.0,0.0
sens_ms_grid4x4,3,yes,fixed,yes,4,2.190643980310527,1.879501151641174,2.0798862897428854,4.1554634133506,94.79343520090549,0.0,0.0,3.440379761695431,290.6655861465702
sens_ms_grid5x5,3,yes,fixed,yes,5,2.066468651842394,1.7519420022806829,1.9545064206175402,3.6853589725872427,97.53820033955857,0.0,0.0,4.447134630545428,224.86389171387714
sens_ms_grid6x6,3,yes,fixed,yes,6,2.0668587151090563,1.7524127699513767,1.9549252122770355,3.6875597381412106,97.50990379173741,0.0,0.0,6.505143441129923,153.72451184970382
sens_ms_grid7x7,3,yes,fixed,yes,7,2.0654049389026663,1.7512536269650727,1.953576316826409,3.683758508071987,97.56649688737974,0.0,0.0,10.129332803919302,98.723185362522
sens_ms_grid8x8,3,yes,fixed,yes,8,2.065938227036918,1.7517005626094477,1.9540788660154815,3.685883443148717,97.56649688737974,0.0,0.0,9.093477705212527,109.96892854609233
runtime_e2e,3,yes,fixed,yes,6,2.0667224177910204,1.7524740364161562,1.9548592418516941,3.6873726292398956,97.50990379173741,0.0,0.0,0.0,0.0
