run_id,pipeline,grid_size,candidate_count,decoder,gru_ablation,bandwidth_m,tau,seed,training_from_scratch,jitter_m,route,MLE_m,MedLE_m,P90_m,P95_m,P99_m,CVaR90_m,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct
bandwidth_12m,MKG,6,36,softms,full,12.0,0.3,2026,True,0.0,route_B,6.10771889783197,5.16404903225172,12.306564488857244,15.185833900482095,19.367216305702,15.63653504733806,48.68189806678383,83.21616871704745,94.72759226713534,99.78031634446397
bandwidth_12m,MKG,6,36,softms,full,12.0,0.3,2026,True,0.0,route_C,6.143519850236341,4.57422674148312,14.967152053107252,16.314639269920324,17.579573748681355,16.49937349405186,54.531001589825124,79.57074721780603,90.06359300476947,99.68203497615262
bandwidth_4m,MKG,6,36,softms,full,4.0,0.3,2026,True,0.0,route_B,6.626265178388764,5.884923214914064,12.77121382976965,15.40451288842255,18.395894395371464,15.618705791571784,42.39894551845343,79.13005272407733,94.33216168717048,99.86818980667839
bandwidth_4m,MKG,6,36,softms,full,4.0,0.3,2026,True,0.0,route_C,5.845438114937101,4.6407227533616355,12.343330659724947,14.146346488307001,16.644761200560932,14.591226028365949,53.97456279809221,80.9220985691574,96.26391096979332,99.84101748807632
baseline_mkg_6x6,MKG,6,36,softms,full,8.0,0.3,2026,True,0.0,route_B,6.4689494109074595,5.617388374854624,12.682374212687947,14.922835247425411,18.734562157929567,15.362759243973011,43.32161687170474,80.57996485061511,95.07908611599298,99.78031634446397
baseline_mkg_6x6,MKG,6,36,softms,full,8.0,0.3,2026,True,0.0,route_C,6.021047471246024,4.742205785805611,12.611187476068693,13.996201342272546,17.8250427318163,14.772039288129424,52.94117647058824,79.96820349761526,96.34340222575517,99.92050874403816
baseline_mkg_6x6,MKG,6,36,softms,full,8.0,0.3,2026,True,5.0,route_B,7.324102611247055,6.40444671256307,13.503633427984582,16.323959502009018,20.014080010888257,16.674535796131593,33.655536028119506,76.49384885764499,92.75043936731107,98.98945518453426
baseline_mkg_6x6,MKG,6,36,softms,full,8.0,0.3,2026,True,5.0,route_C,6.860682387888867,5.8488690708252715,13.350020551773378,15.487896121098112,18.237633697909132,15.848857127885282,41.0174880763116,80.44515103338632,94.0381558028617,99.76152623211448
baseline_mkg_6x6,MKG,6,36,softms,full,8.0,0.3,2026,True,10.0,route_B,9.544465150943639,8.813663856463098,15.663294042743257,18.732859341798676,23.17350569164404,19.3579696311838,13.620386643233742,61.15992970123023,87.91739894551846,96.30931458699473
baseline_mkg_6x6,MKG,6,36,softms,full,8.0,0.3,2026,True,10.0,route_C,8.954967632346962,8.334295396246901,14.713946226855468,17.072911709606633,20.362710887020413,17.555008090723632,16.295707472178062,65.81875993640699,90.69952305246423,98.80763116057234
baseline_mkg_6x6,MKG,6,36,softms,full,8.0,0.3,2026,True,15.0,route_B,12.606765502943082,12.055770174300596,18.72267388001059,22.027733854223214,27.561216875692864,22.737563518643693,5.184534270650263,30.052724077328648,72.89103690685414,92.61862917398945
baseline_mkg_6x6,MKG,6,36,softms,full,8.0,0.3,2026,True,15.0,route_C,11.901063856367577,11.553897106194865,17.249286245608825,19.98339075286864,23.74988443082216,20.68151986795807,4.610492845786964,31.558028616852145,81.39904610492846,94.99205087440382
baseline_mkg_6x6,MKG,6,36,softms,full,8.0,0.3,2026,True,20.0,route_B,16.218791673345734,15.639067364599821,22.75943974440846,25.610026828784882,31.145903579476503,26.55435069540544,0.9666080843585236,8.347978910369068,42.838312829525485,81.32688927943761
baseline_mkg_6x6,MKG,6,36,softms,full,8.0,0.3,2026,True,20.0,route_C,15.435204112941342,15.134451026426735,21.282005107348056,23.64956097127768,28.644353810427198,24.534736722549056,1.3513513513513513,8.982511923688394,48.171701112877585,86.8839427662957
component_m,M,6,36,softms,full,8.0,0.3,2026,False,0.0,route_B,6.550177711806255,5.926681814412833,11.61514468243844,12.740446702547192,14.753879680117759,13.132112560557198,39.49912126537786,80.57996485061511,99.12126537785588,100.0
component_m,M,6,36,softms,full,8.0,0.3,2026,False,0.0,route_C,6.0345389904671265,5.314230134052372,11.640791770644801,12.14528019760808,14.280274990583653,12.642010834052925,45.78696343402226,83.06836248012719,99.52305246422894,100.0
component_mg,MG,6,36,softms,full,8.0,0.3,2026,True,0.0,route_B,6.955438557150339,6.222547203702883,13.176321979093782,15.236594626279052,18.61868013128882,15.683561279266765,39.235500878734626,77.50439367311071,94.59578207381371,99.78031634446397
component_mg,MG,6,36,softms,full,8.0,0.3,2026,True,0.0,route_C,6.07319175925879,5.102340835487559,12.179587879320295,13.616614257256762,15.56277800290697,13.84842190426103,49.2845786963434,80.28616852146264,97.8537360890302,100.0
component_mk,MK,6,36,softms,full,8.0,0.3,2026,False,0.0,route_B,6.594769023784256,5.876092816130496,11.7848096924723,12.925259238504818,14.94846485545743,13.217917281473754,40.202108963093146,79.43760984182776,99.16520210896309,100.0
component_mk,MK,6,36,softms,full,8.0,0.3,2026,False,0.0,route_C,6.069240543697146,5.195193095593862,11.725564618304656,12.153775112503599,14.124064682244418,12.656519669001321,46.97933227344992,82.9093799682035,99.76152623211448,100.0
decoder_top1,MKG,6,36,top1,full,8.0,0.3,2026,True,0.0,route_B,12.404024172994452,11.993940086653954,20.125766294098067,22.234644868078608,26.596167389158396,22.986263756903266,9.270650263620386,36.64323374340949,67.9261862917399,89.45518453427064
decoder_top1,MKG,6,36,top1,full,8.0,0.3,2026,True,0.0,route_C,11.309380777177653,10.877842170339125,18.70520609371884,20.97282919747714,23.710799924663206,21.1875952322931,11.446740858505565,43.48171701112877,75.43720190779014,93.72019077901432
