run_id,pipeline,grid_size,candidate_count,decoder,gru_ablation,bandwidth_m,tau,seed,training_from_scratch,jitter_m,route,MLE_m,MedLE_m,P90_m,P95_m,P99_m,CVaR90_m,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct
bandwidth_12m,MKG,6,36,softms,full,12.0,0.3,2026,True,0.0,B+C average,6.125619374034155,4.86913788686742,13.636858270982248,15.75023658520121,18.47339502719168,16.067954270694962,51.60644982830448,81.39345796742674,92.3955926359524,99.7311756603083
bandwidth_4m,MKG,6,36,softms,full,4.0,0.3,2026,True,0.0,B+C average,6.235851646662933,5.26282298413785,12.557272244747299,14.775429688364776,17.520327797966196,15.104965909968866,48.18675415827282,80.02607564661736,95.2980363284819,99.85460364737736
baseline_mkg_6x6,MKG,6,36,softms,full,8.0,0.3,2026,True,0.0,B+C average,6.244998441076742,5.179797080330117,12.64678084437832,14.459518294848978,18.279802444872935,15.067399266051218,48.13139667114649,80.27408417411519,95.71124417087407,99.85041254425107
baseline_mkg_6x6,MKG,6,36,softms,full,8.0,0.3,2026,True,5.0,B+C average,7.092392499567961,6.126657891694171,13.426826989878979,15.905927811553564,19.125856854398695,16.261696462008437,37.336512052215554,78.46949994551565,93.39429758508638,99.37549070832438
baseline_mkg_6x6,MKG,6,36,softms,full,8.0,0.3,2026,True,10.0,B+C average,9.2497163916453,8.573979626355,15.188620134799361,17.902885525702654,21.768108289332226,18.456488860953716,14.958047057705901,63.48934481881861,89.30846099899134,97.55847287378353
baseline_mkg_6x6,MKG,6,36,softms,full,8.0,0.3,2026,True,15.0,B+C average,12.25391467965533,11.80483364024773,17.98598006280971,21.00556230354593,25.655550653257514,21.70954169330088,4.897513558218614,30.805376347090395,77.1450415058913,93.80534002419662
baseline_mkg_6x6,MKG,6,36,softms,full,8.0,0.3,2026,True,20.0,B+C average,15.826997893143538,15.386759195513278,22.020722425878258,24.62979390003128,29.89512869495185,25.544543708977248,1.1589797178549375,8.665245417028732,45.50500697120154,84.10541602286665
component_m,M,6,36,softms,full,8.0,0.3,2026,False,0.0,B+C average,6.292358351136691,5.620455974232602,11.627968226541622,12.442863450077637,14.517077335350706,12.887061697305061,42.64304234970006,81.82416366537115,99.32215892104242,100.0
component_mg,MG,6,36,softms,full,8.0,0.3,2026,True,0.0,B+C average,6.514315158204564,5.66244401959522,12.677954929207038,14.426604441767907,17.090729067097897,14.765991591763898,44.260039787539014,78.89528109728667,96.22475908142195,99.89015817223199
component_mk,MK,6,36,softms,full,8.0,0.3,2026,False,0.0,B+C average,6.3320047837407,5.53564295586218,11.755187155388477,12.539517175504209,14.536264768850923,12.937218475237538,43.59072061827153,81.17349490501563,99.46336417053878,100.0
decoder_top1,MKG,6,36,top1,full,8.0,0.3,2026,True,0.0,B+C average,11.856702475086053,11.43589112849654,19.415486193908453,21.60373703277787,25.1534836569108,22.08692949459818,10.358695561062977,40.06247537726913,71.68169409976502,91.58768765664249
decoder_weighted,MKG,6,36,weighted,full,8.0,0.3,2026,True,0.0,B+C average,5.4057471611379935,4.196840640748974,11.24109458990171,14.36032627805884,17.800565218232403,14.624118102020674,58.49037163908454,86.01680352946764,95.54821025926164,99.89854037848455
gru_no_first_difference,MKG,6,36,softms,no_first_difference,8.0,0.3,2026,True,0.0,B+C average,6.353295741690745,5.041529894493891,13.023773788946045,16.30916444752782,20.172159990029513,16.618744032653936,49.56873548830542,79.25211860263033,93.41424025079561,98.75199426657093
gru_no_temporal_mean,MKG,6,36,softms,no_temporal_mean,8.0,0.3,2026,True,0.0,B+C average,6.517672445043399,5.323556979192672,13.100913525823648,15.727906113518952,20.0889306686557,16.416162639666954,47.22129862727402,79.48538841746739,93.48231075073832,98.67047731076471
gru_no_variance,MKG,6,36,softms,no_variance,8.0,0.3,2026,True,0.0,B+C average,6.917535927938165,6.120478188370241,13.547816043968442,15.600556458571024,18.610667535774468,15.919503601038254,39.94439104668609,75.9822897952227,93.78351136208057,99.71441124780316
gru_no_xy,MKG,6,36,softms,no_xy,8.0,0.3,2026,True,0.0,B+C average,6.062296670808293,5.165047650878934,12.096259792395154,13.782973665520984,16.28765647711116,14.145981342317338,48.55298671979122,82.56906239434927,97.6872445173386,99.9780316344464
seed_123,MKG,6,36,softms,full,8.0,0.3,123,True,0.0,B+C average,6.010163293708324,4.905412304915497,12.27078584321657,14.619523715726586,18.292863630308076,15.102153589782688,51.10725452010472,82.31902816700708,95.69028865524265,99.56800204525834
seed_456,MKG,6,36,softms,full,8.0,0.3,456,True,0.0,B+C average,6.161908555049973,4.857610214275372,13.346926663780586,15.977625896573038,19.030691303877614,16.414546656879043,50.8457995367434,81.416299479465,92.74593393145031,99.40165017700426
tau_0p20,MKG,6,36,softms,full,8.0,0.2,2026,True,0.0,B+C average,7.23963152221553,5.9635674378448496,14.809876151689235,17.302381073758664,20.040811365077943,17.579879674914544,42.113496469694134,73.75192441485214,90.64535304455701,98.28964574002308
tau_0p50,MKG,6,36,softms,full,8.0,0.5,2026,True,0.0,B+C average,4.666536615731563,3.9335086490457907,9.184168854492354,10.65689246081244,13.157253966405964,11.039974545220034,61.367074973246794,93.48852755370899,99.67466561982224,100.0
window_4x4,MKG,4,16,softms,full,8.0,0.3,2026,True,0.0,B+C average,3.8311043264187425,3.3417299062921266,7.149313250995489,8.37747639266714,10.768873250029914,8.715243393021295,71.65654748100731,97.86602999153398,100.0,100.0
window_5x5,MKG,5,25,softms,full,8.0,0.3,2026,True,0.0,B+C average,5.006375016696767,4.165771945765053,10.006486611304375,12.085428120838339,15.023787201536374,12.41946490877174,60.40451828857701,90.43317844878891,98.94247990366051,100.0
window_7x7,MKG,7,49,softms,full,8.0,0.3,2026,True,0.0,B+C average,8.323171155018091,7.350380190700175,16.1379028829709,18.789505097246046,22.434386633863113,19.18350982069297,33.71924079563902,65.44208454293226,86.6527335771624,96.89956161061299
window_8x8,MKG,8,64,softms,full,8.0,0.3,2026,True,0.0,B+C average,8.444256037617798,7.406626068685529,16.245362258700556,18.919871003813846,22.70410421692288,19.43296920409542,32.862334835610966,64.2182125783387,86.69233950170579,96.40469710897706
