frame_id,image_path,gt_x,gt_y,predicted_current_x,predicted_current_y,search_center_x,search_center_y,raw_top1_x,raw_top1_y,hardms_x,hardms_y,measurement_anchor_x,measurement_anchor_y,measurement_x,measurement_y,measurement_var_x,measurement_var_y,response_var_parallel,response_var_cross,confidence,kalman_nis,kalman_r_scale,v_parallel,v_cross,a_parallel,a_cross,poly_next_step_parallel,poly_next_step_cross,model_next_step_m,waypoint_leg,target_waypoint,route_progress,route_remaining_m,route_cross_track_m,waypoint_alignment,movement_heading_deg,candidate_capture,final_x,final_y,final_vx,final_vy,final_speed,final_step_m,error_final_m
0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,-18.780746459960938,-2.1595981121063232,-18.780745674413577,-2.1595981213156596,-18.780745674413577,-2.1595981213156596,-8.908679962158203,-0.4026999771595001,-13.640005111694336,-0.3726810812950134,-14.517824172973633,2.579775094985962,-17.496843338012695,0.47597432136535645,156.05484008789062,40.01594543457031,87.68433380126953,21.344066619873047,0.7475550770759583,0.16811095076381494,1.0,2.9105238914489746,0.004939830396324396,0.01302381418645382,0.008216931484639645,2.9170358180999756,0.009048296138644218,2.9170496463775635,0,1,0.0,731.5633515869471,0.0,0.0,nan,1,-18.748659113689868,-1.9200874243025698,0.0,0.0,0.0,0.0,0.24165050664740295
1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,-25.919267654418945,-1.4582853317260742,-21.650192465435325,-1.6196147503425398,-21.650192465435325,-1.6196147503425398,-27.772829055786133,9.233684539794922,-27.803403854370117,4.475525379180908,-23.10232162475586,6.030648231506348,-23.46825408935547,3.2067794799804688,53.22804260253906,33.07886505126953,36.02872848510742,22.03878402709961,0.8238260746002197,0.5553954425560362,1.0,2.5558128356933594,-0.006802855525165796,-0.024415256455540657,0.005138308275490999,2.543605089187622,-0.004233701154589653,2.5436086654663086,0,1,0.003978520949434871,728.6528114668196,-0.23251480933683258,0.9636723485819744,158.54071459066859,1,-22.01255822487756,-0.25898399114545523,-3.1545789739404015,1.2400329453248695,3.389550148370422,3.6622809864424863,4.086649272005864
2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,-28.881437301635742,-1.16508948802948,-24.54135934942051,0.015078260526693477,-24.54135934942051,0.015078260526693477,-27.772829055786133,9.233684539794922,-27.803403854370117,4.475525379180908,-26.193328857421875,7.673773765563965,-26.432788848876953,4.782361030578613,49.17911911010742,33.855289459228516,33.480445861816406,22.765907287597656,0.8267213702201843,0.3966017955261901,1.0,2.635011672973633,-0.006027288734912872,-0.022073429077863693,0.003693251172080636,2.6239750385284424,-0.004180663265287876,2.623978614807129,0,1,0.008145317936151074,725.6045354978352,-1.5512569402134286,0.9451668408246302,155.1418654761522,1,-25.31116276059794,2.2722041832421707,-2.8724435176595517,1.3307936486756726,3.165745330486944,4.157848657326868,4.955991130031088
3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,-31.84273910522461,-0.8719794154167175,-27.919885593583164,2.554740172312482,-27.919885593583164,2.554740172312482,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,-26.034635543823242,7.536469459533691,-28.455692291259766,4.862284183502197,34.083824157714844,45.703670501708984,22.565364837646484,30.55461311340332,0.8198016285896301,0.0682508880335074,1.0,2.818457841873169,-0.0013903272338211536,-0.003972651436924934,0.004507255274802446,2.816471576690674,0.0008633004035800695,2.816471576690674,0,1,0.01310578176073267,721.9756419568984,-3.7181565403839154,0.9912965540006108,166.71899295711646,1,-28.224489490242274,3.582480660072825,-2.7016978957930147,0.6377087633721886,2.775940198746019,3.194416547571073,5.7388104029014695
4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,-34.80412292480469,-0.5788613557815552,-31.025157628205204,3.880423197887204,-31.025157628205204,3.880423197887204,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,-25.337291717529297,8.974896430969238,-28.435386657714844,6.384671211242676,27.03499412536621,49.2297477722168,16.936676025390625,31.51017951965332,0.8011481165885925,0.17663565562977165,1.0,3.1550803184509277,0.004770274274051189,0.019906051456928253,0.00482063228264451,3.1650333404541016,0.007180590182542801,3.165041208267212,0,1,0.01751878272550769,718.7472521805512,-4.706918061317683,0.9884815871591015,165.6796986435502,1,-29.535353262105385,4.983684202875594,-2.380268149075853,0.6076210112131752,2.4565992255092626,1.9187848229403457,7.661713049358928
5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,-38.077056884765625,-0.2521708011627197,-32.68328649563472,5.3123242019076145,-32.68328649563472,5.3123242019076145,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,-27.13808822631836,10.252792358398438,-30.311851501464844,7.677178382873535,29.49146842956543,51.724674224853516,18.361534118652344,32.84228515625,0.7979036569595337,0.1618139640831833,1.0,3.322171211242676,0.00634569488465786,0.03175091743469238,0.004101625178009272,3.3380465507507324,0.008396507240831852,3.338057041168213,0,1,0.019980199521949182,716.946569859294,-5.954826312844898,0.9949316383661474,168.70254941344652,1,-31.543980106186034,6.304970138791805,-2.8657588940515426,0.5725025291909519,2.9223848454242907,2.404241735602176,9.256197356433342
6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,-41.34334182739258,0.07385636121034622,-34.86407928861296,6.650756176297409,-34.86407928861296,6.650756176297409,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,-29.399425506591797,11.663529396057129,-32.588497161865234,9.126303672790527,29.085647583007812,49.58300018310547,18.54470443725586,32.206565856933594,0.8071644306182861,0.16926185199611163,1.0,3.4006385803222656,0.005485657136887312,0.035252977162599564,0.0031334778759628534,3.4182651042938232,0.007052395958453417,3.4182722568511963,0,1,0.023138477468639833,714.6360894593698,-7.054343332968343,0.9957958239172379,169.31018693578977,1,-33.8316985664309,7.684265247497735,-3.079673216093238,0.5813432128389004,3.13406238754686,2.6713499864759864,10.693133679910348
7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,-44.61831283569336,0.40075016021728516,-37.23142061358104,8.03989825486022,-37.23142061358104,8.03989825486022,-27.772829055786133,9.233684539794922,-32.50415802001953,9.263697624206543,-28.266935348510742,10.838071823120117,-31.480289459228516,8.369390487670898,26.90808868408203,66.95088958740234,17.539363861083984,45.09593963623047,0.8201747536659241,0.6720336109892827,1.0,3.486762285232544,0.004361449275165796,0.040265657007694244,0.0015489996876567602,3.506895065307617,0.005135949235409498,3.5068986415863037,0,1,0.02655767007477706,712.1347334567029,-8.184493239510338,0.99911302376247,172.18359761456267,1,-34.619486696478056,8.148851630325629,-2.768125723418059,0.3799934053718151,2.7940857196540736,0.9145767572775388,12.649490130173243
8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,-47.93851089477539,0.7270652055740356,-38.10713548718028,8.515793045448339,-38.10713548718028,8.515793045448339,-27.772829055786133,9.233684539794922,-32.50415802001953,9.263697624206543,-29.06003189086914,11.29294204711914,-32.27577209472656,8.85393238067627,25.896682739257812,66.23249053955078,16.982845306396484,44.94568634033203,0.823192298412323,0.7276892227227585,1.0,3.5089638233184814,0.003921191208064556,0.04225323349237442,0.0008056863443925977,3.53009033203125,0.004324034322053194,3.53009295463562,0,1,0.027816974120242026,711.2134727685354,-8.564797244208238,0.9990513316589625,172.13303982556388,1,-35.50236914622853,8.632491445588654,-2.8477173396116626,0.3934798029484091,2.8747731043776734,1.006672186456472,14.736125190370155
9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,-51.25859451293945,1.0533686876296997,-39.01299608814786,9.00270101446729,-39.01299608814786,9.00270101446729,-27.772829055786133,9.233684539794922,-32.50415802001953,9.263697624206543,-30.102558135986328,11.791038513183594,-33.31114196777344,9.439143180847168,26.687532424926758,64.81346893310547,17.875431060791016,44.81079864501953,0.8310118317604065,0.6976558190927806,1.0,3.5283584594726562,0.004175583366304636,0.042157214134931564,0.0010528838029131293,3.5494370460510254,0.004702025093138218,3.5494399070739746,0,1,0.029118849999204128,710.2610680871717,-8.952854097769654,0.9989549010006515,172.0432674471107,1,-36.56765513123776,9.157859044010344,-2.8982362324953574,0.40508891610511066,2.926409111744306,1.1877901091221674,16.77815436374039
