frame_index,frame_id,reference_x,reference_y,search_center_x,search_center_y,jitter_m,visual_x,visual_y,visual_error_m,final_x,final_y,final_error_m,kalman_xy_x,kalman_xy_y
0,0,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,0.0,-29.69103240966797,0.6151264905929565,7.944988090764576,-30.96364974975586,0.7216982245445251,6.6702911776221345,-30.96364974975586,0.7216982245445251
1,1,-47.69226837158203,1.7922438383102417,-47.69226837158203,1.7922438383102417,0.0,-39.5966911315918,-1.8984417915344238,8.897164226144746,-31.984100341796875,-0.8764139413833618,15.933244402728644,-31.984100341796875,-0.8764139413833618
2,2,-50.9120979309082,2.1374623775482178,-50.9120979309082,2.1374623775482178,0.0,-51.9869384765625,0.570592999458313,1.900095220397723,-42.50088882446289,-0.4164659082889557,8.790391818431518,-42.50088882446289,-0.4164659082889557
3,3,-54.1414794921875,2.4837052822113037,-54.1414794921875,2.4837052822113037,0.0,-54.185997009277344,4.601127624511719,2.117890267459771,-50.47269821166992,2.1759302616119385,3.6816683103697896,-50.47269821166992,2.1759302616119385
4,4,-57.659645080566406,2.8609108924865723,-57.659645080566406,2.8609108924865723,0.0,-53.45266342163086,4.556041240692139,4.535654481552537,-54.626380920410156,3.681154251098633,3.142211105676319,-54.626380920410156,3.681154251098633
5,5,-60.85377502441406,3.1642963886260986,-60.85377502441406,3.1642963886260986,0.0,-73.4153060913086,9.627350807189941,14.126681675534211,-64.28559875488281,7.115807056427002,5.233722449151539,-64.28559875488281,7.115807056427002
6,6,-64.02477264404297,3.465484857559204,-64.02477264404297,3.465484857559204,0.0,-76.6735610961914,7.9935503005981445,13.434851170133859,-73.86697387695312,8.335955619812012,10.981366515832974,-73.86697387695312,8.335955619812012
7,7,-67.50447845458984,3.795994520187378,-67.50447845458984,3.795994520187378,0.0,-75.13109588623047,6.675940990447998,8.15226257674342,-78.69279479980469,8.408661842346191,12.101864421051552,-78.69279479980469,8.408661842346191
8,8,-70.70535278320312,4.076558589935303,-70.70535278320312,4.076558589935303,0.0,-77.14640045166016,6.686550617218018,6.949759236823611,-81.4210205078125,8.257287979125977,11.50234902139027,-81.4210205078125,8.257287979125977
9,9,-73.90149688720703,4.35670804977417,-73.90149688720703,4.35670804977417,0.0,-77.87831115722656,5.52518892288208,4.144924521514234,-82.29512786865234,7.493522644042969,8.960616432561787,-82.29512786865234,7.493522644042969
10,10,-77.41057586669922,4.6642866134643555,-77.41057586669922,4.6642866134643555,0.0,-77.76382446289062,5.47208309173584,0.8816573716694098,-82.41837310791016,6.831230640411377,5.456526333208816,-82.41837310791016,6.831230640411377
11,11,-80.71418762207031,4.9646830558776855,-80.71418762207031,4.9646830558776855,0.0,-81.38468933105469,4.772594451904297,0.6974744249988044,-84.24998474121094,5.988711357116699,3.6810997309855114,-84.24998474121094,5.988711357116699
12,12,-84.01985931396484,5.2652668952941895,-84.01985931396484,5.2652668952941895,0.0,-83.02679443359375,5.197080612182617,0.9954030469267342,-85.55926513671875,5.5590081214904785,1.5671803326662603,-85.55926513671875,5.5590081214904785
13,13,-87.32689666748047,5.565974712371826,-87.32689666748047,5.565974712371826,0.0,-88.45319366455078,5.225813865661621,1.1765433809444543,-88.24958801269531,5.290661334991455,0.9628898038191933,-88.24958801269531,5.290661334991455
14,14,-90.52931213378906,5.903904438018799,-90.52931213378906,5.903904438018799,0.0,-87.89710235595703,3.8179931640625,3.358504750232243,-89.55512237548828,4.518959999084473,1.6932562665211814,-89.55512237548828,4.518959999084473
15,15,-93.73101806640625,6.241759300231934,-93.73101806640625,6.241759300231934,0.0,-92.50254821777344,4.928804397583008,1.798051374513469,-92.07659912109375,4.489381790161133,2.409964519326138,-92.07659912109375,4.489381790161133
16,16,-97.24320983886719,6.612377643585205,-97.24320983886719,6.612377643585205,0.0,-95.82901763916016,5.159788608551025,2.027302267155478,-94.95089721679688,4.611348628997803,3.042829977919158,-94.95089721679688,4.611348628997803
17,17,-100.48795318603516,6.946656227111816,-100.48795318603516,6.946656227111816,0.0,-96.0688705444336,5.30503511428833,4.714150111247208,-96.86669921875,4.81198263168335,4.203606981462228,-96.86669921875,4.81198263168335
18,18,-103.73233032226562,7.28089714050293,-103.73233032226562,7.28089714050293,0.0,-99.83624267578125,4.200925827026367,4.96645972911557,-99.42900085449219,4.511242866516113,5.117580415159165,-99.42900085449219,4.511242866516113
19,19,-107.29228973388672,7.647648811340332,-107.29228973388672,7.647648811340332,0.0,-108.90025329589844,4.2247443199157715,3.78177497667059,-105.21378326416016,4.326623439788818,3.9178308619929023,-105.21378326416016,4.326623439788818
20,20,-110.61548614501953,7.9523024559021,-110.61548614501953,7.9523024559021,0.0,-112.25946044921875,3.3430213928222656,4.893681991234582,-110.52745056152344,3.871302366256714,4.081949533696753,-110.52745056152344,3.871302366256714
21,21,-113.93445587158203,8.25656795501709,-113.93445587158203,8.25656795501709,0.0,-115.35295104980469,3.897193431854248,4.584351077725415,-114.82522583007812,3.7449612617492676,4.598702651150447,-114.82522583007812,3.7449612617492676
22,22,-117.24945068359375,8.560468673706055,-117.24945068359375,8.560468673706055,0.0,-117.55745697021484,4.316703796386719,4.254927520718457,-118.05901336669922,3.858147144317627,4.771500760099158,-118.05901336669922,3.858147144317627
23,23,-120.81004333496094,8.859625816345215,-120.81004333496094,8.859625816345215,0.0,-119.14064025878906,4.784757614135742,4.4035732645330175,-120.4798355102539,4.153512001037598,4.717684225351138,-120.4798355102539,4.153512001037598
24,24,-124.06947326660156,9.133479118347168,-124.06947326660156,9.133479118347168,0.0,-120.57709503173828,5.42210054397583,5.096178632823754,-122.59295654296875,4.6553802490234375,4.71523818259543,-122.59295654296875,4.6553802490234375
25,25,-127.31895446777344,9.40649700164795,-127.31895446777344,9.40649700164795,0.0,-127.98928833007812,6.5368242263793945,2.9469254018501805,-126.26702880859375,5.495333194732666,4.050154307796762,-126.26702880859375,5.495333194732666
26,26,-130.83126831054688,9.741641998291016,-130.83126831054688,9.741641998291016,0.0,-132.18711853027344,6.369978904724121,3.634066845127322,-130.34739685058594,6.014712810516357,3.7582087169889067,-130.34739685058594,6.014712810516357
27,27,-134.03652954101562,10.047489166259766,-134.03652954101562,10.047489166259766,0.0,-129.80267333984375,5.650232791900635,6.10421182086955,-132.3539276123047,6.059891223907471,4.328058063422211,-132.3539276123047,6.059891223907471
28,28,-137.2352752685547,10.352712631225586,-137.2352752685547,10.352712631225586,0.0,-139.03201293945312,6.770140647888184,4.0078782758237095,-136.91458129882812,6.500431537628174,3.865606581936017,-136.91458129882812,6.500431537628174
29,29,-140.4192352294922,10.665609359741211,-140.4192352294922,10.665609359741211,0.0,-143.71127319335938,7.117038249969482,4.840441186157453,-141.70828247070312,6.931768417358398,3.950089995568164,-141.70828247070312,6.931768417358398
30,30,-143.60858154296875,10.979033470153809,-143.60858154296875,10.979033470153809,0.0,-143.79652404785156,7.19068717956543,3.7930054050259874,-144.78302001953125,7.236573696136475,3.9224113623341856,-144.78302001953125,7.236573696136475
31,31,-147.09031677246094,11.321191787719727,-147.09031677246094,11.321191787719727,0.0,-148.689208984375,7.425718307495117,4.2108395766702715,-148.49517822265625,7.507931232452393,4.063814926470275,-148.49517822265625,7.507931232452393
32,32,-150.38534545898438,11.621426582336426,-150.38534545898438,11.621426582336426,0.0,-153.36917114257812,7.573197364807129,5.029053142265607,-152.6196746826172,7.721909999847412,4.494269312879059,-152.6196746826172,7.721909999847412
33,33,-153.68882751464844,11.922432899475098,-153.68882751464844,11.922432899475098,0.0,-157.9677734375,7.437360763549805,6.198810391933398,-157.02459716796875,7.781269073486328,5.317574354317076,-157.02459716796875,7.781269073486328
34,34,-156.9862060546875,12.222880363464355,-156.9862060546875,12.222880363464355,0.0,-157.99325561523438,7.426774501800537,4.900691813783406,-159.72119140625,7.778417110443115,5.2185628750373025,-159.72119140625,7.778417110443115
35,35,-161.97410583496094,12.701958656311035,-161.97410583496094,12.701958656311035,0.0,-161.8661651611328,12.129648208618164,0.5824005817346719,-162.75558471679688,9.534186363220215,3.2627427945870053,-162.75558471679688,9.534186363220215
36,36,-166.95358276367188,13.180227279663086,-166.95358276367188,13.180227279663086,0.0,-167.194091796875,11.910478591918945,1.292325936085889,-166.6023712158203,10.808347702026367,2.397741079048034,-166.6023712158203,10.808347702026367
37,37,-170.4643096923828,13.542064666748047,-170.4643096923828,13.542064666748047,0.0,-172.6991729736328,11.863723754882812,2.7948957229778975,-171.16835021972656,11.664566993713379,2.005160985156319,-171.16835021972656,11.664566993713379
38,38,-173.6732940673828,13.872800827026367,-173.6732940673828,13.872800827026367,0.0,-177.55889892578125,12.10842227935791,4.267429762173268,-176.03807067871094,12.29803466796875,2.841136546735762,-176.03807067871094,12.29803466796875
39,39,-176.89031982421875,14.204366683959961,-176.89031982421875,14.204366683959961,0.0,-181.65118408203125,12.067343711853027,5.218495536515224,-180.74050903320312,12.640473365783691,4.1556851728224204,-180.74050903320312,12.640473365783691
