sequence_index,frame_id,image_path,gt_x,gt_y,predicted_current_x,predicted_current_y,candidate_capture,candidate_nearest_gt_m,raw_hardms_x,raw_hardms_y,hardms_x,hardms_y,hardms_support,model_next_step_dx,model_next_step_dy,model_next_step_m,model_velocity_x,model_velocity_y,model_acceleration_x,model_acceleration_y,correction_gate,measurement_x,measurement_y,measurement_variance_x,measurement_variance_y,kf_predict_x,kf_predict_y,final_x,final_y,final_vx,final_vy,final_speed,error_predicted_current_m,error_raw_hardms_m,error_hardms_m,error_measurement_m,error_final_m,state_norm,state_00,state_01,state_02,state_03,state_04,state_05,state_06,state_07,state_08,state_09,state_10,state_11,state_12,state_13,state_14,state_15
0,0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,-18.780746459960938,-2.1595981121063232,-18.780745674413577,-2.1595981213156596,1.0,1.8624907732009888,-13.640005111694336,-0.3726810812950134,-18.37133026123047,-0.3426637351512909,0.9022207260131836,-0.29202520847320557,-1.3343449831008911,1.3659265041351318,-0.34244298934936523,-1.2448471784591675,0.10083556920289993,-0.17899567633867264,0.5008894205093384,-19.262739181518555,-2.4129092693328857,0.3617449402809143,0.37675899267196655,-18.780745674413577,-2.1595981213156596,-19.25002316957384,-2.405956626468645,-0.31636685066984094,-0.1660843854963948,0.35731219865611713,7.856013413017934e-07,5.442452907562256,1.8624907732009888,0.5445029735565186,0.5300124034246018,2.860999345779419,-0.03424429893493652,-0.12448471784591675,0.016805928200483322,-0.029832612723112106,-0.3954784572124481,-0.9184752702713013,0.5008894205093384,0.014469797722995281,0.015070359222590923,0.9916337132453918,-0.9999997615814209,0.9999886751174927,0.9665218591690063,0.9999998807907104,-0.9993381500244141,0.9999966621398926
1,1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,-25.919267654418945,-1.4582853317260742,-19.542048374321755,-3.740301643097149,1.0,2.246838331222534,-8.908679962158203,-0.4026999771595001,-18.37133026123047,-0.3426637351512909,0.8878189921379089,-0.2057519257068634,-2.4953720569610596,2.503840208053589,-0.29931260272860527,-2.4076496064662933,0.18712133914232254,-0.17544511333107948,0.4458000063896179,-19.8024959564209,-1.7484383583068848,12.269393920898438,9.63362979888916,-19.56639002024368,-2.57204101196504,-19.63347472264848,-2.2940044460920355,-0.37050721461157554,0.05739112547226688,0.37492577580396036,6.773221109029807,17.04330825805664,7.629939079284668,6.123649597167969,6.341105520271065,2.93153715133667,-0.029931260272860527,-0.24076496064662933,0.031186889857053757,-0.02924085222184658,-0.7134069800376892,-0.7007499933242798,0.4458000063896179,0.4907757341861725,0.3853451907634735,-0.9991710782051086,-0.9998746514320374,0.9832563400268555,0.9955905675888062,0.9995600581169128,0.9962578415870667,0.9986960887908936
2,2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,-28.881437301635742,-1.16508948802948,-19.839226655805923,-4.7893766092238685,1.0,1.3696327209472656,-13.640005111694336,-0.3726810812950134,-18.37133026123047,-0.3426637351512909,0.7484414577484131,-0.056016892194747925,-2.655292510986328,2.655883312225342,-0.18003994598984718,-2.5666245818138123,0.24804610759019852,-0.17733562365174294,0.40386512875556946,-19.75687026977539,-1.5187580585479736,25.0,25.0,-20.003981937260054,-2.2366133206197687,-19.92006887653124,-2.0030295865093417,-0.33000196115196423,0.17056256408485537,0.3714739326404249,9.741510688820991,15.262017250061035,10.542235374450684,9.131418228149414,9.000459302674525,3.124516010284424,-0.01800399459898472,-0.2566624581813812,0.04134101793169975,-0.02955593727529049,-0.7623775601387024,-0.6471326351165771,0.40386512875556946,1.0,1.0,-0.9999579191207886,-0.9989464282989502,-0.738740861415863,0.99992436170578,0.995745837688446,0.9991040825843811,0.9987971186637878
3,3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,-31.84273910522461,-0.8719794154167175,-19.976085768725987,-4.658321980149026,1.0,0.9516851902008057,-13.640005111694336,-0.3726810812950134,-18.37133026123047,-0.3426637351512909,0.6173651218414307,0.3437947630882263,-2.1762540340423584,2.203242301940918,0.21674493327736855,-2.086755484342575,0.25409967452287674,-0.1789969950914383,0.3566783368587494,-19.596899032592773,-1.3790867328643799,25.0,25.0,-20.250070837683204,-1.8324670224244863,-19.95969555346754,-1.6350908782751827,-0.22737033767938097,0.2406935636953562,0.3311052129773952,12.456076887452868,18.20958137512207,13.481803894042969,12.256335258483887,11.907521285208825,3.167433977127075,0.021674493327736855,-0.2086755484342575,0.04234994575381279,-0.029832832515239716,-0.7635697722434998,-0.6457252502441406,0.3566783368587494,1.0,1.0,-0.9999767541885376,-0.9987863898277283,-0.9343115091323853,0.9998483061790466,0.9962198734283447,0.9993545413017273,0.9986960887908936
4,4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,-34.80412292480469,-0.5788613557815552,-19.615900782928733,-3.811344860163477,1.0,2.2624640464782715,-13.640005111694336,-0.3726810812950134,-13.640005111694336,-0.3726810812950134,0.6236292719841003,0.6216983199119568,-2.178464412689209,2.265439510345459,0.485633946955204,-2.085668593645096,0.27212879061698914,-0.18559160828590393,0.407578706741333,-15.120823860168457,-1.4548609256744385,25.0,25.0,-20.187065891146922,-1.3943973145798265,-17.82809908951617,-1.4222946108175512,0.4647543260329773,0.23246723911023162,0.5196514224226665,15.52839468319479,21.165122985839844,21.165122985839844,19.702783584594727,16.996963402678272,3.1796627044677734,0.0485633946955204,-0.20856685936450958,0.045354798436164856,-0.030931934714317322,-0.8073800206184387,-0.5900319218635559,0.407578706741333,1.0,1.0,-0.9999862313270569,-0.9948253631591797,-0.980426013469696,0.9999731779098511,0.9740586280822754,0.9994890093803406,0.9983298182487488
5,5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,-38.077056884765625,-0.2521708011627197,-17.20640074725247,-3.600759008605599,1.0,5.511753082275391,-13.640005111694336,-0.3726810812950134,-8.908679962158203,-0.4026999771595001,0.7754672169685364,0.7237352728843689,-2.0880939960479736,2.209961414337158,0.5907576903700829,-1.9941480457782745,0.26595523953437805,-0.18789193779230118,0.4165598154067993,-10.431217193603516,-1.4961822032928467,25.0,25.0,-17.36334476348319,-1.1898273717073196,-14.19774848415327,-1.3292357162448634,1.3092649504468952,0.19513732006899084,1.3237270429179946,21.137581001461378,24.437349319458008,29.168764114379883,27.67381477355957,23.903586310904412,3.1788253784179688,0.059075769037008286,-0.19941480457782745,0.044325873255729675,-0.03131532296538353,-0.8122280240058899,-0.5833401083946228,0.4165598154067993,1.0,1.0,-0.9999881386756897,-0.9938977956771851,-0.9845766425132751,0.9999754428863525,0.9655818939208984,0.9995096921920776,0.9983425140380859
6,6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,-41.34334182739258,0.07385636121034622,-13.474013174015997,-3.4173297309192883,0.0,13.514063835144043,-4.1773552894592285,-0.4327203929424286,-8.908679962158203,-0.4026999771595001,0.8453775644302368,0.6900392174720764,-2.00579833984375,2.1211745738983154,0.5670532584190369,-1.9154037535190582,0.2459719330072403,-0.18078923597931862,0.3947160542011261,-10.322755813598633,-1.477574348449707,25.0,25.0,-12.888483533706374,-1.1340983961758726,-11.749276458136087,-1.286442440556427,1.6032850687407365,0.15573446843814087,1.6108309148717934,28.087147593157198,37.169437408447266,32.43816375732422,31.059356689453125,29.62531211497888,3.1817550659179688,0.056705325841903687,-0.19154037535190582,0.04099532216787338,-0.030131539329886436,-0.7961142659187317,-0.6051463484764099,0.3947160542011261,1.0,1.0,-0.9999842047691345,-0.9975125193595886,-0.9803783297538757,0.9999635219573975,0.9862507581710815,0.9993844628334045,0.9988720417022705
7,7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,-44.61831283569336,0.40075016021728516,-11.05923723321343,-3.2922408120651445,0.0,21.527481079101562,-4.1773552894592285,-0.4327203929424286,-4.1773552894592285,-0.4327203929424286,0.8367491960525513,0.7158910036087036,-2.0481653213500977,2.169672966003418,0.5853400379419327,-1.9567285478115082,0.26110202819108963,-0.18287379294633865,0.4034234583377838,-5.650045394897461,-1.4942673444747925,25.0,25.0,-10.14599138939535,-1.130707972118286,-8.187454401598108,-1.289055064268184,2.10889009890882,0.11482096735360499,2.1120135662016164,33.761660765050095,40.44954299926758,40.44954299926758,39.014320373535156,36.47002725447004,3.1803975105285645,0.05853400379419327,-0.19567285478115082,0.04351700469851494,-0.030478965491056442,-0.8112181425094604,-0.5847436785697937,0.4034234583377838,1.0,1.0,-0.9999864101409912,-0.9956140518188477,-0.9839843511581421,0.9999738335609436,0.9757867455482483,0.9994316101074219,0.998611569404602
8,8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,-47.93851089477539,0.7270652055740356,-7.471563349560631,-3.3372205085528615,0.0,24.857608795166016,-4.1773552894592285,-0.4327203929424286,-4.1773552894592285,-0.4327203929424286,0.8412055969238281,0.7078531980514526,-1.9973537921905518,2.119074821472168,0.5751138925552368,-1.90643310546875,0.2654786556959152,-0.18184147775173187,0.37762001156806946,-5.538212776184082,-1.4503910541534424,25.0,25.0,-6.078564302689289,-1.174234096914579,-5.845091967796591,-1.293558172026223,2.16987150903213,0.08364993811800855,2.171483289794448,40.67053309207071,43.776519775390625,43.776519775390625,42.456172943115234,42.14188932399972,3.1794116497039795,0.05751138925552368,-0.190643310546875,0.04424644261598587,-0.03030691295862198,-0.8008388876914978,-0.598879873752594,0.37762001156806946,1.0,1.0,-0.9999796152114868,-0.9969955682754517,-0.9827971458435059,0.9999653100967407,0.9838320016860962,0.9992093443870544,0.9987028241157532
9,9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,-51.25859451293945,1.0533686876296997,-5.137238747393397,-3.290912016370839,0.0,32.9168815612793,-4.1773552894592285,-0.4327203929424286,-4.1773552894592285,-0.4327203929424286,0.8408604264259338,0.6197874546051025,-1.8905694484710693,1.989570140838623,0.48920881003141403,-1.8004168570041656,0.2611572816967964,-0.18030530959367752,0.340116947889328,-5.374013900756836,-1.3869314193725586,25.0,25.0,-3.6752204587644615,-1.2099082339082146,-4.408579610720293,-1.2863283196832949,1.9761225227901265,0.06346318277662552,1.9771413203528354,46.32550304624031,47.10468673706055,47.10468673706055,45.94942855834961,46.908400936550656,3.175996780395508,0.0489208810031414,-0.18004168570041656,0.043526213616132736,-0.030050884932279587,-0.7818609476089478,-0.62345290184021,0.340116947889328,1.0,1.0,-0.9999749064445496,-0.9987490177154541,-0.9754068851470947,0.9999223351478577,0.994502067565918,0.9989678859710693,0.9989926815032959
