Experiment,Frames,GRU,Kalman,MS,MS_grid,B_MLE_m,C_MLE_m,BC_MLE_m,BC_P90_m,BC_LSR5_pct,B_Jump_pct,C_Jump_pct,PureMS_latency_ms,PureMS_FPS
temporal_1frame,1,yes,fixed,yes,6,1.9106644772230974,1.591089473975184,1.7969051806509766,3.4769264081293327,97.7645727221279,0.0,0.0,0.0,0.0
temporal_2frame,2,yes,fixed,yes,6,1.9391014860194862,1.5807516285240601,1.8115394824175493,3.556340122560479,97.79286926994907,0.0,0.0,0.0,0.0
temporal_3frame,3,yes,fixed,yes,6,1.9422658925709488,1.620702987334541,1.8277989613917183,3.4831400505083803,97.96264855687606,0.0,0.0,0.0,0.0
abl_ms_only,3,no,none,no,6,5.270653143304821,4.524776543699596,5.005143023807546,9.362000524354825,54.83870967741935,2.3296703296703294,2.386634844868735,0.0,0.0
abl_ms_gru,3,yes,none,no,6,5.284382875675618,4.531836658994764,5.016498568775643,9.39474178493659,55.20656479909451,2.3736263736263736,2.307080350039777,0.0,0.0
abl_ms_gru_kalman,3,yes,fixed,no,6,4.183474927477001,3.512673527720717,3.9446893697822065,7.671578686220069,69.15676287492926,0.04395604395604395,0.0,0.0,0.0
sens_ms_grid4x4,3,yes,fixed,yes,4,2.0593016050904445,1.7287812773640274,1.9416460951074697,3.8961953471148365,95.38766270514998,0.04395604395604395,0.0,3.330529219075233,300.2525827645084
sens_ms_grid5x5,3,yes,fixed,yes,5,1.941908895147565,1.6200637680889736,1.8273415013049765,3.4820633097126685,97.96264855687606,0.0,0.0,4.582368077106183,218.22777724820202
sens_ms_grid6x6,3,yes,fixed,yes,6,1.9422658925709488,1.620702987334541,1.8277989613917183,3.4831400505083803,97.96264855687606,0.0,0.0,6.17329388297403,161.9880762129281
sens_ms_grid7x7,3,yes,fixed,yes,7,1.9412217831157903,1.6193957191688035,1.826661175179936,3.4806492745991977,97.99094510469723,0.0,0.0,7.7110900426357585,129.68335144199483
sens_ms_grid8x8,3,yes,fixed,yes,8,1.9417027173166388,1.6199984508644278,1.827185465704618,3.481958225239988,97.99094510469723,0.0,0.0,9.43270534424076,106.01412463398539
runtime_e2e,3,yes,fixed,yes,6,1.942181260160673,1.6207166694836066,1.8277493260713267,3.4826789976921577,97.96264855687606,0.0,0.0,0.0,0.0
