Run,Route,Method,MLE_m,MedLE_m,P90_m,P95_m,ATE_RMSE_m,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,RPE_m,JumpRate_pct,JumpThreshold_m,StationaryDriftP90_m,PathLengthRatio,MaxLE_m
strict_train_A_test_BC_no_position_scale,route_B,RawTop1,15.046251881724876,14.7424857610597,24.001905371956973,26.08443795484268,16.415508189635755,6.426056338028169,23.943661971830984,51.49647887323944,75.92429577464789,14.724402340046135,48.78907970057244,13.147056657233255,33.553039679794516,4.702597356034164,33.45992443843069
strict_train_A_test_BC_no_position_scale,route_B,FixedHardMS,10.466197321342031,10.092221407603065,17.253197920819883,19.098942502268144,11.60524253561866,14.612676056338028,49.29577464788733,81.60211267605634,96.0387323943662,11.849256230883103,44.429766622633196,13.147056657233255,23.704921297794968,4.008274774729714,30.119845797461366
strict_train_A_test_BC_no_position_scale,route_B,RTL_CRF,5.29262449655483,4.752563857618981,9.28427717969639,10.812538934283344,6.041606459555727,53.125,92.73767605633803,99.73591549295774,100.0,4.57636379124928,1.9815059445178336,13.147056657233255,7.816905084652899,1.5067203571939225,18.09067962625243
strict_train_A_test_BC_no_position_scale,route_C,RawTop1,14.071702253911292,13.544219580841311,23.374031698301767,25.09399027833897,15.500739366509102,6.698564593301436,30.38277511961722,57.97448165869219,79.02711323763955,12.344562516852067,41.58020750199521,13.084796164778941,28.939326537419134,5.695115720760011,31.40342350227002
strict_train_A_test_BC_no_position_scale,route_C,FixedHardMS,9.528298513456512,9.172710656280186,15.933034859062332,17.74649926928319,10.634248130304327,16.985645933014354,56.14035087719298,85.56618819776715,98.00637958532695,10.988094789327686,40.30327214684757,13.084796164778941,20.131632098409597,5.313947163437366,24.498406956445564
strict_train_A_test_BC_no_position_scale,route_C,RTL_CRF,4.576755329966609,4.223771884200547,8.004994903495813,9.236885684880626,5.203545638356328,63.63636363636363,96.57097288676236,100.0,100.0,4.139238662452105,1.3567438148443736,13.084796164778941,7.11991439005324,1.9701281377717983,14.395626694459729
strict_train_A_test_BC_no_position_scale_w3,route_B,RawTop1,15.040399013764976,14.733518284368643,24.00134278827849,26.083669215222237,16.410327973929643,6.420404573438875,23.966578715919084,51.53913808267371,75.94547053649956,14.72730542219569,48.790145182578094,13.146997960969323,33.553039679794516,4.702284022582494,33.45992443843069
strict_train_A_test_BC_no_position_scale_w3,route_B,FixedHardMS,10.461704721029843,10.082162790853749,17.246377983231763,19.098855806783597,11.601241981824602,14.643799472295516,49.340369393139845,81.61829375549692,96.04221635883906,11.847760032168193,44.434667839859216,13.146997960969323,23.704917866643697,4.0068608500679606,30.119845797461366
strict_train_A_test_BC_no_position_scale_w3,route_B,RTL_CRF,5.7024757424807255,5.265617902907193,9.941502101338422,11.323999019113726,6.4474786090260885,46.437994722955146,90.19349164467899,99.73614775725594,100.0,5.582563632850124,4.047514298284206,13.146997960969323,9.322653329860527,1.7604562478682244,17.52939721852461
strict_train_A_test_BC_no_position_scale_w3,route_C,RawTop1,14.065026192644552,13.540723733721665,23.36683467028842,25.09355807769178,15.49345784080607,6.687898089171974,30.4140127388535,58.04140127388535,79.06050955414013,12.335782865552392,41.51394422310757,13.084770024613332,28.93932590300376,5.681298593092532,31.40342350227002
strict_train_A_test_BC_no_position_scale_w3,route_C,FixedHardMS,9.523460673964411,9.155389448003742,15.929895763463804,17.744971070030402,10.62893891230863,16.958598726114648,56.21019108280255,85.58917197452229,98.00955414012739,10.987660312973961,40.23904382470119,13.084770024613332,20.13162731387176,5.3013862161933965,24.498406956445564
strict_train_A_test_BC_no_position_scale_w3,route_C,RTL_CRF,5.121342530787836,4.7452683792103825,8.973258894267193,10.423680929592507,5.839085492173083,53.66242038216561,93.78980891719745,99.92038216560509,100.0,5.062572847753858,2.2310756972111556,13.084770024613332,8.430148022364854,2.318841283893507,15.46662961963611
strict_train_A_test_BC_no_position_scale_w4,route_B,RawTop1,15.042272890463826,14.739656491128413,24.00162408011773,26.08405358503246,16.412379648156353,6.423229212494501,23.977122745270567,51.51781786185657,75.93488781346238,14.730833937293047,48.811619718309856,13.147027309101288,33.553039679794516,4.701342287697363,33.45992443843069
strict_train_A_test_BC_no_position_scale_w4,route_B,FixedHardMS,10.463666753575236,10.089854878455643,17.24978795202582,19.09889915452587,11.603110738472695,14.650241970963485,49.318081830180375,81.61020677518698,96.04047514298284,11.848312981877944,44.45422535211267,13.147027309101288,23.704921297794968,4.005374475381029,30.119845797461366
strict_train_A_test_BC_no_position_scale_w4,route_B,RTL_CRF,5.1517855942388575,4.698165603542585,9.217802460966977,10.581310207209572,5.902536295895213,53.7615486141663,92.91684997800263,99.8240211174659,100.0,4.443736470797293,2.112676056338028,13.147027309101288,7.756706001783577,1.4827187731458622,16.133436912092062
