Experiment,Display,BC_MLE_m,BC_MedLE_m,BC_P90_m,BC_P95_m,BC_P99_m,BC_LSR3_pct,BC_LSR5_pct,BC_LSR10_pct,BC_LSR15_pct,BC_LSR20_pct,JumpRate_pct,E2E_ms,FPS,N_frames
abl_no_final_ms,w/o Final MeanShift,4.5502898583057085,4.072273500733089,8.69418513004739,10.039439835023382,13.222092410444878,36.44595359366157,60.38483305036786,94.76513865308432,99.97170345217884,100.0,0.056625141562853906,27.296213975211604,36.63511726967432,3534
abl_no_forward,w/o Forward 3x6 Restriction,2.1810933287281613,1.8935787341328187,4.337620219766546,5.166361839449088,6.339181538088231,76.6553480475382,94.199207696661,100.0,100.0,100.0,0.0,62.5869938563534,15.977760527932544,3534
abl_no_gru,w/o Temporal GRU,2.316426855608503,2.2079592381347988,4.230408265719032,4.841804943280813,6.121437277492547,66.69496321448783,95.6140350877193,100.0,100.0,100.0,0.0,35.87543589665373,27.874225776118717,3534
abl_no_kalman,w/o External Kalman Fusion,2.6163082536469995,2.4179314075552223,4.657971819813358,5.376701252824422,7.6126363791739315,62.903225806451616,92.52971137521222,99.63214487832485,99.94340690435767,100.0,1.274065685164213,34.154882461929596,29.278390903983937,3534
bw_11m,11 m,2.02917198923274,1.7119488994662821,4.098527012081155,4.818756509263489,5.88924174909119,78.09847198641766,95.72722127900396,100.0,100.0,100.0,0.0,nan,nan,3534
bw_1m,1 m,19.14750415259131,8.05255029112702,52.090621291232885,76.84930690081441,132.8558010098914,22.891907187323145,36.38936049801924,56.28183361629881,65.67628749292587,72.2693831352575,53.935447338618346,nan,nan,3534
bw_3m,3 m,2.225049362868223,1.8818910109152451,4.383757057113702,5.072537278287966,6.090862577270973,73.65591397849462,94.59535936615733,100.0,100.0,100.0,0.0,nan,nan,3534
bw_5m,5 m,2.0778667933155495,1.7479641694659496,4.164080985651437,4.887346132289074,5.916379076135982,76.51386530843237,95.55744199207696,100.0,100.0,100.0,0.0,nan,nan,3534
bw_9m,9 m,2.034002351665859,1.710894757248155,4.095725714780846,4.817668126411047,5.900743249953812,77.95698924731182,95.72722127900396,100.0,100.0,100.0,0.0,nan,nan,3534
full_model,Full Model,2.044777546596973,1.7184610359234962,4.1107302679023645,4.823449364117118,5.9134508656259435,77.5608375778155,95.72722127900396,100.0,100.0,100.0,0.0,40.406205114816295,24.748674050395202,3534
kalman_learned,Learned-R Kalman,2.1061471284780118,1.7959545584231766,4.233006737502324,5.012028289371687,5.997700235525396,75.91963780418789,94.93491794001132,100.0,100.0,100.0,0.0,35.24858318704889,28.369934606830444,3534
temporal_1f,1 frame,2.061091042493641,1.7405070981838313,4.117819659057902,4.893438818459802,6.006753474908957,77.44765138653085,95.41595925297113,100.0,100.0,100.0,0.0,nan,nan,3534
temporal_2f,2 frames,2.0526173743529794,1.7361818047488335,4.121158923549408,4.882558155216738,5.958189736403702,77.5608375778155,95.50084889643463,100.0,100.0,100.0,0.0,nan,nan,3534
