sequence_index,frame_id,timestamp_ns,dt_seconds,image_path,active_waypoint_from,active_waypoint_to,waypoint_switched_after_frame,gt_x,gt_y,raw_gps_x,raw_gps_y,prediction_x,prediction_y,motion_pred_x,motion_pred_y,visual_correction_x,visual_correction_y,raw_top1_x,raw_top1_y,hardms_x,hardms_y,visual_measurement_x,visual_measurement_y,gated_measurement_x,gated_measurement_y,visual_innovation_m,measurement_var_x,measurement_var_y,hardms_support,recovery_proposal_index,recovery_proposal_score,recovery_center_x,recovery_center_y,final_x,final_y,vx,vy,waypoint_confirmation_count,error_m
0,0,1782720770254553016,0.3333333333333333,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,0,1,0,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,-0.42300331592559814,0.1339506357908249,9.462650299072266,-0.06003624200820923,-27.772829055786133,9.233684539794922,-27.803403854370117,4.475525379180908,-8.908679962158203,-0.4026999771595001,-8.908679962158203,-0.4026999771595001,10.027182455386896,9.000457763671875,9.000457763671875,0.7617838978767395,0,0.0,-18.780746459960938,-2.1595981121063232,-8.908679962158203,-0.4026999771595001,29.616199493408203,5.270694404840469,0,10.027182455386896
1,1,1782720770588513379,0.333960363,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,0,1,0,-25.919267654418945,-1.4582853317260742,-25.919267654418945,-1.4582853317260742,-9.74109947681427,-2.0856837183237076,-0.4528249204158783,0.13995105028152466,9.462649881839752,-0.060042381286621094,-4.1773552894592285,-0.4327203929424286,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,10.42220670185859,9.000457763671875,9.000457763671875,0.793268620967865,0,0.0,-9.74109947681427,-2.0856837183237076,0.5539699196815491,-0.4627423584461212,28.334649647748027,-0.17978894485337799,0,26.491949974783157
2,2,1782720770922635383,0.334122004,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,0,1,0,-28.881437301635742,-1.16508948802948,-25.919267654418945,-1.4582853317260742,-0.7312745153903961,-2.005775049328804,-0.4527416229248047,0.13771432638168335,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,2.0081840411217433,9.000457763671875,9.000457763671875,0.7417193055152893,0,0.0,-0.7312745153903961,-2.005775049328804,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,29.443785248761955
3,3,1782720771256659623,0.33402424,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,0,1,0,-31.84273910522461,-0.8719794154167175,-25.919267654418945,-1.4582853317260742,-1.1840161383152008,-1.8680607229471207,-0.44976139068603516,0.1353229582309723,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,2.235064930465074,9.000457763671875,9.000457763671875,0.7403678894042969,0,0.0,-1.1840161383152008,-1.8680607229471207,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,32.39929367460399
4,4,1782720771590693022,0.334033399,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,0,1,0,-34.80412292480469,-0.5788613557815552,-34.80412292480469,-0.5788613557815552,-1.633777529001236,-1.7327377647161484,-0.44797641038894653,0.1339649111032486,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,2.529649626166637,9.000457763671875,9.000457763671875,0.7391913533210754,0,0.0,-1.633777529001236,-1.7327377647161484,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,35.358283516325436
5,5,1782720771924952558,0.334259536,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,0,1,0,-38.077056884765625,-0.2521708011627197,-34.80412292480469,-0.5788613557815552,-2.0817539393901825,-1.5987728536128998,-0.44634899497032166,0.133019357919693,4.731325209140778,-0.030021965503692627,-4.1773552894592285,-0.4327203929424286,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,2.8701229150036163,9.000457763671875,9.000457763671875,0.7736791372299194,0,0.0,-2.0817539393901825,-1.5987728536128998,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,38.63160069614839
6,6,1782720772258533342,0.333580784,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,0,1,0,-41.34334182739258,0.07385636121034622,-34.80412292480469,-0.5788613557815552,2.2032222747802734,-1.4957754611968994,-0.4467432498931885,0.13294237852096558,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,1.946070585096437,9.000457763671875,9.000457763671875,0.7354552745819092,0,0.0,2.2032222747802734,-1.4957754611968994,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,41.90074784317641
7,7,1782720772593000843,0.334467501,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,0,1,0,-44.61831283569336,0.40075016021728516,-44.61831283569336,0.40075016021728516,1.756479024887085,-1.3628330826759338,-0.4464592933654785,0.13273003697395325,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,1.5020624021480489,9.000457763671875,9.000457763671875,0.730347752571106,0,0.0,1.756479024887085,-1.3628330826759338,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,45.180535063911414
8,8,1782720772926756734,0.333755891,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,0,1,0,-47.93851089477539,0.7270652055740356,-44.61831283569336,0.40075016021728516,1.3100197315216064,-1.2301030457019806,-0.4462442994117737,0.1325887143611908,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,1.0772435854202944,9.000457763671875,9.000457763671875,0.7312371730804443,0,0.0,1.3100197315216064,-1.2301030457019806,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,48.50707512909714
9,9,1782720773260500830,0.333744096,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,0,1,0,-51.25859451293945,1.0533686876296997,-44.61831283569336,0.40075016021728516,0.8637754321098328,-1.0975143313407898,-0.44626426696777344,0.1325591802597046,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.706339092153012,9.000457763671875,9.000457763671875,0.7316334843635559,0,0.0,0.8637754321098328,-1.0975143313407898,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,51.834741494373596
10,10,1782720773594950104,0.334449274,/yh/study/new_data/model_dataset_flight/vi/vi_000010.jpg,0,1,0,-54.585689544677734,1.3803616762161255,-54.585689544677734,1.3803616762161255,0.4175111651420593,-0.9649551510810852,-0.4463551640510559,0.13256502151489258,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5204216374985556,9.000457763671875,9.000457763671875,0.732640266418457,0,0.0,0.4175111651420593,-0.9649551510810852,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,55.17045475911989
11,11,1782720773928610181,0.333660077,/yh/study/new_data/model_dataset_flight/vi/vi_000011.jpg,0,1,0,-57.930152893066406,1.7030118703842163,-54.585689544677734,1.3803616762161255,-0.028843998908996582,-0.8323901295661926,-0.44629979133605957,0.13252925872802734,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.6901532716700718,9.000457763671875,9.000457763671875,0.7332586050033569,0,0.0,-0.028843998908996582,-0.8323901295661926,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,58.52420962777953
12,12,1782720774262978891,0.33436871,/yh/study/new_data/model_dataset_flight/vi/vi_000012.jpg,0,1,0,-61.281715393066406,2.0263473987579346,-54.585689544677734,1.3803616762161255,-0.47514379024505615,-0.6998608708381653,-0.44611531496047974,0.13245335221290588,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,1.056077751341215,9.000457763671875,9.000457763671875,0.73201584815979,0,0.0,-0.47514379024505615,-0.6998608708381653,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,61.885762061370876
13,13,1782720774596477240,0.333498349,/yh/study/new_data/model_dataset_flight/vi/vi_000013.jpg,0,1,0,-64.62455749511719,2.3488411903381348,-64.62455749511719,2.3488411903381348,-0.9212591052055359,-0.5674075186252594,-0.4461703598499298,0.13247139751911163,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,1.4789372777858512,9.000457763671875,9.000457763671875,0.7315876483917236,0,0.0,-0.9212591052055359,-0.5674075186252594,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,65.23914038377164
14,14,1782720774930314199,0.333836959,/yh/study/new_data/model_dataset_flight/vi/vi_000014.jpg,0,1,0,-67.96265411376953,2.678952693939209,-64.62455749511719,2.3488411903381348,-1.3674294650554657,-0.43493612110614777,-0.44618234038352966,0.13246743381023407,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,1.9216005782947676,9.000457763671875,9.000457763671875,0.7318876385688782,0,0.0,-1.3674294650554657,-0.43493612110614777,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,68.5886143375376
15,15,1782720775264162792,0.333848593,/yh/study/new_data/model_dataset_flight/vi/vi_000015.jpg,0,1,0,-71.30087280273438,3.009075880050659,-64.62455749511719,2.3488411903381348,-1.8136118054389954,-0.3024686872959137,-0.4454658329486847,0.1322190761566162,4.731325209140778,-0.030021965503692627,-4.1773552894592285,-0.4327203929424286,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,2.373000395024986,9.000457763671875,9.000457763671875,0.7701600790023804,0,0.0,-1.8136118054389954,-0.3024686872959137,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,71.93866793696063
16,16,1782720775598401676,0.334238884,/yh/study/new_data/model_dataset_flight/vi/vi_000016.jpg,0,1,0,-74.64299774169922,3.3395848274230957,-74.64299774169922,3.3395848274230957,2.4722475707530975,-0.2002715766429901,-0.44620269536972046,0.13247458636760712,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,1.9361508355241654,9.000457763671875,9.000457763671875,0.735366702079773,0,0.0,2.4722475707530975,-0.2002715766429901,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,75.29303843978634
17,17,1782720775932325596,0.33392392,/yh/study/new_data/model_dataset_flight/vi/vi_000017.jpg,0,1,0,-77.97047424316406,3.6625680923461914,-74.64299774169922,3.3395848274230957,2.026044875383377,-0.067796990275383,-0.44600874185562134,0.13240687549114227,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,1.5241346787748313,9.000457763671875,9.000457763671875,0.7355560064315796,0,0.0,2.026044875383377,-0.067796990275383,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,78.63273184494658
18,18,1782720776265759767,0.333434171,/yh/study/new_data/model_dataset_flight/vi/vi_000018.jpg,0,1,0,-81.29307556152344,3.9850776195526123,-74.64299774169922,3.3395848274230957,1.5800361335277557,0.06460988521575928,-0.44612234830856323,0.13243886828422546,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,1.153651708312309,9.000457763671875,9.000457763671875,0.7381253242492676,0,0.0,1.5800361335277557,0.06460988521575928,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,81.96781049021087
19,19,1782720776599687157,0.33392739,/yh/study/new_data/model_dataset_flight/vi/vi_000019.jpg,0,1,0,-84.62059020996094,4.3080644607543945,-84.62059020996094,4.3080644607543945,1.1339137852191925,0.19704875349998474,-0.4462648034095764,0.1325017213821411,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.8784413461226783,9.000457763671875,9.000457763671875,0.7403799295425415,0,0.0,1.1339137852191925,0.19704875349998474,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,85.3080669748425
20,20,1782720776933383829,0.333696672,/yh/study/new_data/model_dataset_flight/vi/vi_000020.jpg,0,1,0,-87.91920471191406,4.623467922210693,-84.62059020996094,4.3080644607543945,0.6876489818096161,0.32955047488212585,-0.44637930393218994,0.13254539668560028,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.803491148298935,9.000457763671875,9.000457763671875,0.7432509660720825,0,0.0,0.6876489818096161,0.32955047488212585,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,88.61925391477787
21,21,1782720777267388381,0.334004552,/yh/study/new_data/model_dataset_flight/vi/vi_000021.jpg,0,1,0,-91.22086334228516,4.939162731170654,-84.62059020996094,4.3080644607543945,0.24126967787742615,0.46209587156772614,-0.4465365409851074,0.13260281085968018,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.976272089593625,9.000457763671875,9.000457763671875,0.7436376214027405,0,0.0,0.24126967787742615,0.46209587156772614,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,91.93367499920265
22,22,1782720777600781649,0.333393268,/yh/study/new_data/model_dataset_flight/vi/vi_000022.jpg,0,1,0,-94.5164794921875,5.254280090332031,-94.5164794921875,5.254280090332031,-0.20526686310768127,0.5946986824274063,-0.44660916924476624,0.132620707154274,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,1.3017764966628604,9.000457763671875,9.000457763671875,0.7456443309783936,0,0.0,-0.20526686310768127,0.5946986824274063,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,95.24218969057036
23,23,1782720777935310192,0.334528543,/yh/study/new_data/model_dataset_flight/vi/vi_000023.jpg,0,1,0,-97.71556854248047,5.570963382720947,-94.5164794921875,5.254280090332031,-0.6518760323524475,0.7273193895816803,-0.44659557938575745,0.13261166214942932,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,1.6941993460498568,9.000457763671875,9.000457763671875,0.74803626537323,0,0.0,-0.6518760323524475,0.7273193895816803,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,98.45459763026476
24,24,1782720778302036009,0.366725817,/yh/study/new_data/model_dataset_flight/vi/vi_000024.jpg,0,1,0,-101.2225570678711,5.918126583099365,-94.5164794921875,5.254280090332031,-1.098471611738205,0.8599310517311096,-0.44666799902915955,0.1326296627521515,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,2.1166076548927832,9.000457763671875,9.000457763671875,0.7485835552215576,0,0.0,-1.098471611738205,0.8599310517311096,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,101.97635477941546
25,25,1782720778635593961,0.333557952,/yh/study/new_data/model_dataset_flight/vi/vi_000025.jpg,0,1,0,-104.41236877441406,6.233891487121582,-104.41236877441406,6.233891487121582,-1.5451396107673645,0.9925607144832611,-0.44662633538246155,0.1326078325510025,0.0,0.0,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,2.554245065552474,9.000457763671875,9.000457763671875,0.7480777502059937,0,0.0,-1.5451396107673645,0.9925607144832611,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,105.17973741983384
26,26,1782720778969481734,0.333887773,/yh/study/new_data/model_dataset_flight/vi/vi_000026.jpg,0,1,0,-107.75296020507812,6.5345540046691895,-104.41236877441406,6.233891487121582,-1.991765946149826,1.1251685470342636,-0.4457835853099823,0.13235053420066833,4.731325209140778,-0.030021965503692627,-4.1773552894592285,-0.4327203929424286,-4.1773552894592285,-0.4327203929424286,0.5539699196815491,-0.4627423584461212,0.5539699196815491,-0.4627423584461212,3.0003720006565446,9.000457763671875,9.000457763671875,0.7742193937301636,0,0.0,-1.991765946149826,1.1251685470342636,0.5539699196815491,-0.4627423584461212,0.0,0.0,0,108.53272902421114
