frame_index,frame_id,reference_x,reference_y,search_center_x,search_center_y,jitter_m,visual_x,visual_y,visual_error_m,final_x,final_y,final_error_m
0,0,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,0.0,-29.69103240966797,0.6151264905929565,7.944988090764576,-29.69103240966797,0.6151264905929565,7.944988090764576
1,1,-47.69226837158203,1.7922438383102417,-47.69226837158203,1.7922438383102417,0.0,-39.5966911315918,-1.8984417915344238,8.897164226144746,-39.5966911315918,-1.8984417915344238,8.897164226144746
2,2,-50.9120979309082,2.1374623775482178,-50.9120979309082,2.1374623775482178,0.0,-51.9869384765625,0.570592999458313,1.900095220397723,-51.9869384765625,0.570592999458313,1.900095220397723
3,3,-54.1414794921875,2.4837052822113037,-54.1414794921875,2.4837052822113037,0.0,-54.185997009277344,4.601127624511719,2.117890267459771,-54.185997009277344,4.601127624511719,2.117890267459771
4,4,-57.659645080566406,2.8609108924865723,-57.659645080566406,2.8609108924865723,0.0,-53.45266342163086,4.556041240692139,4.535654481552537,-53.45266342163086,4.556041240692139,4.535654481552537
5,5,-60.85377502441406,3.1642963886260986,-60.85377502441406,3.1642963886260986,0.0,-73.4153060913086,9.627350807189941,14.126681675534211,-73.4153060913086,9.627350807189941,14.126681675534211
6,6,-64.02477264404297,3.465484857559204,-64.02477264404297,3.465484857559204,0.0,-76.6735610961914,7.9935503005981445,13.434851170133859,-76.6735610961914,7.9935503005981445,13.434851170133859
7,7,-67.50447845458984,3.795994520187378,-67.50447845458984,3.795994520187378,0.0,-75.13109588623047,6.675940990447998,8.15226257674342,-75.13109588623047,6.675940990447998,8.15226257674342
8,8,-70.70535278320312,4.076558589935303,-70.70535278320312,4.076558589935303,0.0,-77.14640045166016,6.686550617218018,6.949759236823611,-77.14640045166016,6.686550617218018,6.949759236823611
9,9,-73.90149688720703,4.35670804977417,-73.90149688720703,4.35670804977417,0.0,-77.87831115722656,5.52518892288208,4.144924521514234,-77.87831115722656,5.52518892288208,4.144924521514234
10,10,-77.41057586669922,4.6642866134643555,-77.41057586669922,4.6642866134643555,0.0,-77.76382446289062,5.47208309173584,0.8816573716694098,-77.76382446289062,5.47208309173584,0.8816573716694098
11,11,-80.71418762207031,4.9646830558776855,-80.71418762207031,4.9646830558776855,0.0,-81.38468933105469,4.772594451904297,0.6974744249988044,-81.38468933105469,4.772594451904297,0.6974744249988044
