sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,search_heading_deg,forward_local_candidate_count,forward_recovery_candidate_count,endpoint_distance_m,transition_probability,current_leg_visual_top1,next_leg_visual_top1,next_visual_stronger,within_transition_zone,transition_selected,waypoint_switched_after_frame,mission_complete,gt_x,gt_y,hold_x,hold_y,local_x,local_y,recovery_x,recovery_y,fusion_hold,fusion_local,fusion_recovery,visual_x,visual_y,measurement_var_x,measurement_var_y,final_x,final_y,error_visual_m,error_final_m
0,0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,0,1,173.92622867160193,18,18,726.6590576171875,0.033097200095653534,2.4339895248413086,2.2495858669281006,0,0,0,0,0,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-44.03825378417969,-2.2587451934814453,-37.644474029541016,12.145524024963379,0.318235844373703,0.3770226240158081,0.3047415018081665,-40.051414489746094,3.1153411865234375,14.465507182519474,14.465507182519474,-38.57315010279823,1.7214224769726236,3.3240418434143066,1.29222598562608
1,1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,0,1,173.92622867160193,18,18,716.8634033203125,0.021897263824939728,2.4174160957336426,2.2389891147613525,0,0,0,0,0,-47.69226837158203,1.7922438383102417,-40.051414489746094,3.1153411865234375,-48.191715240478516,-0.1711539626121521,-88.62757873535156,23.464088439941406,0.41359445452690125,0.46341896057128906,0.12298662215471268,-49.79800033569336,4.094940662384033,13.555291113330297,13.555291113330297,-41.94631259349203,2.434684778731139,3.1203396320343018,5.781759089212793
2,2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,0,1,173.92622867160193,18,18,710.8353881835938,0.144802063703537,2.4125735759735107,2.2338881492614746,0,0,0,0,0,-50.9120979309082,2.1374623775482178,-49.79800033569336,4.094940662384033,-58.057342529296875,-1.9816759824752808,-83.62586212158203,27.056493759155273,0.469736248254776,0.45968741178512573,0.0705762505531311,-55.982154846191406,2.9221363067626953,12.921631257114178,12.921631257114178,-45.43462314089833,2.555830505219678,5.130418300628662,5.493428980649974
3,3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,0,1,173.92622867160193,18,18,701.7605590820312,0.1702885776758194,2.533477544784546,2.329249382019043,0,0,0,0,0,-54.1414794921875,2.4837052822113037,-55.982154846191406,2.9221363067626953,-63.31035614013672,1.3056031465530396,-84.59024810791016,25.990432739257812,0.3850412964820862,0.41701844334602356,0.19794026017189026,-64.70084381103516,6.814157009124756,14.137538336321205,14.137538336321205,-49.17984911229114,3.383621035088158,11.412843704223633,5.042581123689181
4,4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,0,1,173.92622867160193,18,18,696.2915649414062,0.2177422195672989,2.532068967819214,2.3151915073394775,0,0,0,0,0,-57.659645080566406,2.8609108924865723,-64.70084381103516,6.814157009124756,-72.07975769042969,0.8978981971740723,-83.36370086669922,26.859216690063477,0.43894267082214355,0.43929925560951233,0.12175809592008591,-70.21475219726562,6.655797481536865,13.554080723952017,13.554080723952017,-52.937866736923915,3.9682159204074225,13.116092681884766,4.84987784911641
5,5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,0,1,173.92622867160193,18,18,691.016845703125,0.15400005877017975,2.465252637863159,2.2669060230255127,0,0,0,0,0,-60.85377502441406,3.1642963886260986,-70.21475219726562,6.655797481536865,-77.04753112792969,1.7944363355636597,-83.82994079589844,26.813570022583008,0.40550822019577026,0.43010222911834717,0.16438955068588257,-75.39173889160156,7.8786420822143555,13.922733901097313,13.922733901097313,-56.4957973258615,4.587842894366847,15.28324031829834,4.5845887792787
6,6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,0,1,173.92622867160193,18,18,685.1417236328125,0.11941726505756378,2.5059666633605957,2.2933595180511475,0,0,0,0,0,-64.02477264404297,3.465484857559204,-75.39173889160156,7.8786420822143555,-83.38475036621094,9.5175199508667,-84.1077880859375,26.18311309814453,0.348746657371521,0.400638610124588,0.2506147027015686,-80.77841186523438,13.12260913848877,14.357721355778457,14.357721355778457,-59.98109965259787,5.81284445260339,19.337642669677734,4.675616358319892
7,7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,0,1,173.92622867160193,18,18,681.2741088867188,0.12891638278961182,2.515265703201294,2.3001444339752197,0,0,0,0,0,-67.50447845458984,3.795994520187378,-80.77841186523438,13.12260913848877,-87.59525299072266,15.155794143676758,-83.96231842041016,26.358661651611328,0.36207327246665955,0.412767231464386,0.22515946626663208,-84.30906677246094,16.942062377929688,14.263756236028529,14.263756236028529,-63.30948788164425,7.335468918455453,21.33572769165039,5.4886997479455495
8,8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,0,1,173.92622867160193,18,18,677.3634643554688,0.13317611813545227,2.5785272121429443,2.3541624546051025,0,0,0,0,0,-70.70535278320312,4.076558589935303,-84.30906677246094,16.942062377929688,-91.36416625976562,18.96487808227539,-87.73919677734375,23.348291397094727,0.346264123916626,0.4056321680545807,0.24810367822647095,-88.02186584472656,19.35198974609375,14.345249894329424,14.345249894329424,-66.53242905683113,8.902640633607374,23.09113311767578,6.379996890153811
9,9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,0,1,173.92622867160193,18,18,673.8731689453125,0.04291573166847229,2.5230417251586914,2.314175605773926,0,0,0,0,0,-73.90149688720703,4.35670804977417,-88.02186584472656,19.35198974609375,-94.91045379638672,19.21261978149414,-90.7099838256836,21.85211181640625,0.4482356905937195,0.47854748368263245,0.0732167586684227,-91.51519775390625,19.468345642089844,12.95712948053359,12.95712948053359,-69.97508848603299,10.358609121914913,23.207843780517578,7.172133532818133
10,10,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000010.jpg,0,1,173.92622867160193,18,18,672.3643798828125,0.046759456396102905,2.4623677730560303,2.295541763305664,0,0,0,0,0,-77.41057586669922,4.6642866134643555,-91.51519775390625,19.468345642089844,-94.630126953125,19.212154388427734,-94.29755401611328,20.012243270874023,0.5087788105010986,0.47374075651168823,0.017480434849858284,-93.03950500488281,19.35648536682129,11.885577869075043,11.885577869075043,-73.27653323103094,11.646566752259055,21.450504302978516,8.114341898769737
11,11,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000011.jpg,0,1,173.92622867160193,18,18,669.2955932617188,0.04070938378572464,2.520230770111084,2.3558244705200195,0,0,0,0,0,-80.71418762207031,4.9646830558776855,-93.03950500488281,19.35648536682129,-99.61661529541016,17.609317779541016,-94.3348159790039,22.971078872680664,0.5069848895072937,0.47517818212509155,0.01783696375787258,-96.18791198730469,18.590744018554688,11.895836501210269,11.895836501210269,-76.4338172620252,12.603503487690789,20.61808967590332,8.756320460595195
12,12,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000012.jpg,0,1,173.92622867160193,18,18,667.7261352539062,0.0387369766831398,2.3143463134765625,2.3143460750579834,0,0,0,0,0,-84.01985931396484,5.2652668952941895,-96.18791198730469,18.590744018554688,-99.56952667236328,17.613550186157227,-99.33750915527344,20.11640167236328,0.5216287970542908,0.4666427671909332,0.011728384532034397,-97.8028564453125,18.15263557434082,11.71783447754557,11.71783447754557,-79.33295516103638,13.356354329557757,18.869426727294922,9.350548989638837
