sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,search_heading_deg,forward_local_candidate_count,forward_recovery_candidate_count,endpoint_distance_m,transition_probability,current_leg_visual_top1,next_leg_visual_top1,next_visual_stronger,within_transition_zone,transition_selected,waypoint_switched_after_frame,mission_complete,gt_x,gt_y,hold_x,hold_y,local_x,local_y,recovery_x,recovery_y,fusion_hold,fusion_local,fusion_recovery,visual_x,visual_y,measurement_var_x,measurement_var_y,final_x,final_y,error_visual_m,error_final_m
0,0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,0,1,173.90999868913076,18,18,726.5094604492188,0.051443785429000854,2.6385722160339355,1.8004393577575684,0,0,0,0,0,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,-26.271865844726562,-0.20619165897369385,-24.516422271728516,9.943782806396484,0.3099648952484131,0.36508408188819885,0.32495102286338806,-23.37944793701172,2.486565589904785,14.480903026109786,14.480903026109786,-20.567335997624248,-0.35456956182792876,6.537193298339844,2.539690973998239
1,1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,0,1,173.90999868913076,18,18,722.7241821289062,0.07946257293224335,2.657909393310547,1.822413682937622,0,0,0,0,0,-25.919267654418945,-1.4582853317260742,-23.37944793701172,2.486565589904785,-29.94012451171875,5.0569562911987305,-26.631202697753906,13.316811561584473,0.35693126916885376,0.41108402609825134,0.2319846898317337,-26.830795288085938,6.055663108825684,14.290049663069576,14.290049663069576,-22.381314279988935,1.5019161771594678,7.56903600692749,4.613014963432152
2,2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,0,1,173.90999868913076,18,18,718.72802734375,0.11002597957849503,2.7835118770599365,1.917616367340088,0,0,0,0,0,-28.881437301635742,-1.16508948802948,-26.830795288085938,6.055663108825684,-35.04358673095703,3.1636924743652344,-29.233688354492188,14.701675415039062,0.33279529213905334,0.39506006240844727,0.2721446752548218,-30.72927474975586,7.266127586364746,14.409821281629343,14.409821281629343,-24.313122037107917,2.8358166375538847,8.63133430480957,6.072623336075474
3,3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,0,1,173.90999868913076,18,18,714.4361572265625,0.09610094875097275,2.432598352432251,1.954344391822815,0,0,0,0,0,-31.84273910522461,-0.8719794154167175,-30.72927474975586,7.266127586364746,-39.34141159057617,6.98935079574585,-33.38248062133789,13.980254173278809,0.3341982960700989,0.400534451007843,0.2652672231197357,-34.882537841796875,8.93630599975586,14.390411838937828,14.390411838937828,-26.397279708471935,4.0387574564463815,10.268536567687988,7.332691502194661
4,4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,0,1,173.90999868913076,18,18,710.3644409179688,0.05704328045248985,2.3407535552978516,1.9594541788101196,0,0,0,0,0,-34.80412292480469,-0.5788613557815552,-34.882537841796875,8.93630599975586,-43.44105529785156,5.7918877601623535,-37.3155517578125,9.942298889160156,0.37977051734924316,0.4399046301841736,0.18032488226890564,-39.086204528808594,7.734467506408691,14.018687934271563,14.018687934271563,-28.657090848175773,4.696938260436572,9.35134506225586,8.100621268865254
5,5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,0,1,173.90999868913076,18,18,703.2198486328125,0.03273862600326538,2.3181228637695312,2.0101983547210693,0,0,0,0,0,-38.077056884765625,-0.2521708011627197,-39.086204528808594,7.734467506408691,-43.215538024902344,5.459240436553955,-88.687255859375,23.476137161254883,0.42432066798210144,0.4713195860385895,0.1043596863746643,-46.20878982543945,8.304903984069824,13.35587137327256,13.35587137327256,-31.60557091651447,5.30303428778767,11.804600715637207,8.528800280084644
6,6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,0,1,173.90999868913076,18,18,700.1685180664062,0.059095852077007294,2.3741297721862793,1.908104419708252,0,0,0,0,0,-41.34334182739258,0.07385636121034622,-46.20878982543945,8.304903984069824,-52.738624572753906,0.8823959827423096,-89.03532409667969,25.61215591430664,0.535332441329956,0.4550759494304657,0.009591581299901009,-49.59113311767578,5.093102931976318,11.639212268893585,11.639212268893585,-34.72639413915313,5.2666073669581515,9.654994010925293,8.411222248674221
7,7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,0,1,173.90999868913076,18,18,688.0084228515625,0.11883976310491562,2.3910531997680664,1.8723740577697754,0,0,0,0,0,-44.61831283569336,0.40075016021728516,-49.59113311767578,5.093102931976318,-58.79650115966797,-0.05882784724235535,-86.75679779052734,24.68438720703125,0.36452460289001465,0.41539400815963745,0.22008131444454193,-61.594451904296875,7.264697074890137,14.241338579661539,14.241338579661539,-38.34931672438504,5.536032287563219,18.311283111572266,8.103791382497294
8,8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,0,1,173.90999868913076,18,18,683.789306640625,0.2791685461997986,2.416531801223755,1.9118072986602783,0,0,0,0,0,-47.93851089477539,0.7270652055740356,-61.594451904296875,7.264697074890137,-67.019287109375,5.067277908325195,-83.15235137939453,27.089702606201172,0.47166886925697327,0.44705384969711304,0.0812772810459137,-65.77181243896484,7.893654823303223,13.072553474971713,13.072553474971713,-42.17640479229202,5.8650624812068255,19.21943473815918,7.720160797592631
9,9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,0,1,173.90999868913076,18,18,676.7280883789062,0.1979290097951889,2.4035141468048096,1.8444994688034058,0,0,0,0,0,-51.25859451293945,1.0533686876296997,-65.77181243896484,7.893654823303223,-72.5102310180664,6.094250202178955,-84.11187744140625,26.163795471191406,0.37131884694099426,0.4097013771533966,0.21897973120212555,-72.54865264892578,11.1572265625,14.241995209159423,14.241995209159423,-45.956331665123585,6.523689834728335,23.565959930419922,7.618294084617827
10,10,/yh/study/new_data/model_dataset_flight/vi/vi_000010.jpg,0,1,173.90999868913076,18,18,672.1282958984375,0.14923429489135742,2.4205470085144043,1.815004825592041,0,0,0,0,0,-54.585689544677734,1.3803616762161255,-72.54865264892578,11.1572265625,-77.4535140991211,7.477971076965332,-83.94788360595703,26.374801635742188,0.37271788716316223,0.4145255386829376,0.21275660395622253,-77.00711059570312,12.869720458984375,14.211260762854396,14.211260762854396,-49.74078367385876,7.297140587675757,25.193758010864258,7.647312311144982
11,11,/yh/study/new_data/model_dataset_flight/vi/vi_000011.jpg,0,1,173.90999868913076,18,18,667.42138671875,0.14579354226589203,2.3907253742218018,1.7939404249191284,0,0,0,0,0,-57.930152893066406,1.7030118703842163,-77.00711059570312,12.869720458984375,-83.2996597290039,15.155291557312012,-84.16290283203125,26.16297721862793,0.3454858660697937,0.40078818798065186,0.25372597575187683,-81.3447036743164,17.15859603881836,14.365424694334505,14.365424694334505,-53.487416404348004,8.466212391520894,28.055593490600586,8.091896489531571
12,12,/yh/study/new_data/model_dataset_flight/vi/vi_000012.jpg,0,1,173.90999868913076,18,18,663.662353515625,0.12590715289115906,2.4241859912872314,1.8512753248214722,0,0,0,0,0,-61.281715393066406,2.0263473987579346,-81.3447036743164,17.15859603881836,-87.59526062011719,19.46681022644043,-85.33602142333984,25.570018768310547,0.3502505123615265,0.40960872173309326,0.24014070630073547,-84.86345672607422,20.123985290527344,14.317887622535224,14.317887622535224,-57.16841337171592,9.833887415121378,29.72579574584961,8.824790911175317
13,13,/yh/study/new_data/model_dataset_flight/vi/vi_000013.jpg,0,1,173.90999868913076,18,18,660.1486206054688,0.09922003000974655,2.37581205368042,1.7581106424331665,0,0,0,0,0,-64.62455749511719,2.3488411903381348,-84.86345672607422,20.123985290527344,-91.27940368652344,18.971473693847656,-88.60830688476562,23.572303771972656,0.3675214350223541,0.4265038073062897,0.2059747874736786,-88.37123107910156,20.342702865600586,14.168553988941138,14.168553988941138,-60.82323382845921,11.064796560722684,29.79401969909668,9.50883482016747
14,14,/yh/study/new_data/model_dataset_flight/vi/vi_000014.jpg,0,1,173.90999868913076,18,18,656.7289428710938,0.046291615813970566,2.44093656539917,1.8252547979354858,0,0,0,0,0,-67.96265411376953,2.678952693939209,-88.37123107910156,20.342702865600586,-95.1072998046875,19.181228637695312,-91.05364990234375,22.46645736694336,0.4156750440597534,0.4659412205219269,0.11838378757238388,-91.82740020751953,20.05294418334961,13.50802555387725,13.50802555387725,-64.57493624896931,12.152419907192854,29.519174575805664,10.06097477246009
15,15,/yh/study/new_data/model_dataset_flight/vi/vi_000015.jpg,0,1,173.90999868913076,18,18,653.0641479492188,0.04840819910168648,2.4718284606933594,1.9599616527557373,0,0,0,0,0,-71.30087280273438,3.009075880050659,-91.82740020751953,20.05294418334961,-99.63655090332031,17.601402282714844,-94.22030639648438,19.783126831054688,0.5013811588287354,0.477454274892807,0.021164610981941223,-95.60655975341797,18.876737594604492,11.982602315949157,11.982602315949157,-68.69512432993503,13.045233445753881,29.026695251464844,10.368914301271767
16,16,/yh/study/new_data/model_dataset_flight/vi/vi_000016.jpg,0,1,173.90999868913076,18,18,651.1974487304688,0.0437028668820858,2.3085880279541016,1.9822841882705688,0,0,0,0,0,-74.64299774169922,3.3395848274230957,-95.60655975341797,18.876737594604492,-99.5872573852539,17.610363006591797,-99.19303131103516,22.10799789428711,0.5157800912857056,0.4705142080783844,0.013705720193684101,-97.5286865234375,18.325176239013672,11.779034255046646,11.779034255046646,-72.5005911322354,13.742082724485144,27.355487823486328,10.620822405946472
17,17,/yh/study/new_data/model_dataset_flight/vi/vi_000017.jpg,0,1,173.90999868913076,18,18,646.8402709960938,0.03980265557765961,2.2844440937042236,2.036898136138916,0,0,0,0,0,-77.97047424316406,3.6625680923461914,-97.5286865234375,18.325176239013672,-106.76802062988281,18.387414932250977,-99.83202362060547,20.2296085357666,0.5173786878585815,0.4696846902370453,0.012936620973050594,-101.89805603027344,18.379047393798828,11.756135608378576,11.756135608378576,-76.31835899937636,14.344272565581107,28.090993881225586,10.808713856527174
18,18,/yh/study/new_data/model_dataset_flight/vi/vi_000018.jpg,0,1,173.90999868913076,18,18,641.6473999023438,0.0468190535902977,2.344813823699951,2.047241449356079,0,0,0,0,0,-81.29307556152344,3.9850776195526123,-101.89805603027344,18.379047393798828,-112.88990020751953,20.295969009399414,-110.79095458984375,18.252553939819336,0.531112015247345,0.46000927686691284,0.008878722786903381,-107.03336334228516,19.259727478027344,11.622294400659847,11.622294400659847,-80.2914363199449,14.980101303056973,29.931211471557617,11.040553743861393
19,19,/yh/study/new_data/model_dataset_flight/vi/vi_000019.jpg,0,1,173.90999868913076,18,18,637.7453002929688,0.05576938018202782,2.4328980445861816,2.042375326156616,0,0,0,0,0,-84.62059020996094,4.3080644607543945,-107.03336334228516,19.259727478027344,-115.37911224365234,20.468948364257812,-113.071533203125,21.369474411010742,0.5343716740608215,0.45743104815483093,0.00819725077599287,-110.90045928955078,19.830156326293945,11.596931716057592,11.596931716057592,-84.2115515879413,15.601250653890324,30.521581649780273,11.300591444129802
20,20,/yh/study/new_data/model_dataset_flight/vi/vi_000020.jpg,0,1,173.90999868913076,18,18,633.9986572265625,0.05554097145795822,2.484701633453369,2.0940768718719482,0,0,0,0,0,-87.91920471191406,4.623467922210693,-110.90045928955078,19.830156326293945,-119.21784973144531,17.170879364013672,-112.98050689697266,21.552953720092773,0.5272382497787476,0.46264469623565674,0.010117043741047382,-114.76949310302734,18.617286682128906,11.664589064996644,11.664589064996644,-88.06906052038599,15.981982645073748,30.278125762939453,11.359503222977207
21,21,/yh/study/new_data/model_dataset_flight/vi/vi_000021.jpg,0,1,173.90999868913076,18,18,627.2650756835938,0.057207539677619934,2.480034112930298,2.0568652153015137,0,0,0,0,0,-91.22086334228516,4.939162731170654,-114.76949310302734,18.617286682128906,-119.21234130859375,17.173337936401367,-469.2806091308594,15.898726463317871,0.5174334645271301,0.46919047832489014,0.013375988230109215,-121.5959701538086,17.90343475341797,11.76853122677,11.76853122677,-92.24087258912745,16.221072295230712,33.02604293823242,11.327925771087733
