Variant,Label,AblationProtocol,Frames,MLE_m,MedLE_m,P90_m,LSR@5_pct,LSR@10_pct,LSR@15_pct,MHE_deg,MedHE_deg,HSR@15_pct,JumpRate_pct,MaxFinalStep_m,SelectedCapture_pct,InferenceMean_ms,FPS,DeltaMLE_m_vsFull,DeltaLSR15_pp_vsFull,DeltaMHE_deg_vsFull,DeltaHSR15_pp_vsFull,DeltaLatency_ms_vsFull
no_gru,w/o GRU (inference removal),inference/component or sensitivity ablation using Full checkpoint,1474,4.157999723472594,3.921729777351425,7.052564735224077,68.79240162822252,98.50746268656717,99.93215739484395,37.72534167085608,23.96434777361425,37.04206241519674,0.8819538670284939,24.670323636744648,99.05020352781547,54.92347198585238,18.20715194876223,0.4995891567040118,-0.06784260515604501,0.32166182888359884,-0.33921302578019663,7.370307631196717
no_kalman,w/o Kalman,inference/component or sensitivity ablation using Full checkpoint,1474,3.6576294392411848,3.3500432830029525,6.5347195624079255,76.52645861601086,99.1180461329715,100.0,37.374029710634815,23.672479594589817,37.3134328358209,0.7462686567164178,24.925672435056864,99.05020352781547,50.57686563515517,19.771885573409595,-0.0007811275273974516,0.0,-0.02965013133766803,-0.0678426051560379,3.023701280499509
no_ms,w/o final MeanShift,inference/component or sensitivity ablation using Full checkpoint,1474,6.658384911767318,6.47511385340378,11.4967657047217,34.599728629579374,83.10719131614654,98.16824966078698,38.612648967395145,24.31128266946554,36.702849389416556,7.598371777476255,27.167677074108415,99.05020352781547,44.41838344246948,22.513201123025926,2.999974344998736,-1.8317503392130163,1.2089691254226622,-0.678426051560379,-3.134780912186187
no_heading_feedback,w/o learned heading feedback,inference/component or sensitivity ablation using Full checkpoint,1474,3.6593962567204366,3.38314133630922,6.501972440085692,76.93351424694708,99.18588873812755,100.0,37.39830784903372,23.614649559122235,37.24559023066486,0.7462686567164178,24.656582133427634,99.05020352781547,50.75529312463465,19.702378578415477,0.0009856899518543294,0.0,-0.00537199293876256,-0.1356852103120758,3.2021287699789838
full,SoftMS visual anchor (Full),trained Full baseline,1474,3.6584105667685822,3.36603027111308,6.502063682134365,76.86567164179104,99.18588873812755,100.0,37.40367984197248,23.69805325300426,37.381275440976935,0.7462686567164178,24.65652906844877,99.05020352781547,47.553164354655664,21.029094773628785,0.0,0.0,0.0,0.0,0.0
frames1,1 frame (retrained temporal),retrained temporal-context ablation,1474,3.6406830093161173,3.342086859177507,6.392362007179105,76.93351424694708,99.18588873812755,100.0,37.53717820610277,23.945518295768082,37.58480325644505,0.47489823609226595,24.5748297935125,98.98236092265942,53.500967362157624,18.691250818528587,-0.017727557452464904,0.0,0.13349836413028981,0.20352781546811372,5.94780300750196
frames2,2 frames (retrained temporal),retrained temporal-context ablation,1474,3.6341163280703572,3.356107478738991,6.379333148748826,77.54409769335142,99.18588873812755,100.0,37.467815240527486,24.085571486522717,37.58480325644505,0.5427408412483039,24.622035982659284,99.05020352781547,52.92109576820963,18.89605620374763,-0.024294238698225,0.0,0.06413539855500261,0.20352781546811372,5.367931413553968
full36,Full 6x6 scoring (36 candidates),inference/component or sensitivity ablation using Full checkpoint,1474,3.4475975539509456,3.05388684472011,6.2731964758090495,77.34056987788331,99.32157394843962,100.0,37.462821724775864,23.530478703801386,37.10990502035278,0.5427408412483039,26.051171408161323,100.0,60.09882238941214,16.63926114093334,-0.21081301281763665,0.0,0.05914188280338095,-0.2713704206241587,12.545658034756478
front_top1,Top-1 visual anchor,inference/component or sensitivity ablation using Full checkpoint,1474,4.348475895874922,3.9772053807763728,7.657060342193921,66.21438263229308,97.15061058344641,99.79647218453188,37.81063498389911,24.19395436389579,36.77069199457259,3.0529172320217097,26.045088363748434,98.98236092265942,53.542134638248946,18.676879559554003,0.6900653291063401,-0.20352781546812082,0.4069551419266233,-0.6105834464043483,5.988970283593282
front_weighted,Posterior-weighted visual anchor,inference/component or sensitivity ablation using Full checkpoint,1474,3.8844265305089185,3.5759674948312092,6.875227384400019,73.33785617367707,98.7788331071913,99.86431478968792,37.55967866630697,23.78504453126533,36.90637720488466,1.0854816824966078,25.46869204431303,99.05020352781547,54.17225072084543,18.459635453455526,0.22601596374033628,-0.1356852103120758,0.15599882433448897,-0.47489823609227244,6.619086366189769
