sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,waypoint_branch_selected,waypoint_switched_after_frame,mission_complete,gt_x,gt_y,hold_x,hold_y,local_x,local_y,recovery_x,recovery_y,waypoint_x,waypoint_y,global_top1_x,global_top1_y,polynomial_x,polynomial_y,branch_hold,branch_local,branch_recovery,branch_waypoint,selected_branch,visual_x,visual_y,observed_delta_parallel,observed_delta_cross,observed_acc_parallel,observed_acc_cross,measurement_var_x,measurement_var_y,final_x,final_y,error_visual_m,error_final_m
0,0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,0,1,0,0,0,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,-18.770265579223633,-0.6422736644744873,-13.290980339050293,-1.236649990081787,-746.650146484375,77.47496032714844,-8.908679962158203,-0.4026999771595001,-18.780746459960938,-2.1595981121063232,0.646443247795105,0.3387644290924072,0.0061984555795788765,0.008593786507844925,0,-24.998321533203125,-0.9554991126060486,6.310229778289795,-0.5376775860786438,6.310229778289795,-0.5376775860786438,7.0,7.0,-22.319981501652645,-1.4741879123907822,6.333095550537109,3.604992624432483
1,1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,0,1,0,0,0,-25.919267654418945,-1.4582853317260742,-24.998321533203125,-0.9554991126060486,-26.61102867126465,1.1646919250488281,-13.294320106506348,-0.679215133190155,-746.0020751953125,78.47306823730469,-8.908679962158203,-0.4026999771595001,-34.324684143066406,0.8506491780281067,0.5418382287025452,0.4538077414035797,0.003126082941889763,0.0012279615039005876,0,-26.57895851135254,0.10505889356136322,1.6842317581176758,-0.8868820667266846,-4.625998020172119,-0.34920448064804077,7.0,7.0,-23.925299436496733,-0.8789291882027259,1.6968315839767456,2.0764303010508516
2,2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,0,1,0,0,0,-28.881437301635742,-1.16508948802948,-26.57895851135254,0.10505889356136322,-30.750036239624023,0.6098213195800781,-13.436352729797363,-0.7545868158340454,-745.521240234375,79.13837432861328,-8.908679962158203,-0.4026999771595001,-25.84112548828125,1.0938464403152466,0.6214622855186462,0.3728797733783722,0.0036472491919994354,0.0020107312593609095,0,-29.53193473815918,0.4490540027618408,2.9728057384490967,-0.028770893812179565,1.288573980331421,0.8581111431121826,7.0,7.0,-25.5630287768449,-0.49101791552070057,1.7402890920639038,3.386178911733549
3,3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,0,1,0,0,0,-31.84273910522461,-0.8719794154167175,-29.53193473815918,0.4490540027618408,-31.05377197265625,0.3649323284626007,-13.44590950012207,-0.908638596534729,-745.6123046875,78.90391540527344,-8.908679962158203,-0.4026999771595001,-33.17108154296875,0.4347676634788513,0.7403013706207275,0.2525847852230072,0.003777002217248082,0.003336859866976738,0,-32.24502944946289,0.6844710111618042,2.7227587699890137,0.053745269775390625,-0.250046968460083,0.08251616358757019,7.0,7.0,-27.212719759320333,-0.2008064089139402,1.6075992584228516,4.678413443476949
4,4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,0,1,0,0,0,-34.80412292480469,-0.5788613557815552,-32.24502944946289,0.6844710111618042,-34.48451232910156,-0.19318553805351257,-13.397233963012695,-0.9906219244003296,-745.80126953125,78.67869567871094,-8.908679962158203,-0.4026999771595001,-34.83818435668945,0.8655989766120911,0.7534202337265015,0.23840007185935974,0.004005223046988249,0.004174457862973213,0,-35.6821403503418,0.7941120862960815,3.4293453693389893,0.25562265515327454,0.7065865993499756,0.2018773853778839,7.0,7.0,-29.07881887596241,0.018407704388037904,1.629714846611023,5.7563735790795985
5,5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,0,1,0,0,0,-38.077056884765625,-0.2521708011627197,-35.6821403503418,0.7941120862960815,-37.54841613769531,-0.9394007921218872,-13.304442405700684,-1.0510921478271484,-745.7460327148438,78.82170104980469,-8.908679962158203,-0.4026999771595001,-39.481258392333984,0.8408651947975159,0.7553431987762451,0.2367279827594757,0.0038954366464167833,0.00403337087482214,0,-38.900718688964844,0.6912674307823181,3.1895034313201904,0.44372498989105225,-0.23984193801879883,0.1881023347377777,7.0,7.0,-31.081033764580212,0.1555715716425648,1.252395510673523,7.007895072041941
6,6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,0,1,0,0,0,-41.34334182739258,0.07385636121034622,-38.900718688964844,0.6912674307823181,-37.81114959716797,-0.9430249929428101,-13.185056686401367,-1.2044745683670044,-746.4666748046875,77.8172607421875,-8.908679962158203,-0.4026999771595001,-42.010032653808594,0.4821798801422119,0.7802314162254333,0.2092110961675644,0.004317867569625378,0.006239598151296377,0,-42.976654052734375,0.8224048614501953,4.066845417022705,0.3020208477973938,0.8773419857025146,-0.14170414209365845,7.0,7.0,-33.38005604945368,0.284447961139452,1.7966729402542114,7.966069871842994
7,7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,0,1,0,0,0,-44.61831283569336,0.40075016021728516,-42.976654052734375,0.8224048614501953,-41.510719299316406,-1.3765875101089478,-12.914201736450195,-1.3635529279708862,-747.1287231445312,76.86148071289062,-8.908679962158203,-0.4026999771595001,-47.48126983642578,1.0705333948135376,0.7780255079269409,0.2116696536540985,0.004224459640681744,0.006080376449972391,0,-46.82086944580078,0.8100566267967224,3.8212103843688965,0.4201134741306305,-0.2456350326538086,0.1180926263332367,7.0,7.0,-35.88431457413996,0.3823780448930832,2.240265130996704,8.734017584562062
8,8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,0,1,0,0,0,-47.93851089477539,0.7270652055740356,-46.82086944580078,0.8100566267967224,-45.2218132019043,-1.6167255640029907,-12.915616989135742,-1.3322290182113647,-746.8467407226562,77.28044128417969,-8.908679962158203,-0.4026999771595001,-50.549224853515625,0.7259655594825745,0.7710849046707153,0.2188282310962677,0.004228794481605291,0.005858051124960184,0,-50.42835998535156,0.7179163694381714,3.5773563385009766,0.47434091567993164,-0.24385404586791992,0.05422744154930115,7.0,7.0,-38.5268319066875,0.44334222736605944,2.489866018295288,9.415954550823743
9,9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,0,1,0,0,0,-51.25859451293945,1.0533686876296997,-50.42835998535156,0.7179163694381714,-50.097869873046875,-2.5642783641815186,-12.841340065002441,-1.3878891468048096,-747.442138671875,76.38752746582031,-8.908679962158203,-0.4026999771595001,-53.91748809814453,0.5858800411224365,0.7742227911949158,0.2150203138589859,0.004318525083363056,0.006438327953219414,0,-54.682579040527344,0.49026960134506226,4.206058979034424,0.6776944398880005,0.6287026405334473,0.20335352420806885,7.0,7.0,-41.411935546968564,0.45172254777922455,3.4699785709381104,9.865022598541367
10,10,/yh/study/new_data/model_dataset_flight/vi/vi_000010.jpg,0,1,0,0,0,-54.585689544677734,1.3803616762161255,-54.682579040527344,0.49026960134506226,-60.626522064208984,-1.5856502056121826,-12.829697608947754,-1.3516415357589722,-747.9833984375,75.80424499511719,-8.908679962158203,-0.4026999771595001,-59.260162353515625,0.19486963748931885,0.7616052627563477,0.2291208654642105,0.004064659122377634,0.005209244787693024,0,-59.48591613769531,0.39947524666786194,4.766596794128418,0.5998706221580505,0.5605378150939941,-0.07782381772994995,7.0,7.0,-44.60157442731714,0.44250210947115287,4.997435092926025,10.028067373309945
11,11,/yh/study/new_data/model_dataset_flight/vi/vi_000011.jpg,0,1,0,0,0,-57.930152893066406,1.7030118703842163,-59.48591613769531,0.39947524666786194,-69.43614959716797,-1.1824978590011597,-12.880475044250488,-1.1803853511810303,-747.6744384765625,76.22318267822266,-8.908679962158203,-0.4026999771595001,-64.56381225585938,0.37710699439048767,0.7230542898178101,0.2700517177581787,0.0036374880000948906,0.0032565349247306585,0,-64.24458312988281,0.2134365290403366,4.712074279785156,0.6898383498191833,-0.05452251434326172,0.08996772766113281,7.0,7.0,-48.04003553338249,0.40240473431971946,6.4877471923828125,9.975269435494111
12,12,/yh/study/new_data/model_dataset_flight/vi/vi_000012.jpg,0,1,0,0,0,-61.281715393066406,2.0263473987579346,-64.24458312988281,0.2134365290403366,-73.9503173828125,-0.14267775416374207,-12.886021614074707,-1.1260721683502197,-747.4052734375,76.581787109375,-8.908679962158203,-0.4026999771595001,-68.98091125488281,-0.02022431790828705,0.7065878510475159,0.2872294485569,0.003475753590464592,0.0027069351635873318,0,-68.703125,0.3132183849811554,4.443965435028076,0.3737904131412506,-0.2681088447570801,-0.31604793667793274,7.0,7.0,-51.63693710716673,0.38687973159376143,7.616569519042969,9.783128457494495
13,13,/yh/study/new_data/model_dataset_flight/vi/vi_000013.jpg,0,1,0,0,0,-64.62455749511719,2.3488411903381348,-68.703125,0.3132183849811554,-78.77618408203125,-0.08163183927536011,-12.866692543029785,-1.1411662101745605,-747.91796875,76.00857543945312,-8.908679962158203,-0.4026999771595001,-73.01160430908203,0.5559104084968567,0.7103834748268127,0.2833632230758667,0.003480482380837202,0.002772880019620061,0,-73.24650573730469,0.4061645567417145,4.527600288391113,0.3895881175994873,0.08363485336303711,0.015797704458236694,7.0,7.0,-55.38422912147024,0.39022389234546556,8.838098526000977,9.44562598099358
