pair_current_index,pair_next_index,current_frame_id,next_frame_id,is_initial_frame,search_center_x,search_center_y,final_ms_x,final_ms_y,raw_next_x,raw_next_y,protected_next_x,protected_next_y,route_center_x,route_center_y,route_index,route_distance_raw_m,route_recovery_triggered,route_progress_delta_m,reference_current_x,reference_current_y,reference_next_x,reference_next_y,search_center_error_m,final_error_m,raw_next_error_m,protected_next_error_m,ms_candidate_count
0,1,0,1,True,-37.632978691184114,0.8348961808190729,-29.69103240966797,0.6151264905929565,-37.466796875,5.872559070587158,-37.466796875,5.872559070587158,-37.632978691184114,0.8348961808190729,0,5.026967402562734,False,0.0,-37.63298034667969,0.8348962068557739,-47.69226837158203,1.7922438383102417,1.6557003061335768e-06,7.944988090764576,11.00950678832447,11.00950678832447,36
1,2,1,2,False,-37.466796875,5.872559070587158,-30.060884475708008,3.9589414596557617,-38.39897537231445,10.462169647216797,-38.39897537231445,10.462169647216797,-39.61985111568282,1.0463117178545955,1,9.492181362379057,False,2.0,-47.69226837158203,1.7922438383102417,-50.9120979309082,2.1374623775482178,11.00950678832447,17.7640163438911,15.029271016654823,15.029271016654823,36
2,3,2,3,False,-38.39897537231445,10.462169647216797,-29.481853485107422,6.076850414276123,-37.84453582763672,12.048431396484375,-37.84453582763672,12.048431396484375,-39.61985111568282,1.0463117178545955,1,11.128203235558413,False,0.0,-50.9120979309082,2.1374623775482178,-54.1414794921875,2.4837052822113037,15.029271016654823,21.78931286458318,18.896411258400338,18.896411258400338,36
3,4,3,4,False,-37.84453582763672,12.048431396484375,-29.516258239746094,8.716094970703125,-38.394107818603516,14.42353630065918,-38.394107818603516,14.42353630065918,-39.61985111568282,1.0463117178545955,1,13.431825852430894,False,0.0,-54.1414794921875,2.4837052822113037,-57.659645080566406,2.8609108924865723,18.896411258400338,25.40165748452079,22.46898378480432,22.46898378480432,36
4,5,4,5,False,-38.394107818603516,14.42353630065918,-29.211605072021484,8.781515121459961,-38.19286346435547,18.86587142944336,-38.19286346435547,18.86587142944336,-39.61985111568282,1.0463117178545955,1,17.870517303729365,False,0.0,-57.659645080566406,2.8609108924865723,-60.85377502441406,3.1642963886260986,22.46898378480432,29.057607175469734,27.56911988974644,27.56911988974644,36
5,6,5,6,False,-38.19286346435547,18.86587142944336,-29.25982666015625,11.019392013549805,-39.473716735839844,19.134578704833984,-39.473716735839844,19.134578704833984,-41.60672354018153,1.2577272548901182,2,18.002190532220308,False,2.0,-60.85377502441406,3.1642963886260986,-64.02477264404297,3.465484857559204,27.56911988974644,32.5557997985011,29.125158337808568,29.125158337808568,36
6,7,6,7,False,-39.473716735839844,19.134578704833984,-29.343610763549805,11.195775032043457,-40.738365173339844,20.125377655029297,-40.738365173339844,20.125377655029297,-43.59359596468023,1.4691427919256408,3,18.853616577967664,False,2.0,-64.02477264404297,3.465484857559204,-67.50447845458984,3.795994520187378,29.125158337808568,35.532244167272914,31.354004110307304,31.354004110307304,36
7,8,7,8,False,-40.738365173339844,20.125377655029297,-33.19614028930664,12.257575988769531,-42.32868957519531,19.399070739746094,-42.32868957519531,19.399070739746094,-43.59359596468023,1.4691427919256408,3,17.963116348808448,False,0.0,-67.50447845458984,3.795994520187378,-70.70535278320312,4.076558589935303,31.354004110307304,35.33638958089636,32.249254152643644,32.249254152643644,36
8,9,8,9,False,-42.32868957519531,19.399070739746094,-33.896095275878906,12.445392608642578,-43.10622024536133,18.381694793701172,-43.10622024536133,18.381694793701172,-45.58046838917895,1.6805583289611636,4,16.869181806602462,False,2.0,-70.70535278320312,4.076558589935303,-73.90149688720703,4.35670804977417,32.249254152643644,37.74862674420324,33.83857734325035,33.83857734325035,36
9,10,9,10,False,-43.10622024536133,18.381694793701172,-34.54057312011719,13.04874038696289,-41.69443130493164,14.721855163574219,-45.58046838917895,1.6805583289611636,-45.58046838917895,1.6805583289611636,4,13.379266554935304,True,0.0,-73.90149688720703,4.35670804977417,-77.41057586669922,4.6642866134643555,33.83857734325035,40.30922656104173,37.10522426151389,31.96964773822565,36
