Experiment,Category,GRU,Kalman,Kalman_mode,MS,Motion,MS_grid,MS_bandwidth_m,B_MLE_m,C_MLE_m,BC_weighted_MLE_m,Delta_vs_Full_pct,B_P90_m,C_P90_m,BC_weighted_P90_m,B_LSR5_pct,C_LSR5_pct,BC_weighted_LSR5_pct,B_LSR15_pct,C_LSR15_pct,B_JumpRate_pct,C_JumpRate_pct,B_MS_Latency_ms,C_MS_Latency_ms,BC_MS_Latency_ms,MS_FPS
abl_gru_only,module_ablation,yes,no,none,no,velocity,-,-,5.76918285500423,5.02765228505432,5.505219794167505,183.06614374926687,10.05953246533306,9.488513995306644,9.856266694169157,44.463971880492096,53.97456279809221,47.8494623655914,98.98945518453426,99.04610492845786,3.472527472527472,3.182179793158314,0.0,0.0,0.0,0.0
abl_gru_kalman,module_ablation,yes,yes,fixed,no,velocity,-,-,4.498899672680648,3.885581900852822,4.280576594876628,120.0977172644067,8.405613193380809,7.600715477051762,8.119093293227458,59.885764499121265,69.47535771065183,63.299377475947935,100.0,100.0,0.04395604395604395,0.0,0.0,0.0,0.0,0.0
full_model,module_ablation,yes,yes,fixed,yes,velocity,6,7.0,2.081803226125177,1.6970791868778414,1.9448527899697872,0.0,3.8496803600016944,3.672302977347226,3.7865392317109983,97.93497363796133,95.46899841017488,97.05715902659875,100.0,100.0,0.0,0.0,29.373342497336477,27.613488633067313,28.746886311357244,34.78637613719308
design_motion_none,motion_model,yes,yes,fixed,yes,none,6,7.0,2.406820484151217,1.9442749005950852,2.2421678683861876,15.287279322617486,4.2074476967104975,4.066282310900788,4.157196973635055,96.48506151142355,93.79968203497614,95.5291454442558,100.0,100.0,0.0,0.0,106.81483939711754,101.07517940430607,104.77168934874267,9.54456309921093
design_motion_acceleration,motion_model,yes,yes,fixed,yes,quadratic,6,7.0,2.085430886806907,1.7037853532759901,1.9495763080910344,0.24287278428516412,3.8808395818082717,3.661800946794086,3.8028682737019204,97.67135325131811,95.78696343402225,97.00056593095643,100.0,100.0,0.0,0.0,104.45827085374276,101.32367483773254,103.34244691821903,9.676565920597554
design_kalman_none,kalman_design,yes,no,none,yes,velocity,6,7.0,2.5805850990838586,2.165429790037023,2.4328020264237233,25.089263257889893,4.522034868741846,4.19095947027277,4.404181769909334,93.05799648506151,94.19713831478538,93.4634974533107,100.0,99.76152623211448,0.6593406593406593,0.6364359586316627,94.52851099583701,93.69660054423758,94.23237535686926,10.612064019535543
design_kalman_learned,kalman_design,yes,yes,learned,yes,velocity,6,7.0,2.19448840276509,1.7640384944097915,2.0412609028468767,4.957090499306482,4.065156218939602,3.7610732997880305,3.956911648398381,97.31985940246047,95.07154213036566,96.51952461799661,100.0,100.0,0.0,0.0,101.85202711115849,85.1546055496995,95.90823641384229,10.426633179709595
sens_ms_grid4x4,ms_window,yes,yes,fixed,yes,velocity,4,7.0,2.2243163419074037,1.8284414973828353,2.0833965472237854,7.1236115128359145,4.302987608698469,4.120273131936177,4.23794663196758,94.72759226713534,92.68680445151033,94.00113186191285,100.0,100.0,0.0,0.0,91.40491984398557,89.099328856307,90.58419730224826,11.039453125177502
sens_ms_grid5x5,ms_window,yes,yes,fixed,yes,velocity,5,7.0,2.0814912167736033,1.6964618666628657,1.9444320989356556,-0.021630996253352297,3.8478604130977523,3.6709220327605756,3.7848755567128713,97.93497363796133,95.46899841017488,97.05715902659875,100.0,100.0,0.0,0.0,92.65232937298931,95.26462356388532,93.5822292292845,10.68578947344708
sens_ms_grid6x6,ms_window,yes,yes,fixed,yes,velocity,6,7.0,2.081803226125177,1.6970791868778414,1.9448527899697872,0.0,3.8496803600016944,3.672302977347226,3.7865392317109983,97.93497363796133,95.46899841017488,97.05715902659875,100.0,100.0,0.0,0.0,98.24804344130737,102.08250353312278,99.61299839193097,10.038850512916634
