sequence_index,frame_id,timestamp_ns,dt_s,image_path,active_waypoint_from,active_waypoint_to,gt_x,gt_y,visual_x,visual_y,final_x,final_y,progress_s_visual_m,progress_s_final_m,cross_visual_m,cross_final_m,rnn_speed_fraction,rnn_moving_speed_mps,rnn_speed_mps,predicted_step_m,stop_probability,rnn_cross_speed_mps,rnn_delta_cross_m,speed_limit_mps,gt_speed_mps_eval_only,selected_patch_x,selected_patch_y,selected_patch_progress_s_m,candidate_probability_max,candidate_probability_margin,candidate_route_distance_m,route_heading_deg_enu,heading_residual_deg,estimated_heading_deg_enu,search_heading_deg_enu,measurement_variance_s,measurement_variance_cross,forward_candidate_count,error_visual_m,error_final_m
0,0,1782878154636936850,0.3353346586227417,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,0,1,-37.63298034667969,0.8348962068557739,-40.438968658447266,1.421865463256836,-38.11507034301758,1.02873957157135,2.8523404598236084,0.4998947197629004,-0.2867761254310608,-0.14174581912619233,0.4884618818759918,9.24842643737793,8.505951881408691,2.8523404598236084,0.08028117567300797,-0.8551938533782959,-0.2867761254310608,18.93377332531162,0.0,-42.0279541015625,-0.19259993731975555,4.261584281921387,0.07921309024095535,0.001633666455745697,1.4867552518844604,173.92622867160193,0.3132082495095724,174.23943692111152,173.92622867160193,20.0,2.1998190879821777,18,2.8667235374450684,0.5196017622947693
1,1,1782878154971122764,0.33418571949005127,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,0,1,-47.69226837158203,1.7922438383102417,-40.9144172668457,1.6142888069152832,-38.55147171020508,1.1787363290786743,3.3454813957214355,0.9497178495091937,-0.42781251668930054,-0.2447252434359516,0.4888441562652588,9.255663871765137,8.514986038208008,2.8455867767333984,0.08002424985170364,-0.8560112118721008,-0.2860667109489441,18.93377332531162,30.23690273754322,-42.0279541015625,-0.19259993731975555,4.261584281921387,0.07869428396224976,0.00193796306848526,1.4867552518844604,173.92622867160193,0.3148197205864458,174.2410483921884,174.2394369211115,20.0,2.1998190879821777,18,6.780187129974365,9.161361694335938
2,2,1782878155304500348,0.33337754011154175,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,0,1,-50.9120979309082,2.1374623775482178,-41.34404754638672,1.7628685235977173,-38.953758239746094,1.3075809478759766,3.788421154022217,1.36337591946997,-0.5300993919372559,-0.33028153378009195,0.48884400725364685,9.255661010742188,8.51498031616211,2.838703155517578,0.08002463728189468,-0.8560089468955994,-0.28537416458129883,18.93377332531162,9.713561256301684,-42.0279541015625,-0.19259993731975555,4.261584281921387,0.07920043915510178,0.001712299883365631,1.4867552518844604,173.92622867160193,0.3148092885397057,174.24103796014163,174.24104839218836,20.0,2.1998190879821777,18,9.575380325317383,11.987101554870605
3,3,1782878155638866921,0.33436670899391174,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,0,1,-54.1414794921875,2.4837052822113037,-41.75459289550781,1.893439769744873,-39.332359313964844,1.4252941608428955,4.210477352142334,1.7523092092721055,-0.6164983510971069,-0.40727420882416054,0.48884090781211853,9.255602836608887,8.514906883239746,2.8471014499664307,0.08002672344446182,-0.8559967875480652,-0.2862168252468109,18.93377332531162,9.713556727425546,-42.0279541015625,-0.19259993731975555,4.261584281921387,0.07879192382097244,0.0007744655013084412,1.4867552518844604,173.92622867160193,0.3147638517734692,174.2409925233754,174.24103796014163,20.0,2.1998190879821777,18,12.4009428024292,14.846894264221191
4,4,1782878156003134284,0.3642672598361969,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,0,1,-57.659645080566406,2.8609108924865723,-42.38368606567383,2.0635504722595215,-39.7242546081543,1.5460665225982666,4.854041576385498,2.1547863924886412,-0.7190902829170227,-0.48590248736528907,0.4888443946838379,9.255668640136719,8.51499080657959,3.1017322540283203,0.08002421259880066,-0.8560090661048889,-0.3118160665035248,18.93377332531162,9.713552423135127,-42.0279541015625,-0.19259993731975555,4.261584281921387,0.0789189487695694,0.0005550608038902283,1.4867552518844604,173.92622867160193,0.3147971756260995,174.24102584722803,174.24099252337538,20.0,2.1998190879821777,18,15.296754837036133,17.9835205078125
5,5,1782878156338947333,0.33581310510635376,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,0,1,-60.85377502441406,3.1642963886260986,-42.53690719604492,2.1343750953674316,-40.07095718383789,1.6530824899673462,5.013893127441406,2.5108643536723356,-0.7733054161071777,-0.5556336060081948,0.48879989981651306,9.254826545715332,8.513981819152832,2.8591067790985107,0.0800495594739914,-0.8558418154716492,-0.2874028980731964,18.93377332531162,9.554438411440238,-46.75927734375,-0.16259177029132843,8.969523429870605,0.07107392698526382,0.007638685405254364,1.9575316905975342,173.92622867160193,0.31465747691323154,174.24088614851516,174.24102584722803,20.0,2.1998190879821777,18,18.345800399780273,20.837688446044922
6,6,1782878156672328757,0.33338138461112976,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,0,1,-64.02477264404297,3.465484857559204,-42.86356735229492,2.237220287322998,-40.404014587402344,1.75657057762146,5.349600791931152,2.8530023965286357,-0.8410096764564514,-0.623300355314461,0.4888436496257782,9.255654335021973,8.514981269836426,2.8387362957000732,0.08002389967441559,-0.8560048341751099,-0.28537607192993164,18.93377332531162,9.554430759501942,-46.75927734375,-0.16259177029132843,8.969523429870605,0.07128985971212387,0.008002720773220062,1.9575316905975342,173.92622867160193,0.3147863166925362,174.24101498829447,174.24088614851516,20.0,2.1998190879821777,18,21.196821212768555,23.6824951171875
7,7,1782878157038165403,0.3658367991447449,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,0,1,-67.50447845458984,3.795994520187378,-43.46848678588867,2.3975753784179688,-40.75994873046875,1.8681029081344604,5.96809720993042,3.218735581734405,-0.9364582300186157,-0.6965459807517256,0.4888438880443573,9.255659103393555,8.514985084533691,3.1150949001312256,0.08002392947673798,-0.8560042977333069,-0.3131578862667084,18.93377332531162,9.554442909854355,-46.75927734375,-0.16259177029132843,8.969523429870605,0.0711657702922821,0.008063092827796936,1.9575316905975342,173.92622867160193,0.3147850093516404,174.24101368095359,174.24101498829447,20.0,2.1998190879821777,18,24.076637268066406,26.813926696777344
8,8,1782878157372155356,0.3339898884296417,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,0,1,-70.70535278320312,4.076558589935303,-43.55764389038086,2.4533045291900635,-41.078060150146484,1.968653917312622,6.062646865844727,3.545703532144773,-0.9824413061141968,-0.7628733085397112,0.48884281516075134,9.25563907623291,8.514961242675781,2.8439109325408936,0.08002451062202454,-0.8560000658035278,-0.28589537739753723,18.93377332531162,9.620491626498493,-46.75927734375,-0.16259177029132843,8.969523429870605,0.07033974677324295,0.007360927760601044,1.9575316905975342,173.92622867160193,0.3147536064897142,174.24098227809165,174.24101368095356,20.0,2.1998190879821777,18,27.196195602416992,29.702184677124023
9,9,1782878157705651227,0.3334957957267761,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,0,1,-73.90149688720703,4.35670804977417,-43.87162780761719,2.5529944896698,-41.390342712402344,2.0681653022766113,6.385414123535156,3.866759509057602,-1.0483496189117432,-0.8287838835887679,0.48884350061416626,9.255651473999023,8.514982223510742,2.8397107124328613,0.08002344518899918,-0.8560119867324829,-0.2854763865470886,18.93377332531162,9.62050611504896,-46.75927734375,-0.16259177029132843,8.969523429870605,0.0713391900062561,0.008220739662647247,1.9575316905975342,173.92622867160193,0.3148302326744653,174.2410589042764,174.24098227809165,20.0,2.1998190879821777,18,30.083988189697266,32.59160232543945
