sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,gt_x,gt_y,visual_x,visual_y,final_x,final_y,selected_patch_x,selected_patch_y,progress_s_visual_m,progress_s_final_m,selected_patch_progress_s_m,predicted_step_m,visual_step_cap_m,polynomial_step_m,inertia_cap_m,move_gate,candidate_probability_max,candidate_probability_margin,candidate_route_distance_m,route_heading_deg,heading_residual_deg,estimated_heading_deg,search_heading_deg,measurement_variance,forward_candidate_count,error_visual_m,error_final_m
0,0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,0,1,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-37.296630859375,-0.22260963916778564,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.3488923907279968,0.10214030742645264,0.027019545435905457,1.109706997871399,173.92622867160193,-0.3162921066002596,173.60993656500168,173.92622867160193,5.265636444091797,18,0.0,0.0
1,1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,0,1,-47.69226837158203,1.7922438383102417,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-37.296630859375,-0.22260963916778564,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.3488917946815491,0.10123012214899063,0.026507817208766937,1.109706997871399,173.92622867160193,-0.32021348895749313,173.60601518264443,173.60993656500168,5.311874866485596,18,10.104741096496582,10.104741096496582
2,2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,0,1,-50.9120979309082,2.1374623775482178,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-37.296630859375,-0.22260963916778564,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.34889182448387146,0.10199093073606491,0.02684778720140457,1.109706997871399,173.92622867160193,-0.32022066599220694,173.60600800560974,173.60601518264443,5.312035083770752,18,13.342849731445312,13.342849731445312
3,3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,0,1,-54.1414794921875,2.4837052822113037,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-37.296630859375,-0.22260963916778564,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.3488917648792267,0.09848183393478394,0.023487649857997894,1.109706997871399,173.92622867160193,-0.32021666392824016,173.60601200767368,173.6060080056097,5.3120436668396,18,16.590633392333984,16.590633392333984
4,4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,0,1,-57.659645080566406,2.8609108924865723,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-37.296630859375,-0.22260963916778564,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.34889188408851624,0.09795904904603958,0.02282186597585678,1.109706997871399,173.92622867160193,-0.32021685069122524,173.6060118209107,173.60601200767368,5.312039852142334,18,20.12888526916504,20.12888526916504
5,5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,0,1,-60.85377502441406,3.1642963886260986,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-37.296630859375,-0.22260963916778564,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.34889188408851624,0.09888564050197601,0.023798830807209015,1.109706997871399,173.92622867160193,-0.32022896360483144,173.6059997079971,173.6060118209107,5.312037467956543,18,23.337339401245117,23.337339401245117
6,6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,0,1,-64.02477264404297,3.465484857559204,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-37.296630859375,-0.22260963916778564,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.34889188408851624,0.09925461560487747,0.023862913250923157,1.109706997871399,173.92622867160193,-0.3202254417885407,173.60600322981338,173.60599970799709,5.312039375305176,18,26.52256965637207,26.52256965637207
7,7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,0,1,-67.50447845458984,3.795994520187378,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-37.296630859375,-0.22260963916778564,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.3488919138908386,0.09789962321519852,0.02265128493309021,1.109706997871399,173.92622867160193,-0.32022653568602494,173.6060021359159,173.60600322981338,5.31204080581665,18,30.01790428161621,30.01790428161621
8,8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,0,1,-70.70535278320312,4.076558589935303,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-37.296630859375,-0.22260963916778564,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.3488919734954834,0.09630337357521057,0.0211758092045784,1.109706997871399,173.92622867160193,-0.3202220533743821,173.60600661822755,173.6060021359159,5.312042713165283,18,33.23086166381836,33.23086166381836
9,9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,0,1,-73.90149688720703,4.35670804977417,-37.63298034667969,0.8348962068557739,-37.63298034667969,0.8348962068557739,-37.296630859375,-0.22260963916778564,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.3488920331001282,0.096870556473732,0.02159114181995392,1.109706997871399,173.92622867160193,-0.3202270959749803,173.60600157562695,173.60600661822755,5.312045574188232,18,36.43910598754883,36.43910598754883
