variant,label,frames,MLE_m,MedLE_m,P90_m,P95_m,P99_m,CVaR90_m,LSR@3_pct,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,MS_Latency_ms
frames1,1 frame,367,3.952585176906217,3.7765894073329576,6.805488707046217,8.176930105549392,9.890061107590432,8.303585935423792,38.69209809264305,71.93460490463215,98.9100817438692,100.0,100.0,15.884350133823355
frames2,2 frames,367,3.977423319914368,3.808517304504929,6.81048492743375,8.172565045571037,9.982423740589033,8.329834769868906,38.41961852861036,70.02724795640327,98.9100817438692,100.0,100.0,15.84881041415659
full,Full,367,3.936761036133077,3.7069595066995267,6.804153383930366,8.15267830267382,9.821376269659849,8.221144436260476,38.14713896457766,71.93460490463215,99.1825613079019,100.0,100.0,9.720712225739716
grid4,4x4,367,4.429681069219903,3.994698894094187,8.12071117556453,9.110247933591358,12.493308316182034,9.906521733065283,34.87738419618528,64.03269754768392,96.73024523160763,99.72752043596729,100.0,10.333995785399205
grid5,5x5,367,3.9363613051680484,3.706613547766639,6.8039219567875335,8.152521452251307,9.820436773928103,8.222068092952467,38.14713896457766,71.93460490463215,99.1825613079019,100.0,100.0,11.045751837773475
grid7,7x7,367,3.898611843453973,3.6593141445263058,6.766458917065016,8.146670835896728,9.462943712658971,8.091763932686229,38.96457765667575,72.75204359673025,99.45504087193461,100.0,100.0,16.063448628767617
grid8,8x8,367,3.899291175548008,3.6618668723876837,6.767374096983987,8.151142144460904,9.463993696649995,8.09285310937702,38.69209809264305,72.75204359673025,99.45504087193461,100.0,100.0,22.216098388836457
no_gru,w/o GRU,367,4.273442039187208,4.014751471346144,7.299449409452816,8.295705672023942,10.222414309442625,8.642992959867197,32.15258855585831,65.66757493188011,98.63760217983652,100.0,100.0,17.673443787364715
no_kalman,w/o Kalman,367,3.945327620701598,3.68880114364331,6.843336091078269,8.18879813334828,9.883503526231571,8.298775523665963,38.69209809264305,71.38964577656675,98.9100817438692,100.0,100.0,17.303088864986133
no_ms,w/o MeanShift,367,6.837282010740577,6.335622050214322,12.11598989540849,13.488565574357391,17.15505251747705,14.27501209258508,16.62125340599455,37.60217983651226,79.291553133515,97.00272479564033,99.72752043596729,0.0
