Experiment,Category,GRU,Kalman,Kalman_mode,MS,Motion,MS_grid,MS_bandwidth_m,B_MLE_m,C_MLE_m,BC_weighted_MLE_m,Delta_vs_Full_pct,B_P90_m,C_P90_m,B_LSR5_pct,C_LSR5_pct,B_LSR15_pct,C_LSR15_pct,B_JumpRate_pct,C_JumpRate_pct
abl_gru_only,module_ablation,yes,no,none,no,quadratic,-,-,5.769182991325351,5.026881217592885,5.504945404637337,166.53259140482163,10.05953246533306,9.488513995306644,44.463971880492096,53.97456279809221,98.98945518453426,99.04610492845786,3.472527472527472,3.182179793158314
abl_gru_kalman,module_ablation,yes,yes,learned,no,quadratic,-,-,4.752096019457046,4.071134436580192,4.5096937355693605,118.34555466632786,8.902604097245284,7.923152229074419,56.019332161687174,67.0906200317965,99.91212653778558,100.0,0.04395604395604395,0.07955449482895784
abl_gru_ms,module_ablation,yes,no,none,yes,quadratic,6,5.0,2.6136712321757654,2.198596206450637,2.4659167380155473,19.392133810836153,4.5985366836269,4.2537867746354,92.61862917398945,94.11764705882352,100.0,99.76152623211448,0.6593406593406593,0.6364359586316627
abl_kalman_ms,module_ablation,no,yes,learned,yes,quadratic,6,5.0,2.1509212811884106,1.6979306103727492,1.9896699331731018,-3.666277438073562,3.923047870150512,3.769656630254335,97.71528998242532,93.95866454689984,100.0,100.0,0.0,0.0
full_model,module_ablation,yes,yes,learned,yes,quadratic,6,5.0,2.2147810949504807,1.795116838275994,2.0653929696260596,0.0,4.125550348955599,3.8422810878172813,96.96836555360281,95.1510333863275,100.0,100.0,0.0,0.0
design_motion_none,gru_motion,yes,yes,learned,yes,none,6,5.0,2.4828857724514832,2.0211747437494716,2.318530233654898,12.256130806655596,4.341310124639,4.122332639451537,95.69420035149385,93.1637519872814,100.0,100.0,0.0,0.0
design_motion_velocity,gru_motion,yes,yes,learned,yes,velocity,6,5.0,2.226395057394728,1.795295386709926,2.0729362612086835,0.36522306861486165,4.126782262284058,3.856079795783243,97.05623901581723,94.99205087440382,100.0,100.0,0.0,0.0
design_kalman_fixed_var,kalman_design,yes,yes,fixed,yes,quadratic,6,5.0,2.1188481629816205,1.7371393874652128,1.9829710719800244,-3.9906157742445325,3.931545747988345,3.7095278905236673,97.49560632688929,95.62798092209857,100.0,100.0,0.0,0.0
sens_ms_grid4x4,ms_window,yes,yes,learned,yes,quadratic,4,5.0,2.352939928436385,1.9256316955045114,2.2008307725144,6.557483485230486,4.5144399038609055,4.3394611595584065,93.36555360281194,92.36883942766295,100.0,100.0,0.0,0.0
sens_ms_grid8x8,ms_window,yes,yes,learned,yes,quadratic,8,5.0,2.2120791100812123,1.7923508390849545,2.0626681975420804,-0.1319251166267188,4.119941415222755,3.8385887867877915,97.01230228471002,95.38950715421304,100.0,100.0,0.0,0.0
sens_ms_bandwidth3,meanshift_bandwidth,yes,yes,learned,yes,quadratic,6,3.0,2.3585049158927722,1.9455497945971756,2.211505045324051,7.074299072706003,4.318871010129015,4.117874504176522,95.78207381370825,94.11764705882352,100.0,100.0,0.0,0.0
sens_ms_bandwidth7,meanshift_bandwidth,yes,yes,learned,yes,quadratic,6,7.0,2.1829001548802096,1.76378892234041,2.033708889873116,-1.5340460735024264,4.071223066458524,3.7226947058752144,97.18804920913884,95.1510333863275,100.0,100.0,0.0,0.0
