frame_id,gt_x,gt_y,raw_visual_x,raw_visual_y,fused_visual_x,fused_visual_y,prediction_x,prediction_y,final_x,final_y,velocity_x,velocity_y,grid_size,candidate_captured,edge,entropy,peak_prob,margin_prob,quality,update_alpha,innovation_m,along_innovation_m,cross_innovation_m,lost_streak
40,-20.639415740966797,0.26716676354408264,-4.1773552894592285,-0.4327203929424286,-8.908679962158203,-0.4026999771595001,-16.092329025268555,0.3371717035770416,-13.777352333068848,0.09874333441257477,-3.622894525527954,0.09226882457733154,6,1,0,0.6555104851722717,0.2510121166706085,0.07937334477901459,0.34448951482772827,0.32225639809606577,7.221649646759033,-7.200157642364502,0.5567361116409302,0
43,-30.00425910949707,0.3228265345096588,-8.878098487854004,4.355459213256836,-8.908679962158203,-0.4026999771595001,-17.398874282836914,0.180952787399292,-15.690940856933594,0.05860927700996399,-3.6215219497680664,0.08220944553613663,6,1,0,0.7657833099365234,0.17684772610664368,0.04947906732559204,0.23421669006347656,0.2137837003452887,8.510231971740723,-8.501253128051758,0.39082252979278564,0
46,-39.84908676147461,0.3673543334007263,-32.47358322143555,14.021856307983398,-32.53472900390625,4.505537986755371,-19.25139045715332,0.1223258227109909,-21.32810401916504,1.207557201385498,-3.5604496002197266,0.06371654570102692,10,1,0,0.6359119415283203,0.15833096206188202,0.024825245141983032,0.3640880584716797,0.26197485821319333,13.987838745117188,13.359640121459961,-4.144834518432617,0
49,-49.87773895263672,0.41188210248947144,-37.20491409301758,14.051867485046387,-37.266056060791016,4.535549163818359,-24.82828712463379,1.3054991960525513,-26.651607513427734,2.020320177078247,-3.500182628631592,0.09794194996356964,14,1,0,0.7034424543380737,0.07912829518318176,0.015528716146945953,0.2949374318122864,0.23032513191878579,12.850342750549316,12.523249626159668,-2.880889415740967,1
52,-59.96766662597656,0.45640990138053894,-46.667572021484375,14.111885070800781,-41.99738311767578,4.565558910369873,-30.17462158203125,2.2102677822113037,-31.211862564086914,2.4918527603149414,-3.5230143070220947,0.1899476796388626,14,1,0,0.7352544069290161,0.06459183990955353,0.006770998239517212,0.15982817113399506,0.13136210861562958,12.055085182189941,11.932419776916504,-1.7153609991073608,2
55,-70.0167465209961,0.48980575799942017,-56.06909942626953,23.688213348388672,-46.72871017456055,4.595567226409912,-34.9998664855957,2.803011894226074,-35.71002197265625,2.935825824737549,-3.7880029678344727,0.31115901470184326,18,1,0,0.7108950018882751,0.050743889063596725,0.003268163651227951,0.10747532546520233,0.089830630765392,11.865034103393555,11.836225509643555,-0.8263263702392578,3
58,-79.73902130126953,0.612257182598114,-56.06909942626953,23.688213348388672,-51.46003723144531,4.625573635101318,-39.799072265625,3.345163345336914,-40.47193145751953,3.4220921993255615,-4.08905029296875,0.40933746099472046,18,1,0,0.7155937552452087,0.04972951114177704,0.003015652298927307,0.10054170340299606,0.08464688619351968,11.731050491333008,11.730510711669922,-0.112518310546875,4
60,-89.59406280517578,0.7792364358901978,-60.80043029785156,23.718217849731445,-51.46003723144531,4.625573635101318,-44.72237014770508,3.8627097606658936,-45.24436569213867,3.921812057495117,-4.250439643859863,0.44061747193336487,18,0,0,0.7433614134788513,0.03928995132446289,0.0031225457787513733,0.08205904811620712,0.07747430177703807,6.780716896057129,6.78041410446167,-0.06406718492507935,5
63,-99.67377471923828,0.9350837469100952,-79.69519805908203,28.59637451171875,-46.72871017456055,4.595567226409912,-49.59333419799805,4.370605945587158,-49.375732421875,4.387694358825684,-4.348969459533691,0.4487936794757843,18,0,0,0.8072202205657959,0.030249815434217453,0.006304191425442696,0.0768505409359932,0.07596111628213276,2.873443603515625,-2.826399326324463,-0.5178273916244507,6
66,-109.77391815185547,1.001875400543213,-32.47358322143555,14.021856307983398,-37.266056060791016,4.535549163818359,-53.78401184082031,4.84373140335083,-53.26451110839844,4.879807949066162,-4.4082794189453125,0.4560370147228241,18,0,0,0.732673704624176,0.05501643940806389,0.0025313496589660645,0.09106959402561188,0.06412901780683455,16.520830154418945,-16.46198272705078,-1.3931671380996704,7
