frame_id,timestamp_ns,elapsed_time_s,dt_seconds,waypoint_from,waypoint_to,waypoint_from_frame,waypoint_to_frame,leg_index,leg_changed,gt_x,gt_y,gt_progress_s,gt_cross_d,prediction_x,prediction_y,prediction_s,prediction_v_mps,prediction_d,prediction_vd_mps,raw_top1_x,raw_top1_y,hardms_x,hardms_y,measurement_s,measurement_d,measurement_var_s,measurement_var_d,final_x,final_y,final_s,final_v_mps,final_d,final_vd_mps,error_m,candidate_capture
0,1782720770254553016,0.0,0.3384777865251142,0,1,0,219,0,0,-18.780746459960938,-2.1595981121063232,0.0,0.0,-18.780746459960938,-2.1595981121063232,0.0,0.0,0.0,0.0,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,10.802791595458984,-3.43949294090271,100.0,35.652549743652344,-19.75301618909711,-1.9608551370541882,0.9878674694845045,0.29899204137646046,-0.0944727374749946,-0.10315211527838704,0.9923745242231382,1
1,1782720770593030912,0.338477896,0.338477896,0,1,0,219,0,0,-25.919267654418945,-1.4582853317260742,7.172637462615967,0.05997467041015625,-19.84994312613381,-1.9154008725941618,1.0890696665703539,0.29899204137646046,-0.1293874484223725,-0.10315211527838704,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,11.657614707946777,-2.9782750606536865,100.0,36.617958068847656,-20.976541279975002,-1.7353050256982656,2.2284163231140317,0.8472182795585588,-0.18894550550559008,-0.25565322529693424,4.950483201008989,1
2,1782720770931508736,0.67695572,0.338477824,0,1,0,219,0,0,-25.919267654418945,-1.4582853317260742,7.172637462615967,0.05997467041015625,-21.252507182710207,-1.6188374181622085,2.5151809228320365,0.8472182795585588,-0.27547845290267814,-0.25565322529693424,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,11.680173873901367,-2.9595370292663574,100.0,36.62963104248047,-22.463182900209436,-1.4816823293270147,3.7335750420689364,1.4956845943332433,-0.2834182534402225,-0.2791105982016488,3.4561639497824963,1
3,1782720771269986560,1.015433544,0.338477824,0,1,0,219,0,0,-25.919267654418945,-1.4582853317260742,7.172637462615967,0.05997467041015625,-22.95655922201634,-1.3340337603698886,4.239831108949176,1.4956845943332433,-0.3778910013748549,-0.2791105982016488,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,12.038280487060547,-3.153674840927124,100.0,36.6298828125,-24.198354466548196,-1.201543309254148,5.488674257965201,2.142893287958055,-0.3778910013748549,-0.2791105982016488,1.739959386391085,1
4,1782720771608464128,1.353911112,0.338477568,0,1,0,219,0,0,-34.80412292480469,-0.5788613557815552,16.100648880004883,0.12811291217803955,-24.909559732750907,-1.0306540603190464,6.2139955665567665,2.142893287958055,-0.47236367785717415,-0.2791105982016488,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,13.821768760681152,-2.7039296627044678,100.0,36.629859924316406,-26.30061189524798,-0.8822389900034538,7.612942752663367,2.816949850725592,-0.47236367785717415,-0.2791105982016488,8.508921072541375,1
5,1782720771946941952,1.692388936,0.338477824,0,1,0,219,0,0,-34.80412292480469,-0.5788613557815552,16.100648880004883,0.12811291217803955,-27.238683304769424,-0.6871447144858521,8.566417808454089,2.816949850725592,-0.5668364257918066,-0.2791105982016488,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,14.429679870605469,-2.3639039993286133,100.0,36.62981414794922,-28.411617823614698,-0.5620011981007337,9.746009407435086,3.337792580363857,-0.5668364257918066,-0.2791105982016488,6.392527335385986,1
6,1782720772285419776,2.03086676,0.338477824,0,1,0,219,0,0,-34.80412292480469,-0.5788613557815552,16.100648880004883,0.12811291217803955,-29.524988025124653,-0.3482038262934065,10.875778176999988,3.337792580363857,-0.6613091737264389,-0.2791105982016488,-27.772829055786133,9.233684539794922,-37.266056060791016,4.535549163818359,16.741811752319336,-2.442007541656494,100.0,36.62989044189453,-30.75880462225852,-0.21656463837722184,12.116597395190645,3.839060762091088,-0.6613091737264389,-0.2791105982016488,4.061509458361135,1
7,1782720772623897600,2.369344584,0.338477824,0,1,0,219,0,0,-44.61831283569336,0.40075016021728516,25.963380813598633,0.1952226161956787,-32.04088545697649,0.01523292146446864,13.416034328147019,3.839060762091088,-0.7557819216610713,-0.2791105982016488,-32.50415802001953,9.263697624206543,-37.266056060791016,4.535549163818359,18.920608520507812,-1.151604175567627,100.0,36.62983703613281,-33.22267130604205,0.14132080991013773,14.604527493754206,4.2799489460749,-0.7557819216610713,-0.2791105982016488,11.398594187886259,1
8,1782720772962375424,2.707822408,0.338477824,0,1,0,219,0,0,-44.61831283569336,0.40075016021728516,25.963380813598633,0.1952226161956787,-34.65314082251823,0.3889503545119464,16.05319529985273,4.2799489460749,-0.8502546695957036,-0.2791105982016488,-32.50415802001953,9.263697624206543,-41.99738311767578,4.565558910369873,22.548919677734375,-1.6933047771453857,100.0,36.62989807128906,-36.04738711038038,0.5377062145933251,17.455354739828746,4.760320127057216,-0.8502546695957036,-0.2791105982016488,8.572019875715533,1
9,1782720773300853248,3.046300232,0.338477824,0,1,0,219,0,0,-44.61831283569336,0.40075016021728516,25.963380813598633,0.1952226161956787,-37.639534006496234,0.8025855506225018,19.066617537978477,4.760320127057216,-0.944727417530336,-0.2791105982016488,-37.266056060791016,4.535549163818359,-42.0279541015625,-0.19259993731975555,24.678205490112305,-0.6499148607254028,100.0,36.62989807128906,-38.83415361546594,0.8630937830562706,20.26091465430807,5.140614432561339,-0.8781563201302007,-0.25643965404684066,5.802607992146444,1
