sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,gt_x,gt_y,visual_x,visual_y,final_x,final_y,selected_patch_x,selected_patch_y,progress_s_visual_m,progress_s_final_m,selected_patch_progress_s_m,predicted_step_m,visual_step_cap_m,polynomial_step_m,inertia_cap_m,move_gate,candidate_probability_max,candidate_probability_margin,candidate_route_distance_m,route_heading_deg,heading_residual_deg,estimated_heading_deg,search_heading_deg,measurement_variance,forward_candidate_count,error_visual_m,error_final_m
0,0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,0,1,-18.780746459960938,-2.1595981121063232,-19.821535110473633,-2.048553705215454,-19.2425537109375,-2.1103265285491943,-27.772829055786133,9.233684539794922,1.0466954708099365,0.46442893374817396,10.150054931640625,1.0466954708099365,3.0,0.0,1.25,0.3488984704017639,0.09692184627056122,0.009893357753753662,10.375009536743164,173.90999868913076,-0.31637089389955275,173.5936277952312,173.90999868913076,5.265648365020752,18,1.0466957092285156,0.46442827582359314
1,1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,0,1,-25.919267654418945,-1.4582853317260742,-20.283323287963867,-1.999284267425537,-19.578908920288086,-2.0744400024414062,-27.772829055786133,9.233684539794922,1.5111044645309448,0.8026933278687299,10.150054931640625,1.0466755628585815,3.0,2.093390941619873,3.0,0.34889185428619385,0.09690671414136887,0.010199971497058868,10.375009536743164,173.90999868913076,-0.3202054848295595,173.5897932043012,173.5936277952312,5.31190299987793,18,5.661850452423096,6.370227336883545
2,2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,0,1,-28.881437301635742,-1.16508948802948,-20.619678497314453,-1.96339750289917,-19.854869842529297,-2.044996976852417,-27.772829055786133,9.233684539794922,1.8493688106536865,1.080218979925914,10.150054931640625,1.046675443649292,3.0,1.0466556549072266,2.2966556549072266,0.34889182448387146,0.09654819965362549,0.010650485754013062,10.375009536743164,173.90999868913076,-0.3202155433503294,173.58978314578042,173.5897932043012,5.312047004699707,18,8.300238609313965,9.069353103637695
3,3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,0,1,-31.84273910522461,-0.8719794154167175,-20.89563751220703,-1.9339547157287598,-20.09676742553711,-2.019188404083252,-27.772829055786133,9.233684539794922,2.126894235610962,1.3234898083207232,10.150054931640625,1.046675205230713,3.0,1.0466753244400024,2.296675205230713,0.3488917350769043,0.09639181196689606,0.011149212718009949,10.375009536743164,173.90999868913076,-0.3202122082970238,173.58978648083374,173.58978314578044,5.312046527862549,18,10.998492240905762,11.801861763000488
4,4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,0,1,-34.80412292480469,-0.5788613557815552,-21.137535095214844,-1.9081460237503052,-20.318078994750977,-1.9955759048461914,-27.772829055786133,9.233684539794922,2.3701651096343994,1.5460586455280934,10.150054931640625,1.0466753244400024,3.0,1.0466749668121338,2.296674966812134,0.3488917648792267,0.09636281430721283,0.011343225836753845,10.375009536743164,173.90999868913076,-0.3202142360094336,173.58978445312133,173.58978648083374,5.312042713165283,18,13.73108196258545,14.555155754089355
5,5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,0,1,-38.077056884765625,-0.2521708011627197,-21.358848571777344,-1.8845335245132446,-20.526430130004883,-1.973346471786499,-27.772829055786133,9.233684539794922,2.5927340984344482,1.7555907667730268,10.150054931640625,1.046675443649292,3.0,1.046675443649292,2.296675443649292,0.3488917946815491,0.09460665285587311,0.011087805032730103,10.375009536743164,173.90999868913076,-0.32021815803212106,173.58978053109863,173.58978445312133,5.312036991119385,18,16.797710418701172,17.63482093811035
6,6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,0,1,-41.34334182739258,0.07385636121034622,-21.567197799682617,-1.8623040914535522,-20.726402282714844,-1.9520108699798584,-27.772829055786133,9.233684539794922,2.8022665977478027,1.9566990488171578,10.150054931640625,1.046675682067871,3.0,1.0466755628585815,2.296675682067871,0.34889188408851624,0.09572989493608475,0.011498846113681793,10.375009536743164,173.90999868913076,-0.3202238409629539,173.5897748481678,173.58978053109865,5.312045097351074,18,19.870697021484375,20.71623420715332
7,7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,0,1,-44.61831283569336,0.40075016021728516,-21.76717185974121,-1.840968370437622,-20.920873641967773,-1.9312622547149658,-27.772829055786133,9.233684539794922,3.0033750534057617,2.1522739582794226,10.150054931640625,1.0466761589050293,3.0,1.0466759204864502,2.29667592048645,0.3488920331001282,0.09497366845607758,0.011926226317882538,10.375009536743164,173.90999868913076,-0.32022941717208103,173.5897692719587,173.58977484816782,5.31204080581665,18,22.960834503173828,23.811906814575195
8,8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,0,1,-47.93851089477539,0.7270652055740356,-21.96164321899414,-1.8202197551727295,-21.111690521240234,-1.9109033346176147,-27.772829055786133,9.233684539794922,3.1989498138427734,2.3441743612480965,10.150054931640625,1.0466758012771606,3.0,1.0466766357421875,2.2966766357421875,0.348891943693161,0.09441075474023819,0.011833608150482178,10.375009536743164,173.90999868913076,-0.32023032430658016,173.58976836482418,173.5897692719587,5.31203556060791,18,26.10146141052246,26.956207275390625
9,9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,0,1,-51.25859451293945,1.0533686876296997,-22.1524600982666,-1.799860954284668,-21.300064086914062,-1.8908053636550903,-27.772829055786133,9.233684539794922,3.390850305557251,2.5336168486614112,10.150054931640625,1.0466759204864502,3.0,1.046675443649292,2.296675443649292,0.3488919734954834,0.09430049359798431,0.011647559702396393,10.375009536743164,173.90999868913076,-0.32022941717208103,173.5897692719587,173.58976836482418,5.312040328979492,18,29.245649337768555,30.10285186767578
10,10,/yh/study/new_data/model_dataset_flight/vi/vi_000010.jpg,0,1,-54.585689544677734,1.3803616762161255,-22.34083366394043,-1.779762864112854,-21.48679542541504,-1.870882511138916,-27.772829055786133,9.233684539794922,3.5802934169769287,2.7214078041231202,10.150054931640625,1.0466766357421875,3.0,1.0466760396957397,2.2966761589050293,0.3488922119140625,0.09462349116802216,0.011918939650058746,10.375009536743164,173.90999868913076,-0.3202317917300347,173.58976689740072,173.5897692719587,5.312036037445068,18,32.39933776855469,33.2581901550293
