frame_id,image_path,gt_x,gt_y,predicted_current_x,predicted_current_y,search_center_x,search_center_y,raw_top1_x,raw_top1_y,hardms_x,hardms_y,global_top1_x,global_top1_y,measurement_anchor_x,measurement_anchor_y,measurement_x,measurement_y,measurement_var_x,measurement_var_y,response_var_parallel,response_var_cross,confidence,global_entropy,global_margin,global_mode_mass,waypoint_pass_probability,route_prior_sigma_m,recovery_distance_m,kalman_nis,kalman_r_scale,v_parallel,v_cross,a_parallel,a_cross,poly_next_step_parallel,poly_next_step_cross,model_next_step_m,waypoint_leg_before_visual,waypoint_leg,target_waypoint,route_progress,route_remaining_m,route_cross_track_m,waypoint_alignment,movement_heading_deg,local_candidate_capture,candidate_capture,route_corridor_capture,final_x,final_y,final_vx,final_vy,final_speed,final_step_m,error_final_m
0,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,-37.63298034667969,0.8348962068557739,-37.632978691184114,0.8348961808190729,-37.632978691184114,0.8348961808190729,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-4.1773552894592285,-0.4327203929424286,-3.9123759269714355,0.7251905798912048,-3.70937180519104,0.08919554948806763,154749.15625,143628.734375,7916.0,7334.294921875,0.22613772749900818,0.8951566219329834,0.001236021053045988,0.07983125001192093,0.6427483558654785,26.0,33.72078323364258,0.007440302051586754,1.0,2.578674554824829,0.09556230157613754,0.26638802886009216,-0.0743236318230629,2.7118685245513916,0.058400485664606094,2.7124974727630615,0,3,4,0.0,729.3023853156254,0.0,0.0,nan,1,0,1,-37.632101846854525,0.8348754139476608,0.0,0.0,0.0,0.0,0.0008787458607804526
1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,-47.69226837158203,1.7922438383102417,-40.334926677863436,1.063742534988482,-40.334926677863436,1.063742534988482,-32.53472900390625,4.505537986755371,-37.266056060791016,4.535549163818359,-4.1773552894592285,-0.4327203929424286,-1.5796287059783936,0.6816060543060303,-1.2029399871826172,-0.04485511779785156,1000000.0,1000000.0,156296.25,164983.390625,0.1702040284872055,0.9462712407112122,5.517422687262297e-05,0.017507724463939667,0.8096058368682861,29.307502065559767,38.75718307495117,0.001532520912119665,1.0,1.927388310432434,0.059995509684085846,0.22996759414672852,-0.058809712529182434,2.042372226715088,0.03059065341949463,2.0426015853881836,3,8,9,0.0,1286.6409570553838,-4.717435433307794,0.9700779454372574,174.353441353654,1,0,1,-40.33440427686099,1.0637277355308807,-2.830986937686261,0.27990346310103786,2.844790500196137,2.711975628266755,7.393842015379688
2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,-50.9120979309082,2.1374623775482178,-42.36556045915011,1.2796538723523891,-42.36556045915011,1.2796538723523891,-32.53472900390625,4.505537986755371,-37.266056060791016,4.535549163818359,-4.1773552894592285,-0.4327203929424286,-1.6467254161834717,0.7231733202934265,-2.5779569149017334,-0.2874768376350403,999999.9375,999999.9375,37813.04296875,35974.51953125,0.07330161333084106,0.9349137544631958,0.0001627500168979168,0.03637033700942993,0.9847049713134766,34.85292139528287,40.72263717651367,0.0015854439156688855,1.0,-2.084073781967163,-0.13462257385253906,0.009471305646002293,-0.016188831999897957,-2.0793380737304688,-0.14271698892116547,2.0842299461364746,8,13,14,0.0,318.31381314032456,-1280.2009869051356,0.890002436764077,173.10363701477513,1,0,1,-42.36391732286959,1.2795891534802413,-2.1410148547393253,0.25895336971115224,2.1566180598101314,2.040960400320943,8.591119727731664
3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,-54.1414794921875,2.4837052822113037,-42.430456805083146,-0.8035787019147629,-42.430456805083146,-0.8035787019147629,-32.53472900390625,4.505537986755371,-37.266056060791016,4.535549163818359,-4.1773552894592285,-0.4327203929424286,-1.8612672090530396,0.7078907489776611,-3.1007068157196045,1.8545604944229126,999999.9375,999999.9375,10989.37109375,11663.53125,0.050365813076496124,0.9205337166786194,0.00045661721378564835,0.06557635962963104,0.8014451861381531,40.87276620327985,40.59733581542969,0.0015537566805525892,1.0,-2.962069511413574,-0.20581647753715515,-0.03434601426124573,-0.03155963122844696,-2.9792425632476807,-0.22159630060195923,2.9874722957611084,13,14,15,1.0,0.0,-479.9882162552501,0.0008459249744945825,-91.5669936003448,1,0,1,-42.42695498627397,-0.8033420281245376,-0.0568783965357293,-2.07919132442005,2.0799691621598813,2.083884846700739,12.166953785563367
4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,-57.659645080566406,2.8609108924865723,-45.4094256923792,-0.6305465889855291,-45.4094256923792,-0.6305465889855291,-37.266056060791016,4.535549163818359,-37.266056060791016,4.535549163818359,-4.1773552894592285,-0.4327203929424286,-3.1198461055755615,0.908298134803772,-3.8257405757904053,2.712902069091797,710243.0,722662.875,1198.6700439453125,1249.7467041015625,0.04140499234199524,0.7746415138244629,0.003403562121093273,0.19933080673217773,0.0,47.12196017215554,42.31756591796875,0.002449588306880889,1.0,-3.1969592571258545,-0.2625143229961395,-0.0323859304189682,-0.05552545562386513,-3.2131521701812744,-0.29027706384658813,3.2262375354766846,14,14,15,0.9577952782002933,47.193786754646226,-28.329631675906594,-0.9997276643855325,176.95400863129962,1,0,1,-45.4001900608175,-0.6298167767544395,-2.9992550563800138,0.15959851594711405,3.0034983901300163,2.9782944483980986,12.74674142838284
5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,-60.85377502441406,3.1642963886260986,-48.26134309717347,0.8609583129565114,-48.26134309717347,0.8609583129565114,-37.266056060791016,4.535549163818359,-37.296630859375,-0.22260963916778564,-4.1773552894592285,-0.4327203929424286,-3.0183749198913574,0.9834387302398682,-3.746117353439331,2.856724977493286,1000000.0,1000000.0,1325.4197998046875,1386.322021484375,0.036290090531110764,0.7776029706001282,0.003095148131251335,0.18985040485858917,0.0,53.53808039595344,45.243133544921875,0.00198509479055675,1.0,-3.3089354038238525,-0.2831070125102997,-0.04072021692991257,-0.0641784518957138,-3.3292953968048096,-0.3151962459087372,3.344182252883911,14,14,15,0.9549284018345997,50.39955961808482,-28.614307112722106,-0.9136883180939385,152.92134207546667,1,0,1,-48.25027661751736,0.8614544621679503,-2.887504970800933,1.476253987890702,3.242994109332192,3.2166571605812093,12.812152552592451
6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,-64.02477264404297,3.465484857559204,-51.222640003820544,2.393972893712254,-51.222640003820544,2.393972893712254,-42.0279541015625,-0.19259993731975555,-46.75927734375,-0.16259177029132843,-4.1773552894592285,-0.4327203929424286,-3.038195848464966,1.0007643699645996,-3.8028156757354736,2.9473273754119873,1000000.0,1000000.0,1673.441162109375,1757.4573974609375,0.03330988436937332,0.7833918929100037,0.0027434052899479866,0.1691949963569641,0.0,60.09907450438003,48.20458221435547,0.002248130131113067,1.0,-3.4879672527313232,-0.29761573672294617,-0.048174068331718445,-0.06803690642118454,-3.512054204940796,-0.33163419365882874,3.527677297592163,14,14,15,0.9519591510383884,53.719808702120645,-28.923109790957298,-0.9245383480420057,153.21232884185557,1,0,1,-51.20543837323907,2.394173624838857,-3.0038432495166907,1.5165392059090546,3.364961430793265,3.3289951988698983,12.864021101660247
7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,-67.50447845458984,3.795994520187378,-54.3405003488076,4.011545843358306,-54.3405003488076,4.011545843358306,-70.32421875,14.261902809143066,-65.65401458740234,4.7155842781066895,-4.1773552894592285,-0.4327203929424286,-2.898789405822754,0.9534144401550293,-3.6753487586975098,2.943009376525879,1000000.0,1000000.0,2047.4066162109375,2164.01904296875,0.03141114115715027,0.78822261095047,0.0023958906531333923,0.15282589197158813,0.0,66.79176705753417,51.53253173828125,0.0025668119103284194,1.0,-3.5093414783477783,-0.2925160825252533,-0.050720542669296265,-0.06581109762191772,-3.5347018241882324,-0.32542163133621216,3.5496504306793213,14,14,15,0.9488312222016383,57.21749332626905,-29.245286215088925,-0.9323619635833813,153.19359879581938,1,0,1,-54.315100778017495,4.011010160225453,-3.169880226216982,1.6016662568511892,3.551545501172289,3.5048766959556903,13.191130172230354
8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,-70.70535278320312,4.076558589935303,-57.46586957213685,5.6458409507973215,-57.46586957213685,5.6458409507973215,-70.32421875,14.261902809143066,-65.65401458740234,4.7155842781066895,-4.1773552894592285,-0.4327203929424286,-2.794523239135742,0.8622115254402161,-3.585407018661499,2.8846473693847656,1000000.0,1000000.0,2904.23681640625,3083.375732421875,0.02974848449230194,0.7910919785499573,0.0017673652619123459,0.12850065529346466,0.0,73.607949286148,54.880226135253906,0.0029087916372655615,1.0,-3.5225987434387207,-0.2836639881134033,-0.0526423342525959,-0.0618869811296463,-3.548919916152954,-0.3146074712276459,3.562837600708008,14,14,15,0.9456895661831445,60.73052783688331,-29.557442918631192,-0.9382897880799645,153.03297658149233,1,0,1,-57.43001753112398,5.644003646920405,-3.1851077948764357,1.6205850436231124,3.573682631207975,3.5170120992643144,13.367550638084836
9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,-73.90149688720703,4.35670804977417,-60.58691374605618,7.295614053036056,-60.58691374605618,7.295614053036056,-75.02498626708984,19.050060272216797,-70.32421875,14.261902809143066,-4.1773552894592285,-0.4327203929424286,-2.6091115474700928,0.8708924651145935,-3.4043078422546387,2.895078182220459,1000000.0,1000000.0,2990.066650390625,3171.353759765625,0.028758425265550613,0.7962177395820618,0.0015361737459897995,0.12669765949249268,0.0,80.54112278342342,58.33268737792969,0.0032863994692860455,1.0,-3.5716476440429688,-0.29142510890960693,-0.057203829288482666,-0.06421571969985962,-3.6002495288848877,-0.32353296875953674,3.6147572994232178,14,14,15,0.9425436910911302,64.24828016217657,-29.85423679040072,-0.9430122741196529,152.80086897350472,1,0,1,-60.53796375949431,7.291847051995394,-3.18990907317195,1.639329423539171,3.586491440668164,3.517771687601471,13.682070699197382
