variant,label,frames,MLE_m,MedLE_m,P90_m,P95_m,P99_m,CVaR90_m,LSR@3_pct,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,MS_Latency_ms
frames1,1 frame,200,4.965791116758552,4.324372326149481,8.991608393440595,10.846050394327168,14.376628784727052,11.578343180950156,31.5,59.5,92.5,99.5,100.0,8.963194150944467
frames2,2 frames,200,4.960968990320414,4.318941457524231,8.991572734847534,10.845682686229543,14.373784663981006,11.568521150077036,31.5,59.5,92.5,99.5,100.0,9.451922238746626
full,Full,200,4.978574704908715,4.321057809623114,8.991361267788564,10.847036993372937,14.384093657605327,11.592645044396853,31.0,59.0,92.5,99.5,100.0,7.603794344788689
grid4,4x4,200,4.980942051756531,4.306788567704416,8.991364748291481,10.847062450375981,14.38409412725158,11.597617515133873,31.0,59.5,92.5,99.5,100.0,5.159164058268718
grid5,5x5,200,4.979944694863068,4.327784167999138,8.990946842122415,10.847050206926356,14.384121515147811,11.594891963642471,31.0,59.0,92.5,99.5,100.0,6.521757485254877
grid7,7x7,200,4.977216344753459,4.324987160911973,8.991816385137666,10.847045947106794,14.384066752667163,11.590900627895506,31.0,59.0,92.5,99.5,100.0,11.387214811042726
grid8,8x8,200,4.975683483637468,4.316805967949504,8.992074326448048,10.847033482328236,14.384037831816142,11.588335289506313,31.0,59.5,92.5,99.5,100.0,13.804183073374201
no_gru,w/o GRU,200,5.086681654549872,4.201328680965708,9.005334834904318,11.571992968547324,14.414857970944666,12.031468521178578,28.000000000000004,60.0,91.5,99.5,100.0,9.100998543184392
no_kalman,w/o Kalman,200,4.38865755307769,3.7343175033248,8.03944415795359,9.910551483677201,12.756625395431216,10.132481332848947,39.5,65.0,95.0,100.0,100.0,10.380047934635936
no_ms,w/o MeanShift,200,5.862144526114939,5.119726837243517,11.78219053063263,15.276455233102581,17.106159799743168,15.333229515401054,33.5,49.5,86.5,93.5,100.0,0.0
