variant,label,frames,MLE_m,MedLE_m,P90_m,P95_m,P99_m,CVaR90_m,LSR@3_pct,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,HSR@15_pct,MHE_deg,JumpRate_pct,MeanSpeedError_m_per_frame,MS_Latency_ms
frames1,1 frame,1482,3.882988872803729,3.5531737162796064,6.986823539595737,8.203528122801972,10.545422532886116,8.657256608751688,39.8110661268556,72.46963562753037,98.582995951417,100.0,100.0,39.67611336032389,36.895584710754015,0.4746656914850273,2.406909768457212,5.646433481539991
frames2,2 frames,1482,3.921011143065327,3.5732849314198925,7.070539775882267,8.226770676760381,10.539456574545401,8.661565813135057,39.13630229419703,71.7948717948718,98.51551956815115,100.0,100.0,37.85425101214575,37.00866640488533,0.5427507660570117,2.4738341409860434,6.013534184132258
full,Full,1482,3.7591276968535423,3.4352563389520365,6.837368447506529,8.15163872257047,10.116800219077907,8.349956598251044,41.902834008097166,73.75168690958165,98.85290148448043,100.0,100.0,39.60863697705803,36.87131222906896,0.6104778692081047,2.545651934873354,5.614999740219389
grid4,4x4,1482,4.1681959167593226,3.7510134739707057,7.659848668648661,9.039828635547948,11.59897732556607,9.460130463655695,37.65182186234818,67.13900134952766,97.0310391363023,99.93252361673414,100.0,39.473684210526315,36.96198149959982,1.424103737230563,2.545651934873354,3.0126868889893665
grid5,5x5,1482,3.762507319985099,3.4369025163995337,6.867300348294592,8.17456252277786,10.11406254494853,8.37159118547788,41.902834008097166,73.75168690958165,98.85290148448043,100.0,100.0,39.60863697705803,36.87330017948923,0.7461555146581919,2.545651934873354,3.962167274195421
grid7,7x7,1482,3.7378888053354555,3.4205239830031156,6.820671158884774,7.8938357563267765,9.95704783468453,8.276027318291552,42.037786774628884,73.95411605937922,98.98785425101214,100.0,100.0,39.67611336032389,36.852024238459265,0.4746628284074762,2.545651934873354,6.342284942204558
grid8,8x8,1482,3.738302152364399,3.421152459513534,6.821714952506832,7.896536330235832,9.959097816098716,8.276811994244769,42.037786774628884,74.08906882591093,98.98785425101214,100.0,100.0,39.67611336032389,36.852181855914495,0.4746628284074762,2.545651934873354,8.5416817678104
no_gru,w/o GRU,1482,4.2750757389974705,4.0591645158218626,7.4187593661425835,8.621422572774298,10.44581075299482,8.913306711497073,32.65856950067476,65.92442645074223,98.38056680161942,99.86504723346829,100.0,39.54116059379217,37.04981881727849,0.47480308683556866,5.920715060115537,5.730952217516139
no_kalman,w/o Kalman,1482,3.762718966738891,3.461432091034453,6.81759010923188,8.116693458436155,10.136592023730996,8.374620081122371,41.29554655870445,73.8191632928475,98.85290148448043,100.0,100.0,39.60863697705803,36.808880638385574,0.6104778692081047,2.569022096505934,5.15374303691347
no_ms,w/o MeanShift,1482,6.785480975818239,6.5837655641732,11.510734601126883,12.951262222984946,16.133620676752003,13.43492133763634,15.45209176788124,33.40080971659919,80.90418353576248,98.04318488529015,100.0,39.203778677462886,37.749962985193925,5.6310502216215506,2.545651934873354,0.0
