City,Variant,Frames,MLE_m,MedLE_m,P90_m,P95_m,P99_m,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,Motion_MHE_deg,Motion_MedHE_deg,Motion_HSR@15_pct
citya,full,367,3.9429004447899354,3.715817621439387,6.8051810455298005,8.186706097834572,9.820099668217832,71.38964577656675,99.1825613079019,100.0,100.0,34.55841881086868,20.13201887370787,42.77929155313351
citya,no_gru,367,4.274188372982656,4.0156687262120325,7.303371241335136,8.299200422853264,10.222336766793912,65.66757493188011,98.63760217983652,100.0,100.0,34.53580357510479,20.345484103096293,43.05177111716621
citya,no_kalman,367,3.945817717375308,3.6929539263033684,6.8425355406154535,8.185510792307346,9.881445174389764,71.11716621253406,98.9100817438692,100.0,100.0,34.60799155601229,20.099528651001904,42.77929155313351
citya,no_ms,367,6.822798684679584,6.350549650219565,12.111303903627022,13.528497006517632,17.136393216146253,38.14713896457766,79.291553133515,97.00272479564033,99.72752043596729,36.41730410826292,20.40541742302354,42.234332425068125
citya,frames1,367,3.941226475077527,3.756919163200582,6.805724285590473,8.177463847073142,9.896474159213062,72.20708446866485,98.9100817438692,100.0,100.0,34.613363834761714,20.013331667699003,43.32425068119891
citya,frames2,367,3.9669242794371167,3.7967431117934947,6.799078650952436,8.174990917736153,9.916979577335148,70.84468664850137,98.9100817438692,100.0,100.0,34.559992721555126,20.010209241579133,43.596730245231605
citya,grid4,367,4.461633826417802,4.000237856853592,8.148955696137442,9.52483173485164,13.152080999120813,63.76021798365122,96.45776566757493,99.72752043596729,100.0,34.8057448775777,20.384678585392212,42.50681198910082
citya,grid5,367,3.942513890705054,3.7148166580546045,6.804991327292836,8.182141283636446,9.819168052698052,71.38964577656675,99.1825613079019,100.0,100.0,34.558207656963745,20.13201887370787,42.77929155313351
citya,grid7,367,3.898872546054311,3.651554484434067,6.764744297427135,8.14948891144414,9.469434410171326,72.47956403269755,99.45504087193461,100.0,100.0,34.55471974414981,20.090080484896244,42.77929155313351
citya,grid8,367,3.899556280116551,3.6539153900760115,6.765835346296621,8.151235107237657,9.470475906708273,72.47956403269755,99.45504087193461,100.0,100.0,34.55498983826319,20.09028437555093,42.77929155313351
cityb,full,346,3.289540591091518,2.9638530989245346,5.874552998245411,6.87453513298394,9.149576017050906,82.65895953757226,99.71098265895954,100.0,100.0,37.14248188149943,22.721627925448093,36.99421965317919
cityb,no_gru,346,3.85590214435557,3.6839880782568484,6.772295062105574,7.5931531484050225,9.690133608328997,73.98843930635837,99.13294797687861,100.0,100.0,37.32344221742811,23.67388445498994,36.99421965317919
cityb,no_kalman,346,3.273393505603857,2.8944557205897947,5.879639584039014,6.89069765171625,9.155378693803716,82.65895953757226,99.71098265895954,100.0,100.0,37.11609307522643,22.57451808183295,37.283236994219656
cityb,no_ms,346,5.906196364248266,5.541864072583406,11.03142114792917,11.872783074505765,14.454110634741381,44.797687861271676,86.70520231213872,99.42196531791907,100.0,38.03695566213274,23.827431649874427,36.70520231213873
cityb,frames1,346,3.1796133189946167,2.829424204268907,5.6849210855875985,6.700318237075546,8.90512531323774,83.52601156069365,99.71098265895954,100.0,100.0,37.34237982112295,22.850581580458286,37.57225433526011
cityb,frames2,346,3.235438175663963,2.917537227057226,5.8711757232112625,6.877594667221323,9.090412579608186,82.65895953757226,99.71098265895954,100.0,100.0,37.18228470050114,23.105567618125516,36.99421965317919
cityb,grid4,346,3.7439609152255273,3.384173637837619,6.972499480017214,8.223622742756099,10.59244759528023,74.27745664739885,98.26589595375722,100.0,100.0,37.043229549090206,22.722146294011594,37.283236994219656
cityb,grid5,346,3.2909215303029793,2.964724570535743,5.876773410995403,6.874471998360756,9.150779419787352,82.65895953757226,99.71098265895954,100.0,100.0,37.14252882639152,22.721431643708897,36.99421965317919
cityb,grid7,346,3.2764146076056533,2.955743135721975,5.8431289705199045,6.874292129208188,9.15035907014622,82.94797687861272,99.71098265895954,100.0,100.0,37.142668664722756,22.7213259521167,36.99421965317919
cityb,grid8,346,3.276841762938661,2.952673218102131,5.845476498351339,6.874334943876334,9.149212069466454,82.94797687861272,99.71098265895954,100.0,100.0,37.14260873650557,22.721622892625845,36.99421965317919
cityc,full,386,3.666622057841941,3.327230502688715,6.630654200726783,7.624683008151316,10.744742226874363,76.68393782383419,98.18652849740933,100.0,100.0,35.950721712936506,21.939722662145577,37.30569948186528
cityc,no_gru,386,4.091041979964301,3.73989791837556,7.108978641274387,8.191478656369357,10.830830094192814,69.94818652849742,98.44559585492227,100.0,100.0,36.053031820764566,22.02021660866854,37.30569948186528
cityc,no_kalman,386,3.6766761344104633,3.2804108208820724,6.646977089965247,7.590304076283074,10.901001897191515,76.68393782383419,98.18652849740933,100.0,100.0,35.945058946967755,21.966289422936782,37.04663212435233
cityc,no_ms,386,6.863454412091233,6.789757238180732,11.781561930151529,13.908514003944846,16.64983785898848,35.49222797927461,80.56994818652849,97.66839378238342,100.0,36.680647152816775,22.236215619518063,36.52849740932643
cityc,frames1,386,3.6608377869998865,3.29169501894399,6.639172434982008,7.615011880335746,10.697830677718283,76.42487046632125,98.18652849740933,100.0,100.0,35.947797013715636,21.937194618403684,37.30569948186528
cityc,frames2,386,3.660805217960116,3.28959991361958,6.6283268126302195,7.625436759894082,10.7157642665903,76.42487046632125,98.18652849740933,100.0,100.0,35.951450741593,21.92116217433466,37.30569948186528
cityc,grid4,386,4.204221029216897,3.6089733564787467,7.864204815456017,9.349574647429957,12.00736053233557,69.17098445595855,96.11398963730569,100.0,100.0,35.96322373485773,21.939435838749326,37.04663212435233
cityc,grid5,386,3.6661709133677753,3.3289344708684148,6.6296761115468135,7.623009922850833,10.744349925816142,76.68393782383419,98.18652849740933,100.0,100.0,35.95025246034066,21.939839550890795,37.30569948186528
cityc,grid7,386,3.6425445825203484,3.3160513721859295,6.603458704912164,7.6145057861454575,10.733095603452751,77.46113989637306,98.18652849740933,100.0,100.0,35.95331631414116,21.891910443307737,37.30569948186528
cityc,grid8,386,3.643047277746471,3.3153515517418555,6.606175435738402,7.616021408038399,10.733535340676308,77.46113989637306,98.18652849740933,100.0,100.0,35.95361526386088,21.897811578895436,37.30569948186528
cityd,full,375,3.5653990366978126,3.340636281400925,5.928505848244898,6.8135166275665915,9.343968913897202,81.06666666666666,99.46666666666667,99.73333333333333,100.0,34.91003383555985,22.193068849137173,38.93333333333333
cityd,no_gru,375,4.172043461975288,4.006955758157347,6.617863728757472,7.585029348786635,11.140459442996658,70.13333333333334,98.4,99.73333333333333,100.0,35.137389606757644,21.649207866013498,38.93333333333333
cityd,no_kalman,375,3.4327550309229578,3.2806188968406884,5.856953664471714,6.695209595543799,8.280925130796385,82.93333333333334,100.0,100.0,100.0,34.83196892452192,22.205688311589707,39.2
cityd,no_ms,375,6.588606471477469,6.478464613998515,10.627094166833857,12.14549783047269,17.643916284478422,32.0,86.93333333333332,98.4,99.46666666666667,37.179952579965494,22.840289498120104,36.8
cityd,frames1,375,3.580454468297116,3.362118378646611,6.060743923331301,6.907963721449785,9.67618972651521,80.80000000000001,99.46666666666667,99.73333333333333,100.0,34.71697700841631,21.09870568604465,40.266666666666666
cityd,frames2,375,3.5302148789900225,3.2729427156038025,5.94057541712265,6.704019198760871,9.384301527148077,81.06666666666666,99.46666666666667,100.0,100.0,34.900911550874774,21.63748125689671,39.2
cityd,grid4,375,3.974730154206943,3.6154248889658174,6.824106863269578,8.273125145398517,10.880188060645764,73.33333333333333,98.13333333333333,99.46666666666667,99.73333333333333,35.059207396643615,22.31026519031657,38.4
cityd,grid5,375,3.565394655792603,3.339262949520459,5.927046127592155,6.813832053859067,9.341813151250228,81.06666666666666,99.46666666666667,99.73333333333333,100.0,34.909366048230275,22.193068849137173,38.93333333333333
cityd,grid7,375,3.5320028048756917,3.3138431128021386,5.92702643129919,6.808485081914276,8.842349158877818,81.6,99.73333333333333,100.0,100.0,34.90253198426199,22.193068849137173,38.93333333333333
cityd,grid8,375,3.5324263203278266,3.3149843588311576,5.927804443781668,6.808639208335977,8.843614235598272,81.6,99.73333333333333,100.0,100.0,34.90275683528599,22.193068849137173,38.93333333333333
