sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,search_heading_deg,forward_local_candidate_count,forward_recovery_candidate_count,selected_branch,selected_local_index,selected_recovery_index,endpoint_distance_m,transition_probability,current_leg_visual_top1,next_leg_visual_top1,next_visual_stronger,within_transition_zone,transition_selected,waypoint_switched_after_frame,mission_complete,gt_x,gt_y,hold_x,hold_y,local_x,local_y,recovery_x,recovery_y,fusion_hold,fusion_local,fusion_recovery,visual_x,visual_y,measurement_var_x,measurement_var_y,final_x,final_y,error_visual_m,error_final_m
0,0,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,0,1,173.90999868913076,18,18,0,14,0,731.5633544921875,0.1347784847021103,1.7473210096359253,1.7473210096359253,0,0,0,0,0,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,0.34289711713790894,0.30639076232910156,0.3507120907306671,-18.780746459960938,-2.1595981121063232,14.486532478633423,14.486532478633423,-18.780746459960938,-2.1595981121063232,0.0,0.0
1,1,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,0,1,173.90999868913076,18,18,0,14,0,731.5633544921875,0.14659976959228516,1.7769529819488525,1.7769529819488525,0,0,0,0,0,-25.919267654418945,-1.4582853317260742,-18.780746459960938,-2.1595981121063232,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,0.33426734805107117,0.30980855226516724,0.3559240698814392,-18.780746459960938,-2.1595981121063232,14.487326277764272,14.487326277764272,-18.780746459960938,-2.1595981121063232,7.172888278961182,7.172888153292986
2,2,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,0,1,173.90999868913076,18,18,0,14,0,731.5633544921875,0.14111123979091644,1.894400954246521,1.894400954246521,0,0,0,0,0,-28.881437301635742,-1.16508948802948,-18.780746459960938,-2.1595981121063232,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,0.33537325263023376,0.3080202639102936,0.3566063940525055,-18.780746459960938,-2.1595981121063232,14.485850338369906,14.485850338369906,-18.780746459960938,-2.1595981121063232,10.149532318115234,10.149532150914961
3,3,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,0,1,173.90999868913076,18,18,0,14,0,731.5633544921875,0.12527716159820557,1.921467661857605,1.9174944162368774,0,0,0,0,0,-31.84273910522461,-0.8719794154167175,-18.780746459960938,-2.1595981121063232,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,0.33465659618377686,0.3078443706035614,0.35749906301498413,-18.780746459960938,-2.1595981121063232,14.485282649579297,14.485282649579297,-18.780746459960938,-2.1595981121063232,13.125304222106934,13.125304330680752
4,4,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,0,1,173.90999868913076,18,18,0,14,0,731.5633544921875,0.11777399480342865,1.9194142818450928,1.9172879457473755,0,0,0,0,0,-34.80412292480469,-0.5788613557815552,-18.780746459960938,-2.1595981121063232,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,0.3309732675552368,0.3106551468372345,0.3583715260028839,-18.780746459960938,-2.1595981121063232,14.486414387220512,14.486414387220512,-18.780746459960938,-2.1595981121063232,16.101158142089844,16.101159027439756
5,5,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,0,1,173.90999868913076,18,18,0,14,0,731.5633544921875,0.11543720960617065,1.9793821573257446,1.940323829650879,0,0,0,0,0,-38.077056884765625,-0.2521708011627197,-18.780746459960938,-2.1595981121063232,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,0.3303923010826111,0.3110061585903168,0.35860154032707214,-18.780746459960938,-2.1595981121063232,14.48643947877965,14.48643947877965,-18.780746459960938,-2.1595981121063232,19.39035415649414,19.390355204507205
6,6,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,0,1,173.90999868913076,18,18,0,14,0,731.5633544921875,0.12369652092456818,1.8623558282852173,1.8623558282852173,0,0,0,0,0,-41.34334182739258,0.07385636121034622,-18.780746459960938,-2.1595981121063232,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,0.32810109853744507,0.3132442533969879,0.35865458846092224,-18.780746459960938,-2.1595981121063232,14.487350013635059,14.487350013635059,-18.780746459960938,-2.1595981121063232,22.672870635986328,22.672869880075304
7,7,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,0,1,173.90999868913076,18,18,0,14,0,731.5633544921875,0.11961396783590317,1.773354411125183,1.773354411125183,0,0,0,0,0,-44.61831283569336,0.40075016021728516,-18.780746459960938,-2.1595981121063232,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,0.31806063652038574,0.3224681615829468,0.3594712018966675,-18.780746459960938,-2.1595981121063232,14.487857466499143,14.487857466499143,-18.780746459960938,-2.1595981121063232,25.964113235473633,25.964114071078356
8,8,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,0,1,173.90999868913076,18,18,0,14,0,731.5633544921875,0.11473234742879868,1.8358235359191895,1.8358235359191895,0,0,0,0,0,-47.93851089477539,0.7270652055740356,-18.780746459960938,-2.1595981121063232,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,0.31873810291290283,0.3217950463294983,0.35946691036224365,-18.780746459960938,-2.1595981121063232,14.487923777334714,14.487923777334714,-18.780746459960938,-2.1595981121063232,29.300308227539062,29.30030805206273
9,9,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,0,1,173.90999868913076,18,18,0,14,0,731.5633544921875,0.11390940845012665,1.7230676412582397,1.7230676412582397,0,0,0,0,0,-51.25859451293945,1.0533686876296997,-18.780746459960938,-2.1595981121063232,-27.772829055786133,9.233684539794922,-27.772829055786133,9.233684539794922,0.3107512295246124,0.3296924829483032,0.35955625772476196,-18.780746459960938,-2.1595981121063232,14.485681184936182,14.485681184936182,-18.780746459960938,-2.1595981121063232,32.63638687133789,32.63638720521262
