variant,label,frames,MLE_m,MedLE_m,P90_m,P95_m,P99_m,CVaR90_m,LSR@3_pct,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,MS_Latency_ms
frames1,1 frame,317,3.735118198677473,3.4577921681898798,6.632544531203108,8.060364356857008,9.505978914226242,8.2657684413486,41.95583596214511,73.50157728706624,99.05362776025235,100.0,100.0,5.900137474641206
frames2,2 frames,317,3.752386791100707,3.4654480988747043,6.633984776192055,8.05347263881265,9.554868058244676,8.28276239037844,41.32492113564668,73.18611987381703,99.05362776025235,100.0,100.0,5.421637538814405
full,Full,317,3.647779842393882,3.3283302877709375,6.545122620350365,8.004548797856728,9.369853594738505,8.162959916920872,44.164037854889585,75.0788643533123,99.05362776025235,100.0,100.0,5.151550826523897
grid4,4x4,317,3.8962464733421105,3.544243916529733,7.193398613073795,8.632180477849795,9.959618597219533,8.727362790326172,40.37854889589905,72.87066246056783,98.73817034700315,100.0,100.0,2.8518160934134573
grid5,5x5,317,3.6487570789319865,3.3276847206524205,6.543413860610489,8.002250275959105,9.368006467492577,8.163207864046612,44.164037854889585,75.0788643533123,99.05362776025235,100.0,100.0,3.7367352715019013
grid7,7x7,317,3.6440672377848213,3.3272658143474185,6.541982652402492,8.001588794114877,9.367133458085766,8.160450107070652,44.164037854889585,75.0788643533123,99.05362776025235,100.0,100.0,6.843969523966049
grid8,8x8,317,3.6445661964857323,3.3280465292802255,6.543716316904639,8.00445226200063,9.36875070430065,8.161580841752528,44.164037854889585,75.0788643533123,99.05362776025235,100.0,100.0,7.957052758787405
no_gru,w/o GRU,317,4.171822801571432,3.9277147845553158,6.9891098963069105,8.853552602919759,10.419226193229283,8.84199512802212,33.4384858044164,69.4006309148265,98.10725552050474,100.0,100.0,5.298453351657159
no_kalman,w/o Kalman,317,3.670870478288266,3.4037508031404258,6.672798726888379,7.996492041039749,9.40856153664967,8.192297523572396,43.84858044164038,75.0788643533123,99.05362776025235,100.0,100.0,5.454821133654873
no_ms,w/o MeanShift,317,6.146952385528102,5.982568689194735,10.646750358249415,11.682321477967701,14.233927176859963,12.239199822629843,17.981072555205046,37.85488958990536,87.69716088328076,99.6845425867508,100.0,0.0
