pair_current_index,pair_next_index,current_frame_id,next_frame_id,current_image_path,next_image_path,is_initial_frame,reference_current_x,reference_current_y,search_center_x,search_center_y,search_center_error_m,final_ms_x,final_ms_y,final_error_m,variance_x,variance_y,ms_candidate_count,reference_next_x,reference_next_y,provisional_next_x,provisional_next_y,provisional_next_error_m,kalman_current_xy_x,kalman_current_xy_y,gru_next_xy_x,gru_next_xy_y,ms_correction_gain_m,ms_improved_search_center
0,1,0,1,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000000.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,True,-37.63298034667969,0.8348962068557739,-37.632978691184114,0.8348961808190729,1.6557003061335768e-06,-29.69103240966797,0.6151264905929565,7.944988090764576,9.731626510620117,48.01460266113281,36,-47.69226837158203,1.7922438383102417,-31.053752899169922,0.30949798226356506,16.704452472299735,-30.963647842407227,0.7216981649398804,-31.053752899169922,0.30949798226356506,,
1,2,1,2,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000001.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,False,-47.69226837158203,1.7922438383102417,-31.053752899169922,0.30949798226356506,16.704452472299735,-27.68947982788086,1.5698906183242798,20.004024357075277,17.700273513793945,54.681270599365234,36,-50.9120979309082,2.1374623775482178,-31.041000366210938,0.2105116844177246,19.96430958985243,-27.691190719604492,1.1724971532821655,-31.041000366210938,0.2105116844177246,-3.299571884775542,False
2,3,2,3,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000002.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,False,-50.9120979309082,2.1374623775482178,-31.041000366210938,0.2105116844177246,19.96430958985243,-26.830045700073242,1.2672621011734009,24.097769360869606,14.480888366699219,55.95198059082031,36,-54.1414794921875,2.4837052822113037,-30.34222412109375,2.025594711303711,23.803664035473865,-26.1293888092041,1.3026070594787598,-30.34222412109375,2.025594711303711,-4.133459771017176,False
3,4,3,4,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000003.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,False,-54.1414794921875,2.4837052822113037,-30.34222412109375,2.025594711303711,23.803664035473865,-26.645055770874023,1.3876272439956665,27.51826129187433,14.478670120239258,59.27398681640625,36,-57.659645080566406,2.8609108924865723,-30.226795196533203,3.713672161102295,27.44610089869145,-25.55170249938965,1.4232381582260132,-30.226795196533203,3.713672161102295,-3.7145972564004666,False
4,5,4,5,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000004.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,False,-57.659645080566406,2.8609108924865723,-30.226795196533203,3.713672161102295,27.44610089869145,-26.504093170166016,4.414743900299072,31.194275305860547,13.821991920471191,53.010093688964844,36,-60.85377502441406,3.1642963886260986,-30.429800033569336,6.271468162536621,30.58222965508126,-25.414209365844727,3.038623809814453,-30.429800033569336,6.271468162536621,-3.7481744071690954,False
5,6,5,6,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000005.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,False,-60.85377502441406,3.1642963886260986,-30.429800033569336,6.271468162536621,30.58222965508126,-26.424264907836914,4.260858535766602,34.44696815991256,14.16673469543457,53.84043502807617,36,-64.02477264404297,3.465484857559204,-31.4615535736084,6.930412292480469,32.747045032466424,-25.448257446289062,3.9035677909851074,-31.4615535736084,6.930412292480469,-3.8647385048312977,False
6,7,6,7,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000006.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,False,-64.02477264404297,3.465484857559204,-31.4615535736084,6.930412292480469,32.747045032466424,-26.690980911254883,6.873903274536133,37.48905601975573,14.927078247070312,52.77634811401367,36,-67.50447845458984,3.795994520187378,-31.585330963134766,9.130663871765137,36.313136102567164,-25.743623733520508,5.590473175048828,-31.585330963134766,9.130663871765137,-4.742010987289305,False
7,8,7,8,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000007.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,False,-67.50447845458984,3.795994520187378,-31.585330963134766,9.130663871765137,36.313136102567164,-26.97245216369629,6.827540874481201,40.645238694635786,17.459165573120117,54.208282470703125,36,-70.70535278320312,4.076558589935303,-31.801692962646484,9.738273620605469,39.313480697110876,-26.135009765625,6.628605365753174,-31.801692962646484,9.738273620605469,-4.3321025920686225,False
8,9,8,9,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000008.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,False,-70.70535278320312,4.076558589935303,-31.801692962646484,9.738273620605469,39.313480697110876,-26.454181671142578,6.331350326538086,44.30857964959286,18.277847290039062,55.949134826660156,36,-73.90149688720703,4.35670804977417,-31.749614715576172,10.30417537689209,42.56939673307794,-26.212505340576172,7.04641056060791,-31.749614715576172,10.30417537689209,-4.995098952481982,False
9,10,9,10,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000009.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000010.jpg,False,-73.90149688720703,4.35670804977417,-31.749614715576172,10.30417537689209,42.56939673307794,-27.121742248535156,6.488847732543945,46.828319035399765,22.923095703125,58.445701599121094,36,-77.41057586669922,4.6642866134643555,-31.500614166259766,10.149297714233398,46.23645672098347,-26.57992172241211,7.297829627990723,-31.500614166259766,10.149297714233398,-4.258922302321828,False
10,11,10,11,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000010.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000011.jpg,False,-77.41057586669922,4.6642866134643555,-31.500614166259766,10.149297714233398,46.23645672098347,-26.696014404296875,4.9752607345581055,50.715514876887276,20.192989349365234,56.930992126464844,36,-80.71418762207031,4.9646830558776855,-32.06702423095703,9.614141464233398,48.868844568832415,-26.666873931884766,6.724180221557617,-32.06702423095703,9.614141464233398,-4.479058155903807,False
11,12,11,12,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000011.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000012.jpg,False,-80.71418762207031,4.9646830558776855,-32.06702423095703,9.614141464233398,48.868844568832415,-27.303386688232422,4.556730270385742,53.412358886958444,28.731504440307617,57.69435501098633,36,-84.01985931396484,5.2652668952941895,-31.868709564208984,9.108748435974121,52.29258810362141,-26.973581314086914,6.046169757843018,-31.868709564208984,9.108748435974121,-4.543514318126029,False
12,13,12,13,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000012.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000013.jpg,False,-84.01985931396484,5.2652668952941895,-31.868709564208984,9.108748435974121,52.29258810362141,-26.292076110839844,4.099195957183838,57.739559012688225,20.61602210998535,53.1632080078125,36,-87.32689666748047,5.565974712371826,-31.685869216918945,8.12829875946045,55.699994975551206,-26.671831130981445,5.265881538391113,-31.685869216918945,8.12829875946045,-5.446970909066813,False
13,14,13,14,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000013.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000014.jpg,False,-87.32689666748047,5.565974712371826,-31.685869216918945,8.12829875946045,55.699994975551206,-25.81781578063965,3.2598612308502197,61.552296390415705,11.098421096801758,51.2299690246582,36,-90.52931213378906,5.903904438018799,-30.806150436401367,7.649038791656494,59.748653014478606,-26.107830047607422,4.33328914642334,-30.806150436401367,7.649038791656494,-5.852301414864499,False
14,15,14,15,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000014.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000015.jpg,False,-90.52931213378906,5.903904438018799,-30.806150436401367,7.649038791656494,59.748653014478606,-26.19520378112793,2.953221321105957,64.4017393273534,14.321447372436523,46.88072967529297,36,-93.73101806640625,6.241759300231934,-28.934999465942383,4.359619140625,64.82334824777307,-26.076101303100586,3.541597604751587,-28.934999465942383,4.359619140625,-4.653086312874791,False
15,16,15,16,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000015.jpg,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000016.jpg,False,-93.73101806640625,6.241759300231934,-28.934999465942383,4.359619140625,64.82334824777307,-21.95667266845703,-0.31899958848953247,72.0735750084596,21.813121795654297,42.65911865234375,36,-97.24320983886719,6.612377643585205,-28.57101821899414,1.8091435432434082,68.83996629647089,-24.234333038330078,1.5304111242294312,-28.57101821899414,1.8091435432434082,-7.25022676068653,False
