variant,label,frames,MLE_m,MedLE_m,P90_m,P95_m,P99_m,CVaR90_m,LSR@3_pct,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,MS_Latency_ms
frames1,1 frame,375,3.580454468297116,3.362118378646611,6.060743923331301,6.907963721449786,9.67618972651521,7.595429070305775,41.333333333333336,80.80000000000001,99.46666666666667,99.73333333333333,100.0,5.0784103282990944
frames2,2 frames,375,3.5302148789900225,3.272942715603803,5.94057541712265,6.704019198760871,9.384301527148075,7.296733139589435,42.66666666666667,81.06666666666666,99.46666666666667,100.0,100.0,5.153305201621206
full,Full,375,3.5653990366978126,3.340636281400925,5.928505848244898,6.813516627566592,9.343968913897202,7.536148173398085,43.2,81.06666666666666,99.46666666666667,99.73333333333333,100.0,5.056392363796434
grid4,4x4,375,3.974730154206943,3.615424888965818,6.824106863269578,8.273125145398517,10.880188060645764,9.02863301076765,38.13333333333333,73.33333333333333,98.13333333333333,99.46666666666667,99.73333333333333,3.0106962063437193
grid5,5x5,375,3.565394655792603,3.3392629495204584,5.927046127592155,6.813832053859066,9.34181315125023,7.540404374984538,43.2,81.06666666666666,99.46666666666667,99.73333333333333,100.0,3.8555958584551226
grid7,7x7,375,3.5320028048756917,3.3138431128021386,5.927026431299189,6.808485081914277,8.842349158877818,7.290084539481738,43.2,81.6,99.73333333333333,100.0,100.0,6.459648476854374
grid8,8x8,375,3.5324263203278266,3.3149843588311576,5.927804443781668,6.808639208335977,8.843614235598272,7.290282443410136,43.2,81.6,99.73333333333333,100.0,100.0,7.901703784221623
no_gru,w/o GRU,375,4.172043461975288,4.006955758157347,6.617863728757472,7.585029348786635,11.140459442996658,8.338746455167689,29.06666666666667,70.13333333333334,98.4,99.73333333333333,100.0,5.246104243809614
no_kalman,w/o Kalman,375,3.4327550309229578,3.2806188968406884,5.856953664471714,6.6952095955437985,8.280925130796385,6.954155413000067,44.266666666666666,82.93333333333334,100.0,100.0,100.0,5.16898320389241
no_ms,w/o MeanShift,375,6.588606471477468,6.478464613998515,10.627094166833857,12.145497830472692,17.643916284478422,13.296598612515663,16.266666666666666,32.0,86.93333333333332,98.4,99.46666666666667,0.0
