[cpu-fix] GPU satellite grid lookup enabled; CPU threads/process=2
[GK-segclosed] epoch=001/60 segment_frames=16 train_next_loss=14.828954 provisional_mle=24.440m search_mle=21.556m final_ms_mle=22.815m within20=56.09% best=14.828954
[GK-segclosed] epoch=002/60 segment_frames=17 train_next_loss=14.531848 provisional_mle=24.008m search_mle=21.312m final_ms_mle=22.456m within20=56.36% best=14.531848
[GK-segclosed] epoch=003/60 segment_frames=19 train_next_loss=16.264661 provisional_mle=26.984m search_mle=24.284m final_ms_mle=25.352m within20=51.55% best=14.531848
[GK-segclosed] epoch=004/60 segment_frames=20 train_next_loss=17.227873 provisional_mle=28.955m search_mle=26.183m final_ms_mle=27.093m within20=48.91% best=14.531848
[GK-segclosed] epoch=005/60 segment_frames=21 train_next_loss=16.830460 provisional_mle=28.724m search_mle=26.043m final_ms_mle=26.847m within20=49.90% best=14.531848
[GK-segclosed] epoch=006/60 segment_frames=23 train_next_loss=18.918027 provisional_mle=32.205m search_mle=29.522m final_ms_mle=30.264m within20=43.72% best=14.531848
[GK-segclosed] epoch=007/60 segment_frames=24 train_next_loss=19.325809 provisional_mle=33.410m search_mle=30.742m final_ms_mle=31.340m within20=45.04% best=14.531848
[GK-segclosed] epoch=008/60 segment_frames=25 train_next_loss=18.848428 provisional_mle=32.424m search_mle=29.902m final_ms_mle=30.695m within20=43.55% best=14.531848
[GK-segclosed] epoch=009/60 segment_frames=27 train_next_loss=19.378594 provisional_mle=33.229m search_mle=30.730m final_ms_mle=31.363m within20=44.77% best=14.531848
[GK-segclosed] epoch=010/60 segment_frames=28 train_next_loss=20.890687 provisional_mle=35.839m search_mle=33.358m final_ms_mle=33.856m within20=40.80% best=14.531848
[GK-segclosed] epoch=011/60 segment_frames=30 train_next_loss=23.155930 provisional_mle=39.918m search_mle=37.345m final_ms_mle=37.974m within20=38.32% best=14.531848
[GK-segclosed] epoch=012/60 segment_frames=31 train_next_loss=25.665529 provisional_mle=44.203m search_mle=41.458m final_ms_mle=42.267m within20=34.72% best=14.531848
[GK-segclosed] epoch=013/60 segment_frames=32 train_next_loss=25.200411 provisional_mle=43.864m search_mle=41.249m final_ms_mle=41.966m within20=35.59% best=14.531848
[GK-segclosed] epoch=014/60 segment_frames=34 train_next_loss=25.708628 provisional_mle=45.036m search_mle=42.526m final_ms_mle=43.176m within20=32.75% best=14.531848
[GK-segclosed] epoch=015/60 segment_frames=35 train_next_loss=26.050152 provisional_mle=44.985m search_mle=42.585m final_ms_mle=43.038m within20=31.45% best=14.531848
[GK-segclosed] epoch=016/60 segment_frames=36 train_next_loss=28.851055 provisional_mle=50.178m search_mle=47.565m final_ms_mle=48.334m within20=29.13% best=14.531848
[GK-segclosed] epoch=017/60 segment_frames=38 train_next_loss=29.479689 provisional_mle=51.949m search_mle=49.420m final_ms_mle=50.101m within20=27.82% best=14.531848
[GK-segclosed] epoch=018/60 segment_frames=39 train_next_loss=27.855756 provisional_mle=49.139m search_mle=46.805m final_ms_mle=47.489m within20=29.96% best=14.531848
[GK-segclosed] epoch=019/60 segment_frames=40 train_next_loss=29.202227 provisional_mle=49.708m search_mle=47.272m final_ms_mle=47.977m within20=31.79% best=14.531848
[GK-segclosed] epoch=020/60 segment_frames=42 train_next_loss=30.971764 provisional_mle=54.037m search_mle=51.597m final_ms_mle=52.529m within20=29.45% best=14.531848
[GK-segclosed] epoch=021/60 segment_frames=43 train_next_loss=27.448378 provisional_mle=48.047m search_mle=45.898m final_ms_mle=46.761m within20=32.84% best=14.531848
[GK-segclosed] epoch=022/60 segment_frames=44 train_next_loss=28.670537 provisional_mle=51.305m search_mle=49.042m final_ms_mle=49.863m within20=36.56% best=14.531848
[GK-segclosed] epoch=023/60 segment_frames=46 train_next_loss=31.054419 provisional_mle=54.580m search_mle=52.256m final_ms_mle=53.175m within20=34.20% best=14.531848
[GK-segclosed] epoch=024/60 segment_frames=47 train_next_loss=34.483349 provisional_mle=58.624m search_mle=56.163m final_ms_mle=57.401m within20=29.48% best=14.531848
[GK-segclosed] epoch=025/60 segment_frames=49 train_next_loss=30.780210 provisional_mle=53.975m search_mle=51.905m final_ms_mle=52.850m within20=33.67% best=14.531848
[GK-segclosed] epoch=026/60 segment_frames=50 train_next_loss=30.803695 provisional_mle=53.200m search_mle=51.092m final_ms_mle=51.592m within20=34.30% best=14.531848
[GK-segclosed] epoch=027/60 segment_frames=51 train_next_loss=35.282320 provisional_mle=60.851m search_mle=58.546m final_ms_mle=60.050m within20=31.14% best=14.531848
[GK-segclosed] epoch=028/60 segment_frames=53 train_next_loss=33.005904 provisional_mle=56.577m search_mle=54.471m final_ms_mle=55.681m within20=36.20% best=14.531848
[GK-segclosed] epoch=029/60 segment_frames=54 train_next_loss=32.830797 provisional_mle=57.741m search_mle=55.616m final_ms_mle=56.254m within20=31.72% best=14.531848
[GK-segclosed] epoch=030/60 segment_frames=55 train_next_loss=37.174555 provisional_mle=65.345m search_mle=63.112m final_ms_mle=64.494m within20=27.55% best=14.531848
[GK-segclosed] epoch=031/60 segment_frames=57 train_next_loss=40.970706 provisional_mle=70.170m search_mle=67.953m final_ms_mle=68.341m within20=26.68% best=14.531848
[GK-segclosed] epoch=032/60 segment_frames=58 train_next_loss=29.458309 provisional_mle=53.289m search_mle=51.584m final_ms_mle=52.447m within20=33.50% best=14.531848
[GK-segclosed] epoch=033/60 segment_frames=59 train_next_loss=32.876874 provisional_mle=57.717m search_mle=55.858m final_ms_mle=56.943m within20=32.78% best=14.531848
