[cpu-fix] GPU satellite grid lookup enabled; CPU threads/process=2
[KG-segclosed] epoch=001/60 segment_frames=16 train_next_loss=14.648271 provisional_mle=24.361m search_mle=21.488m final_ms_mle=22.746m within20=56.32% best=14.648271
[KG-segclosed] epoch=002/60 segment_frames=17 train_next_loss=14.378660 provisional_mle=24.011m search_mle=21.316m final_ms_mle=22.461m within20=56.31% best=14.378660
[KG-segclosed] epoch=003/60 segment_frames=19 train_next_loss=16.103892 provisional_mle=26.953m search_mle=24.249m final_ms_mle=25.325m within20=51.43% best=14.378660
[KG-segclosed] epoch=004/60 segment_frames=20 train_next_loss=17.055079 provisional_mle=28.863m search_mle=26.089m final_ms_mle=27.026m within20=48.86% best=14.378660
[KG-segclosed] epoch=005/60 segment_frames=21 train_next_loss=17.051986 provisional_mle=29.064m search_mle=26.356m final_ms_mle=27.203m within20=50.82% best=14.378660
[KG-segclosed] epoch=006/60 segment_frames=23 train_next_loss=18.782596 provisional_mle=31.958m search_mle=29.307m final_ms_mle=29.995m within20=44.70% best=14.378660
[KG-segclosed] epoch=007/60 segment_frames=24 train_next_loss=19.096428 provisional_mle=33.088m search_mle=30.445m final_ms_mle=31.034m within20=45.16% best=14.378660
[KG-segclosed] epoch=008/60 segment_frames=25 train_next_loss=19.065536 provisional_mle=32.908m search_mle=30.358m final_ms_mle=31.154m within20=43.38% best=14.378660
[KG-segclosed] epoch=009/60 segment_frames=27 train_next_loss=19.522961 provisional_mle=33.710m search_mle=31.139m final_ms_mle=31.916m within20=44.14% best=14.378660
[KG-segclosed] epoch=010/60 segment_frames=28 train_next_loss=20.876638 provisional_mle=36.006m search_mle=33.507m final_ms_mle=33.986m within20=40.97% best=14.378660
[KG-segclosed] epoch=011/60 segment_frames=30 train_next_loss=23.325507 provisional_mle=40.126m search_mle=37.569m final_ms_mle=38.219m within20=37.63% best=14.378660
[KG-segclosed] epoch=012/60 segment_frames=31 train_next_loss=25.553748 provisional_mle=44.105m search_mle=41.356m final_ms_mle=42.250m within20=35.04% best=14.378660
[KG-segclosed] epoch=013/60 segment_frames=32 train_next_loss=25.375038 provisional_mle=44.168m search_mle=41.520m final_ms_mle=42.229m within20=35.36% best=14.378660
[KG-segclosed] epoch=014/60 segment_frames=34 train_next_loss=26.364346 provisional_mle=46.499m search_mle=43.862m final_ms_mle=44.582m within20=31.55% best=14.378660
[KG-segclosed] epoch=015/60 segment_frames=35 train_next_loss=26.862663 provisional_mle=45.908m search_mle=43.382m final_ms_mle=44.047m within20=32.54% best=14.378660
[KG-segclosed] epoch=016/60 segment_frames=36 train_next_loss=28.675570 provisional_mle=50.462m search_mle=47.812m final_ms_mle=48.529m within20=29.30% best=14.378660
[KG-segclosed] epoch=017/60 segment_frames=38 train_next_loss=29.620093 provisional_mle=51.459m search_mle=48.917m final_ms_mle=49.618m within20=28.22% best=14.378660
[KG-segclosed] epoch=018/60 segment_frames=39 train_next_loss=28.525628 provisional_mle=50.135m search_mle=47.725m final_ms_mle=48.357m within20=29.29% best=14.378660
[KG-segclosed] epoch=019/60 segment_frames=40 train_next_loss=28.452978 provisional_mle=49.013m search_mle=46.600m final_ms_mle=47.199m within20=31.40% best=14.378660
[KG-segclosed] epoch=020/60 segment_frames=42 train_next_loss=30.906429 provisional_mle=53.996m search_mle=51.589m final_ms_mle=52.407m within20=27.35% best=14.378660
[KG-segclosed] epoch=021/60 segment_frames=43 train_next_loss=31.456300 provisional_mle=54.500m search_mle=52.051m final_ms_mle=52.622m within20=27.08% best=14.378660
[KG-segclosed] epoch=022/60 segment_frames=44 train_next_loss=31.461614 provisional_mle=56.093m search_mle=53.577m final_ms_mle=54.433m within20=30.72% best=14.378660
[KG-segclosed] epoch=023/60 segment_frames=46 train_next_loss=32.292065 provisional_mle=55.923m search_mle=53.649m final_ms_mle=54.118m within20=30.53% best=14.378660
[KG-segclosed] epoch=024/60 segment_frames=47 train_next_loss=34.619912 provisional_mle=59.912m search_mle=57.453m final_ms_mle=58.575m within20=29.08% best=14.378660
