method,family,city,route,frames,Recall@1_pct,MLE_m,MedLE_m,P90_m,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,HSR@15_pct,MHE_deg,note
Ours-v39,temporal-local-refinement,citya,test_01,162,98.76543209876543,3.889826564046176,3.5490097783062526,6.804947147587032,72.22222222222221,99.38271604938271,100.0,100.0,,,our controlled local-prior temporal refinement protocol
Ours-v39,temporal-local-refinement,citya,test_02,205,97.07317073170732,4.150920031761821,3.853856931520039,7.237214452414537,62.4390243902439,100.0,100.0,100.0,,,our controlled local-prior temporal refinement protocol
Ours-v39,temporal-local-refinement,cityb,test_01,160,96.25,3.485859463822544,2.8803988603072845,6.8666557468612,73.75,100.0,100.0,100.0,,,our controlled local-prior temporal refinement protocol
Ours-v39,temporal-local-refinement,cityb,test_02,186,96.23655913978494,3.841235055047556,3.3849270457999263,6.940724216562172,72.04301075268818,98.9247311827957,100.0,100.0,,,our controlled local-prior temporal refinement protocol
Ours-v39,temporal-local-refinement,cityc,test_01,159,98.74213836477988,4.090076466009304,3.4769949286544777,8.183303610901408,72.95597484276729,94.9685534591195,100.0,100.0,,,our controlled local-prior temporal refinement protocol
Ours-v39,temporal-local-refinement,cityc,test_02,227,94.27312775330397,4.000181110532865,3.6264654950592927,6.92943809041988,71.80616740088107,99.55947136563876,100.0,100.0,,,our controlled local-prior temporal refinement protocol
Ours-v39,temporal-local-refinement,cityd,test_01,140,98.57142857142857,4.80367578270211,4.642549512982015,8.440819653162974,57.85714285714286,95.71428571428572,100.0,100.0,,,our controlled local-prior temporal refinement protocol
Ours-v39,temporal-local-refinement,cityd,test_02,235,95.31914893617021,4.123498678196834,3.738593456369366,7.82556447307379,68.51063829787233,99.14893617021276,100.0,100.0,,,our controlled local-prior temporal refinement protocol
Bearing-UAV-official-pretrained,four-RST-pose-regression,citya,test_01,162,91.35802469135803,8.818477834222305,6.606272180800614,15.483492205514386,33.33333333333333,70.98765432098766,87.03703703703704,94.44444444444444,93.20987654320987,6.181833309693159,authors released VGG-16 checkpoint; native p1/p2/p3/p4 pose regression; same selected route UAV frames
Bearing-UAV-official-pretrained,four-RST-pose-regression,citya,test_02,205,93.65853658536587,9.165215965824101,7.487010717519879,17.16167076625594,29.756097560975608,68.78048780487805,84.8780487804878,93.17073170731707,95.1219512195122,5.677550134888768,authors released VGG-16 checkpoint; native p1/p2/p3/p4 pose regression; same selected route UAV frames
