sequence_index,frame_id,timestamp_ns,dt_seconds,image_path,active_waypoint_from,active_waypoint_to,waypoint_switched_after_frame,gt_x,gt_y,raw_gps_x,raw_gps_y,prediction_x,prediction_y,raw_top1_x,raw_top1_y,hardms_x,hardms_y,visual_measurement_x,visual_measurement_y,gated_measurement_x,gated_measurement_y,visual_innovation_m,measurement_var_x,measurement_var_y,hardms_support,recovery_proposal_index,recovery_proposal_score,recovery_center_x,recovery_center_y,final_x,final_y,vx,vy,waypoint_confirmation_count,error_m
0,0,1782720770254553016,0.3333333333333333,/yh/study/new_data/model_dataset_flight/vi/vi_000000.jpg,0,1,0,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,-18.780746459960938,-2.1595981121063232,-4.1773552894592285,-0.4327203929424286,-4.1773552894592285,-0.4327203929424286,-4.1773552894592285,-0.4327203929424286,-16.794584989771614,-1.9247308850707339,14.70513992914151,400.0,400.0,0.5890849828720093,1,1.297959327697754,-8.83718204498291,-3.220503568649292,-18.704355634184424,-2.150564757220339,-9.346950662136079,0.9972511291503907,0,0.07692307692307829
1,1,1782720770588513379,0.333960363,/yh/study/new_data/model_dataset_flight/vi/vi_000001.jpg,0,1,0,-25.919267654418945,-1.4582853317260742,-25.919267654418945,-1.4582853317260742,-21.825866670254477,-1.8175224081271146,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-32.53472900390625,4.505537986755371,-23.5480650236944,-0.8006483591865294,12.43627055183495,400.0,400.0,0.5832667946815491,7,1.3314921855926514,-31.769432067871094,-0.7566169500350952,-21.90079741213362,-1.773279463211639,-9.346950662136079,0.9972511291503907,0,4.030796992035573
2,2,1782720770922635383,0.334122004,/yh/study/new_data/model_dataset_flight/vi/vi_000002.jpg,0,1,0,-28.881437301635742,-1.16508948802948,-25.919267654418945,-1.4582853317260742,-25.023819298655653,-1.4400759174486477,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-32.53472900390625,4.505537986755371,-26.591964080512824,-0.198737146953615,9.579357457485955,400.0,400.0,0.5872468948364258,7,1.4892857074737549,-34.967384338378906,-0.37917041778564453,-25.11796248576554,-1.3655524490230684,-9.346950662136079,0.9972511291503907,0,3.7688099034601867
3,3,1782720771256659623,0.33402424,/yh/study/new_data/model_dataset_flight/vi/vi_000003.jpg,0,1,0,-31.84273910522461,-0.8719794154167175,-25.919267654418945,-1.4582853317260742,-28.24007057700304,-1.0324463985194674,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-32.53472900390625,4.505537986755371,-29.465698908364644,0.5480077113374964,7.0080926117823745,400.0,400.0,0.5886979103088379,7,1.5302386283874512,-38.18363571166992,0.02845907211303711,-28.343874509895034,-0.8985906869953919,-9.346950662136079,0.9972511291503907,0,3.4989657923772026
4,4,1782720771590693022,0.334033399,/yh/study/new_data/model_dataset_flight/vi/vi_000004.jpg,0,1,0,-34.80412292480469,-0.5788613557815552,-34.80412292480469,-0.5788613557815552,-31.46606820985365,-0.5654755026686988,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-32.53472900390625,4.505537986755371,-31.8784879031716,1.3915400814704586,5.182394591563442,400.0,400.0,0.5886977910995483,1,1.5506072044372559,-21.522502899169922,-1.6263809204101562,-31.512602319162767,-0.3446616603923327,-9.346950662136079,0.9972511291503907,0,3.2998420257166496
5,5,1782720771924952558,0.334259536,/yh/study/new_data/model_dataset_flight/vi/vi_000005.jpg,0,1,0,-38.077056884765625,-0.2521708011627197,-34.80412292480469,-0.5788613557815552,-34.63690971050327,-0.011320960687047021,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-32.53472900390625,4.505537986755371,-33.793013876589356,1.8019191837788613,4.982085755412021,400.0,400.0,0.578933596611023,1,1.4895042181015015,-24.693344116210938,-1.0722264051437378,-34.51904987504243,0.24191904416827814,-9.346950662136079,0.9972511291503907,0,3.5921495871551095
6,6,1782720772258533342,0.333580784,/yh/study/new_data/model_dataset_flight/vi/vi_000006.jpg,0,1,0,-41.34334182739258,0.07385636121034622,-34.80412292480469,-0.5788613557815552,-37.6370130049271,0.5745828576751508,-27.772829055786133,9.233684539794922,-32.53472900390625,4.505537986755371,-32.53472900390625,4.505537986755371,-36.05268405059483,1.7951981797420267,6.440940168478155,400.0,400.0,0.577191948890686,4,1.3964613676071167,-37.63701248168945,0.5745828747749329,-37.3810551313633,0.7717806059213845,-9.346950662136079,0.9972511291503907,0,4.023283996051747
7,7,1782720772593000843,0.334467501,/yh/study/new_data/model_dataset_flight/vi/vi_000007.jpg,0,1,0,-44.61831283569336,0.40075016021728516,-44.61831283569336,0.40075016021728516,-40.50730636129825,1.105328698957744,-32.50415802001953,9.263697624206543,-37.266056060791016,4.535549163818359,-37.266056060791016,4.535549163818359,-39.133701477492586,2.5590169816322765,4.719334269585786,400.0,400.0,0.5621333718299866,4,1.238896131515503,-40.50730514526367,1.1053286790847778,-40.263919071910735,1.3629058631814834,-9.346950662136079,0.9972511291503907,0,4.4594269415268535
8,8,1782720772926756734,0.333755891,/yh/study/new_data/model_dataset_flight/vi/vi_000008.jpg,0,1,0,-47.93851089477539,0.7270652055740356,-44.61831283569336,0.40075016021728516,-43.383518918285,1.6957443023418282,-32.50415802001953,9.263697624206543,-37.266056060791016,4.535549163818359,-37.266056060791016,4.535549163818359,-41.56945049864068,2.5378581716309894,6.744467619025551,400.0,400.0,0.5638948678970337,4,1.2661950588226318,-43.38351821899414,1.695744276046753,-43.04521798329576,1.8527879431785883,-9.346950662136079,0.9972511291503907,0,5.02111214767174
9,9,1782720773260500830,0.333744096,/yh/study/new_data/model_dataset_flight/vi/vi_000009.jpg,0,1,0,-51.25859451293945,1.0533686876296997,-44.61831283569336,0.40075016021728516,-46.16470758238697,2.1856146197618647,-37.266056060791016,4.535549163818359,-42.0279541015625,-0.19259993731975555,-42.0279541015625,-0.19259993731975555,-44.43081914609104,1.1888042614292171,4.771648964522461,400.0,400.0,0.5304163694381714,4,1.1062060594558716,-46.16470718383789,2.185614585876465,-45.83419463449094,1.9956031270215155,-9.346950662136079,0.9972511291503907,0,5.505626193276132
10,10,1782720773594950104,0.334449274,/yh/study/new_data/model_dataset_flight/vi/vi_000010.jpg,0,1,0,-54.585689544677734,1.3803616762161255,-54.585689544677734,1.3803616762161255,-48.960275497556175,2.329133043161544,-37.266056060791016,4.535549163818359,-41.99738311767578,4.565558910369873,-41.99738311767578,4.565558910369873,-47.05608722449466,2.940743230073937,7.3132394295083065,400.0,400.0,0.5233058929443359,4,0.9993498921394348,-48.96027374267578,2.3291330337524414,-48.59662104110373,2.4459359734331456,-9.346950662136079,0.9972511291503907,0,6.083123385514361
11,11,1782720773928610181,0.333660077,/yh/study/new_data/model_dataset_flight/vi/vi_000011.jpg,0,1,0,-57.930152893066406,1.7030118703842163,-54.585689544677734,1.3803616762161255,-51.715325318747254,2.778678861973802,-32.50415802001953,9.263697624206543,-37.266056060791016,4.535549163818359,-37.266056060791016,4.535549163818359,-49.72994724370899,3.0200787359534083,14.555685327267232,400.0,400.0,0.5657843351364136,1,0.9564439654350281,-41.771759033203125,1.7177734375,-51.3408702205781,2.82420843371913,-9.346950662136079,0.9972511291503907,0,6.683990415282528
